run_id,arena,evidence,verifier,raw_events,final_message,thread_or_session
r01_H1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r01_H1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r01_H1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r01_H1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r01_H1_nu1000\raw_events\workbench_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r01_H1_nu1000\final_message.txt,01a0c3b5-5c3f-77b2-accf-d5230da7c747
r02_H1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r02_H1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r02_H1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r02_H1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r02_H1_alanine\raw_events\workbench_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r02_H1_alanine\final_message.txt,01a0c3e2-44d9-72e2-b7ae-b56369494e12
r03_C0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r03_C0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r03_C0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r03_C0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r03_C0_alanine\raw_events\codex_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r03_C0_alanine\final_message.txt,01a0c3fd-d5af-7142-9370-c7c512a27de4
r04_C0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r04_C0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r04_C0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r04_C0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r04_C0_nu1000\raw_events\codex_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r04_C0_nu1000\final_message.txt,01a0c425-1113-7b90-8152-5dbdadf3b4f9
r05_H0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r05_H0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r05_H0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r05_H0_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r05_H0_nu1000\raw_events\workbench_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r05_H0_nu1000\final_message.txt,01a0c451-38b5-7441-94ea-dd3915fb2fc4
r06_H0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r06_H0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r06_H0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r06_H0_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r06_H0_alanine\raw_events\workbench_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r06_H0_alanine\final_message.txt,01a0c47d-114a-7771-ad5c-579b7afadef2
r07_P1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r07_P1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r07_P1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r07_P1_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r07_P1_nu1000\raw_events\claude_stream.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r07_P1_nu1000\final_message.txt,f6b6bb51-3acf-49c9-8983-afd4611cbc57
r08_P1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r08_P1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r08_P1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r08_P1_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r08_P1_alanine\raw_events\claude_stream.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r08_P1_alanine\final_message.txt,6a528160-a297-436c-8d6f-8ba49c3f25df
r09_P1N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r09_P1N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r09_P1N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r09_P1N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r09_P1N_nu1000\raw_events\claude_stream.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r09_P1N_nu1000\final_message.txt,a107f373-e9be-4389-903c-d35e879a8406
r10_C0N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r10_C0N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r10_C0N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r10_C0N_nu1000,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r10_C0N_nu1000\raw_events\codex_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r10_C0N_nu1000\final_message.txt,01a0c559-6ec2-7b20-94d1-1f84cfc445fe
r11_C0N_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\arena\r11_C0N_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r11_C0N_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\verifier\r11_C0N_alanine,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r11_C0N_alanine\raw_events\codex_events.jsonl,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r11_C0N_alanine\final_message.txt,01a0c57e-64c7-7c32-a66d-c66d2579ec4c
