label,element,x,y,z,sx_formal,sy_formal,sz_formal,Ueq,sUeq_formal,occupancy,multiplicity,treatment
Zr1,Zr,0.5448263628890221,0.0,0.10617674650010966,9.10394746263116e-05,0.0,0.0001963857495379165,0.07980082238427583,0.0018456192740104974,1,12,anisotropic restrained
Zr2,Zr,0.5361280754371925,0.07225615087438524,0.0,6.279670294692167e-05,0.00012559340589384335,0.0,0.06915280829994234,0.0020304095987614644,1,6,anisotropic restrained
O1,O,0.46288246255674476,0.0,0.2402605275265526,0.0005808013862609297,0.0,0.001002161507743031,0.1224013158570064,0.007575316795666305,1,12,anisotropic restrained
O2,O,0.5180977620182634,0.036195524036527135,0.10713640098660164,0.0002597373130067897,0.0005194746260135794,0.0012478886514825445,0.11878653298654496,0.0072957182660059305,1,12,anisotropic restrained
O3,O,0.4736621438922151,0.03660258759077793,0.0,0.0005657372552753864,0.0005298979434338578,0.0,0.11982669206890235,0.007376687615297284,1,12,anisotropic restrained
O4,O,0.518705726165114,0.10531119422787798,0.0811470818259403,0.0003560615410923391,0.00030619120333476595,0.000689986970163233,0.08583589514564144,0.004205269168699927,1,24,anisotropic restrained
O5,O,0.39871653196146106,0.0,0.08841023476590344,0.00045268176041588496,0.0,0.0015339101519156806,0.14624729532865666,0.00865981841784482,1,12,anisotropic restrained
O6,O,0.46604510064274496,0.05920980048063453,0.15067147141202047,0.0003578042791194101,0.0003414849934428982,0.0007761752145719118,0.1029984537905817,0.00492600099029054,1,24,anisotropic restrained
C1,C,0.4954323401270094,0.2477161700635047,0.4573352157003568,0.0005127206520362204,0.00025636032601811015,0.0006033397503619318,0.12741018688906822,0.011998193892873677,1,12,anisotropic restrained
C2,C,0.4626891240635566,0.14422251488964216,0.2904025149821819,0.0005404378466537102,0.0004778785268708296,0.0009884449629422387,0.14527640971219752,0.010082366071149847,1,24,anisotropic restrained
C3,C,0.5229382255329286,0.19336413669388272,0.2239974478727362,0.0005052714349862501,0.0004310562364642495,0.001010227102637407,0.12504671987565752,0.008495272926969133,1,24,anisotropic restrained
C4,C,0.4617653377262601,0.11465267333093757,0.2411999245649573,0.0004965072547334089,0.00044052894911636605,0.001015270930781565,0.12304208044805139,0.008441103702874132,1,24,anisotropic restrained
C5,C,0.495088212739659,0.216970591735751,0.33114702137604113,0.00039195222022242823,0.00035003428123529394,0.0008127492523558433,0.11867545815548293,0.008098029724560375,1,24,anisotropic restrained
C6,C,0.49363726783121537,0.18403312099201655,0.2822313577872932,0.0004997117257312065,0.0004170559959688796,0.0008451635004624788,0.12426088237983894,0.008806239366177944,1,24,anisotropic restrained
C7,C,0.4952734519670793,0.1847888651710019,0.4585260441660261,0.0004100232027140979,0.00046389145428231535,0.0005762136145656392,0.14001145384085825,0.009227198037895797,1,24,anisotropic restrained
C8,C,0.5222673735785534,0.16381020806816704,0.1762108515663305,0.00047675735034294044,0.00044051119182697893,0.000943185680469399,0.1108303822483188,0.007607730280095794,1,24,anisotropic restrained
C9,C,0.49523255957740336,0.2166718590372121,0.41511893674490913,0.00041090321025048744,0.0003431659843337188,0.0007043716500510583,0.12399438627632191,0.008446224541641964,1,24,anisotropic restrained
C10,C,0.49185580030265574,0.12489755216397404,0.18500631984014748,0.0004515653454803123,0.0003971552896872259,0.000866594283607041,0.09692363772138053,0.006556812103010351,1,24,anisotropic restrained
C11,C,0.49539547282074897,0.24769773641037449,0.29038047585913285,0.0005004919977659554,0.0002502459988829777,0.001141355879143076,0.12165985952219671,0.011793605258306762,1,12,anisotropic restrained
C12,C,0.49198117087157556,0.09417479106500404,0.13412389948417822,0.0004158204367279172,0.00037302211722479496,0.0008095616923196308,0.09125851355193283,0.006599856958544779,1,24,anisotropic restrained
H2,H,0.4426576433995477,0.13762660599436288,0.3295276620932636,,,,0.17433169165463702,,1,24,riding
H3,H,0.5432838978470568,0.2199369714674858,0.21724092071672316,,,,0.15005606385078904,,1,24,riding
H4,H,0.44105852025103737,0.08811847808034216,0.24604857166775465,,,,0.14765049653766169,,1,24,riding
H7,H,0.49524404895129215,0.16379979584096363,0.4298519889174719,,,,0.16801374460902993,,1,24,riding
H8,H,0.5424256523804812,0.17019684669064972,0.13749774413033866,,,,0.13299645869798257,,1,24,riding
H11,H,0.49576185028171826,0.24788092514085913,0.23319091433663702,,,,0.14599183142663605,,1,12,riding
