h,k,l,Iobs,sigma_I,Icalc,Fc_real_e,Fc_imag_e,d_A,in_final_refinement,cv_work_flag
0,0,2,502.29,41.85428159,191.2904778,-276.9126425,53.89650507,8.30500000,1,0
0,0,3,52.895,4.599941576,255.765922,-326.1444723,6.317715348,5.53666667,1,1
0,0,4,9.8875,1.837363941,10.68112671,-61.44422948,-25.85412762,4.15250000,1,1
0,0,5,57.84,5.121585448,148.7246349,-246.9295553,-30.03221464,3.32200000,1,1
0,0,6,9.2975,1.642667419,31.82857174,-114.8199361,-7.648534014,2.76833333,1,1
0,0,7,203.1025,17.23120026,179.9874132,272.2284836,27.83009444,2.37285714,1,1
0,0,8,138.9833333,13.86328084,51.38882283,133.9604844,58.60589454,2.07625000,1,1
0,0,9,221.5925,18.88567811,179.9535765,264.1272896,71.45319261,1.84555556,1,1
0,0,10,82.865,10.70226612,77.07998984,167.5570072,63.19329796,1.66100000,1,1
0,0,11,72.2125,8.479388122,59.08286095,151.4618096,40.50245047,1.51000000,1,1
0,0,12,16.1075,2.849559176,19.49680274,88.7959959,15.06048482,1.38416667,1,1
0,0,13,7.955,2.419434335,8.080110404,57.91499811,-2.746350816,1.27769231,1,1
0,0,14,0.2175,2.242668611,0.1918074086,3.508286991,-8.21537788,1.18642857,1,1
0,0,15,1.165,2.398928146,0.397864325,12.4897548,-3.087957915,1.10733333,1,1
0,0,16,-6.75,3.652701055,0.2108965035,-6.38063519,6.85783699,1.03812500,1,1
0,0,17,11.875,4.461255429,7.224328658,52.59933167,15.45820329,0.97705882,0,1
0,0,18,-0.1575,2.825732206,3.008162948,29.8421134,18.99945763,0.92277778,0,1
0,0,19,5.1375,2.745052367,0.7201089086,2.537627209,17.1218618,0.87421053,0,1
0,0,20,-1.455,2.686512609,0.566311276,9.662991323,11.92633924,0.83050000,0,1
0,0,21,-7.38,4.159140536,1.049126157,19.93552356,6.249686504,0.79095238,0,1
0,0,22,1.463333333,4.196352914,0.3503070812,11.87445182,2.177360789,0.75500000,0,1
0,0,23,-0.85,6.22,0.09209178095,-6.176598288,0.4049168219,0.72217391,0,1
1,0,1,70.47,3.581373069,139.7217765,-239.1124545,-30.91567782,14.91915567,1,1
1,0,2,32.85521739,1.20258496,15.42198614,78.03602216,-18.07261208,8.06699323,1,1
1,0,3,6.07375,0.4260081996,28.86854066,109.5386646,-3.448573148,5.46443310,1,1
1,0,4,1.38375,0.5087836491,0.7503994578,16.45123608,6.446453764,4.12176421,1,1
1,0,5,1.447826087,0.5828992403,9.112780647,61.08354174,7.754202588,3.30620025,1,1
1,0,6,1.140833333,0.5188746504,1.940994844,28.40215866,0.9265868792,2.75917001,1,1
1,0,7,16.46,0.8793168316,16.84205436,-83.12175663,-9.89069792,2.36707905,1,1
1,0,8,8.404444444,0.9026581017,4.615978922,-39.37761666,-19.23169802,2.07237582,1,1
1,0,9,14.60095238,1.026893362,19.2894289,-86.56846124,-23.04716392,1.84283299,1,1
1,0,10,8.564375,1.028433844,8.446756977,-55.66711597,-20.38144052,1.65901442,1,1
1,0,11,4.908,1.169000833,6.545614372,-50.46060919,-13.3040213,1.50850774,1,1
1,0,12,1.485416667,1.007439893,2.322181712,-30.60810694,-5.410716722,1.38301697,1,1
1,0,13,-0.1716666667,0.8868927891,0.9732878137,-20.12258984,0.113562736,1.27678788,1,1
1,0,14,-0.2115,1.017196392,0.02105009655,-2.318526743,1.839081548,1.18570433,1,1
1,0,15,-0.3525,1.00933344,0.06753927102,-5.291435332,0.3163659853,1.10674443,1,1
1,0,16,2.365625,1.283691272,0.01927189144,0.9397337859,-2.671118546,1.03763971,1,1
1,0,17,2.823333333,1.304842915,0.7768180273,-17.19945108,-5.231647025,0.97665420,0,1
1,0,18,2.275,1.151147978,0.3170662477,-9.646329424,-6.233951584,0.92243689,0,1
1,0,19,-0.42875,1.55982386,0.07645241867,-0.8254834618,-5.579087988,0.87392066,0,1
1,0,20,-1.505833333,1.175555668,0.05734094095,-2.913163018,-3.920445435,0.83025147,0,0
1,0,21,-0.7989473684,1.372801693,0.1075997419,-6.342254496,-2.131230018,0.79073768,0,1
1,0,22,0.6031578947,1.527724305,0.04119608405,-4.052106743,-0.8484428673,0.75481326,0,1
1,0,23,-1.406923077,1.704449798,0.006586644539,1.631586549,-0.2797602372,0.72201048,0,1
2,-1,1,214.399375,8.985196071,310.4220024,-358.2991308,-27.77141703,12.67039850,1,1
2,-1,2,10.92636364,0.5103964591,28.48774446,-108.0975307,-12.92699556,7.64655789,1,1
2,-1,3,43.2975,1.563756772,4.062758575,40.92376285,3.94157111,5.32806116,1,1
2,-1,4,37.21666667,1.403956525,31.47357911,113.4075946,15.26900036,4.06228609,1,1
2,-1,5,56.62636364,2.162784735,21.83478614,93.86192214,16.55877243,3.27526548,1,1
2,-1,6,3.576666667,0.6760179299,3.306333695,36.14469248,8.315333602,2.74111308,1,1
2,-1,7,0.8745833333,0.6045632569,1.351325411,-23.2490192,-4.657818469,2.35564838,1,1
2,-1,8,35.06777778,1.715068926,39.73630272,-127.5775759,-16.00161815,2.06469207,1,1
2,-1,9,10.002,0.9230033857,10.37029473,-62.24511391,-20.97748694,1.83742382,1,1
2,-1,10,4.916470588,1.113030092,4.933848583,-41.39055676,-18.42619856,1.65506452,1,1
2,-1,11,-1.216666667,0.8988147202,1.824766417,-25.38738221,-10.70820943,1.50553644,1,1
2,-1,12,0.363,0.9057735644,1.099752529,-21.2984896,-1.980118681,1.38072615,1,1
2,-1,13,-0.8880952381,1.030117566,0.07909115626,-4.062119217,4.050267491,1.27498476,1,1
2,-1,14,0.01782608696,0.9901721223,0.2059487759,7.297572132,5.694681493,1.18425981,1,1
2,-1,15,1.30625,0.9942180065,0.2578297216,9.724685616,3.5636012,1.10556943,1,0
2,-1,16,0.4595238095,1.104033216,0.2822191228,-10.83208881,-0.2858391162,1.03667116,1,1
2,-1,17,0.0475,1.18186484,0.07018418005,-3.984529435,-3.650109812,0.97584646,0,1
2,-1,18,-0.397826087,1.131901056,0.1214602959,-4.853705606,-5.193697085,0.92175625,0,1
2,-1,19,-0.13875,1.431558428,0.2154502057,-8.174196545,-4.776974923,0.87334181,0,1
2,-1,20,-0.2541666667,1.221121621,0.1684664721,-7.759816784,-3.142431399,0.82975507,0,1
2,-1,21,2.279,1.655701298,0.02211856283,-2.740187826,-1.301417657,0.79030880,0,1
2,-1,22,0.9831818182,1.436846202,0.001588471711,0.8129389104,-0.002454479362,0.75444019,0,1
2,-1,23,2.155,1.98403923,0.002710509852,-0.9370775229,0.4995795822,0.72168395,0,0
2,0,1,1031.7925,43.09671924,2054.574093,920.9159259,81.90918397,11.87019674,1,1
2,0,2,70.79818182,2.577617461,97.56013966,196.4666711,44.61226784,7.45957784,1,0
2,0,3,65.01375,2.306573938,92.97322534,-196.6626201,2.204179779,5.26359560,1,1
2,0,4,198.0870833,6.818840513,119.0581662,-220.9951696,-26.35694427,4.03349661,1,1
2,0,5,98.45916667,3.457939435,56.79895521,-150.7984108,-29.84560309,3.26012020,1,1
2,0,6,9.802173913,0.7897084959,8.203094038,-57.62585893,-9.597737007,2.73221655,1,0
2,0,7,21.13166667,1.015786761,21.65652674,92.26683981,22.29169603,2.34999479,1,1
2,0,8,230.0615789,8.976325912,179.3263169,268.5494243,49.8901023,2.06088210,1,1
2,0,9,112.036,4.42396827,109.9772972,204.9028776,61.40288445,1.83473704,1,1
2,0,10,51.6365,2.293033308,53.00256439,138.3096871,54.05443369,1.65310013,1,1
2,0,11,23.13421053,1.452808914,27.66077182,101.7852814,33.88040747,1.50405736,1,1
2,0,12,8.550952381,1.060839205,15.11345829,78.47910801,11.35377485,1.37958501,1,1
2,0,13,1.38,0.9294190845,2.642459965,32.88200277,-4.261000197,1.27408606,1,1
2,0,14,-0.9854545455,1.017157561,0.2817160608,-6.278104331,-8.819975147,1.18353953,1,1
2,0,15,1.653913043,1.020811049,0.2222712592,-8.768815979,-3.947494147,1.10498333,1,1
2,0,16,3.53,1.149516412,1.712757356,26.19314152,5.148150473,1.03618791,1,1
2,0,17,2.265714286,1.189814578,1.77143148,23.85768137,12.95400444,0.97544334,0,0
2,0,18,-0.09409090909,1.178478235,1.414881854,18.07852217,16.18090054,0.92141650,0,1
