h,k,l,Iobs,sigma_I,Icalc,Fc_real_e,Fc_imag_e,d_A,in_final_refinement,cv_work_flag
0,0,2,502.29,41.85428159,191.2896992,-276.9115642,53.89644304,8.30500000,1,0
0,0,3,52.895,4.599941576,255.7767105,-326.1507801,6.317687248,5.53666667,1,1
0,0,4,9.8875,1.837363941,10.6818933,-61.44669856,-25.85412524,4.15250000,1,1
0,0,5,57.84,5.121585448,148.7128929,-246.9192251,-30.03219311,3.32200000,1,1
0,0,6,9.2975,1.642667419,31.82839623,-114.819417,-7.648507689,2.76833333,1,1
0,0,7,203.1025,17.23120026,179.9795865,272.2220172,27.83011261,2.37285714,1,1
0,0,8,138.9833333,13.86328084,51.39094405,133.9634972,58.60589557,2.07625000,1,1
0,0,9,221.5925,18.88567811,179.9577308,264.1300684,71.45317242,1.84555556,1,1
0,0,10,82.865,10.70226612,77.07959785,167.5561992,63.19325762,1.66100000,1,1
0,0,11,72.2125,8.479388122,59.08139347,151.4595232,40.50239617,1.51000000,1,1
0,0,12,16.1075,2.849559176,19.49568066,88.79321631,15.060427,1.38416667,1,1
0,0,13,7.955,2.419434335,8.080710077,57.9170476,-2.746399836,1.27769231,1,1
0,0,14,0.2175,2.242668611,0.1918640522,3.511534125,-8.215407776,1.18642857,1,1
0,0,15,1.165,2.398928146,0.3977889808,12.48847497,-3.087964249,1.10733333,1,1
0,0,16,-6.75,3.652701055,0.2109564059,-6.382548761,6.857850849,1.03812500,1,1
0,0,17,11.875,4.461255429,7.224440453,52.59966618,15.45822753,0.97705882,0,1
0,0,18,-0.1575,2.825732206,3.008175179,29.84211056,18.99948016,0.92277778,0,1
0,0,19,5.1375,2.745052367,0.7201141877,2.537774855,17.12187328,0.87421053,0,1
0,0,20,-1.455,2.686512609,0.5663614875,9.664032816,11.92633641,0.83050000,0,1
0,0,21,-7.38,4.159140536,1.049137238,19.93560508,6.249672467,0.79095238,0,1
0,0,22,1.463333333,4.196352914,0.3502515961,11.87346153,2.177342487,0.75500000,0,1
