parameter,value,conditional_standard_uncertainty
Zr1_position_dof_1,-0.0009281289445186956,0.002125183000220412
Zr1_position_dof_2,0.0007372531035557318,0.0023480881232384354
Zr1_U_basis_1,-0.07735625478052283,0.0018924397442882544
Zr1_U_basis_2,0.09213941246089616,0.0021154315093025186
Zr1_U_basis_3,-0.06065389310780964,0.0017356363680524497
Zr1_U_basis_4,-0.019578895916295823,0.002042241396690621
Zr2_position_dof_1,0.0060807116311661635,0.0028381087682913704
Zr2_U_basis_1,0.08701976090211902,0.002752540550777556
Zr2_U_basis_2,-0.057558649565603685,0.0022409313334474383
Zr2_U_basis_3,-0.057117222236458806,0.002158439597511303
O1_position_dof_1,0.03238273412965997,0.0109452068316017
O1_position_dof_2,-0.05426569307727835,0.014837839434286453
O1_U_basis_1,-0.0798554845440509,0.008111918930439495
O1_U_basis_2,0.23361336819403158,0.01465402265195741
O1_U_basis_3,-0.08553741005658745,0.0087354516191054
O1_U_basis_4,-0.03919436096591141,0.01279855013746622
O2_position_dof_1,0.0019680123548820243,0.011757796751228906
O2_position_dof_2,0.008588798789520648,0.01367260703531612
O2_U_basis_1,-0.08452947856481556,0.008233389432851292
O2_U_basis_2,0.07431895547773505,0.013250160336630618
O2_U_basis_3,0.19076547766475765,0.013220563630987277
O2_U_basis_4,-0.105516900684596,0.009639882363366598
O3_position_dof_1,0.0037106442842410824,0.013695563997689219
O3_position_dof_2,-0.0028440006035721824,0.011445874186880228
O3_U_basis_1,-0.1832715275104805,0.013147819737767125
O3_U_basis_2,0.11108494584972584,0.00958351690927783
O3_U_basis_3,-0.09286390415380685,0.00881903497453509
O3_U_basis_4,-0.06471713235922431,0.012724870214851726
O4_position_dof_1,0.012902672539908873,0.008469464721291332
O4_position_dof_2,0.00605342256135214,0.007268413634573845
O4_position_dof_3,-0.029874425249656823,0.008008542573301539
O4_U_basis_1,-0.0901494228392583,0.006213201028882029
O4_U_basis_2,0.007542735106098384,0.006813275262277402
O4_U_basis_3,0.11648836765748627,0.00715989673910579
O4_U_basis_4,-0.06933238606711083,0.005426384501373773
O4_U_basis_5,-0.0013722707569186142,0.006642404034312302
O4_U_basis_6,0.002393882917154649,0.006973915641954214
O5_position_dof_1,-0.008678716009260028,0.008451336857805575
O5_position_dof_2,0.008915949722390768,0.008457421757572567
O5_position_dof_3,0.004350889113085081,0.00885344065588415
O5_U_basis_1,-0.12072959992180907,0.007037024491438443
O5_U_basis_2,-0.0018507131672629476,0.008054195009689027
O5_U_basis_3,0.1314024199945984,0.007664947786009059
O5_U_basis_4,-0.08440546044400853,0.0060598723824103265
O5_U_basis_5,0.01594884025407263,0.00813629633985609
O5_U_basis_6,-0.04950727743804109,0.00795531219231243
O6_position_dof_1,0.007058171202141901,0.016762308549025707
O6_position_dof_2,0.005538104361896805,0.011884477118851473
O6_U_basis_1,-0.28898248850082003,0.01678020810408943
O6_U_basis_2,0.09386357875475014,0.009561980752412871
O6_U_basis_3,-0.09626602799449739,0.00949907772318789
O6_U_basis_4,-0.01103050051397852,0.01509790535420074
C1_position_dof_1,-0.008076248616451384,0.012977408609213224
C1_position_dof_2,0.07509003455985439,0.021504123310074383
C1_U_basis_1,0.2705503502885998,0.02194196007484403
C1_U_basis_2,-0.022170759947205222,0.013017836347382381
C1_U_basis_3,0.021407650661349937,0.019305957905802158
C1_U_basis_4,-0.07895145464538059,0.012886308087536978
C2_position_dof_1,0.040822042427398314,0.017772302607596095
C2_position_dof_2,-0.028221366456810476,0.01580592863506862
C2_position_dof_3,-0.02512987463534274,0.01454323918912379
C2_U_basis_1,-0.11653479087591576,0.012186688367649362
C2_U_basis_2,0.11656487651223127,0.016890896506773292
C2_U_basis_3,0.2456938649657498,0.01919638636265517
C2_U_basis_4,-0.1198449517153113,0.010993820879339295
C2_U_basis_5,-0.04278745867895428,0.014056580293603174
C2_U_basis_6,-0.06261184464531819,0.017178571940446728
C3_position_dof_1,-0.007555673310845898,0.016692831028294566
C3_position_dof_2,0.02049593576479453,0.015349909701581444
C3_position_dof_3,-0.011317674878538082,0.012662641050035043
C3_U_basis_1,-0.07414387606017003,0.009473475641609146
C3_U_basis_2,0.1050201113969398,0.01555434751267396
C3_U_basis_3,0.1968533087419871,0.016258392414525553
C3_U_basis_4,-0.12657657835842812,0.010783996131604528
C3_U_basis_5,-0.00904646387550272,0.012054938498839955
C3_U_basis_6,-0.024756250125997102,0.012393233215219311
C4_position_dof_1,-0.012547033099345324,0.016254891080068716
C4_position_dof_2,0.0367036537925871,0.013754972504549039
C4_position_dof_3,-0.0424325461409591,0.014598602894196743
C4_U_basis_1,-0.11580826070623246,0.01255832565257666
C4_U_basis_2,0.05306189043755465,0.014810583667535867
C4_U_basis_3,0.19438592364155738,0.016815784284696142
C4_U_basis_4,-0.1054180633757701,0.011501257419728
C4_U_basis_5,0.019012212603745002,0.012268159401822062
C4_U_basis_6,-0.04132156233720802,0.013707139686301937
C5_position_dof_1,0.018534378524003556,0.01440243881710714
C5_position_dof_2,-0.010858164002649648,0.013259132449578392
C5_position_dof_3,0.0010448336089223576,0.013208785386041552
C5_U_basis_1,-0.10321956076969827,0.010424618242303488
C5_U_basis_2,0.035280383343075726,0.013260176103316632
C5_U_basis_3,0.17497022643441712,0.013991950102705857
C5_U_basis_4,-0.08859142649863833,0.00849235652735363
C5_U_basis_5,0.0048572120993244676,0.011995976287278708
C5_U_basis_6,-0.06810702023385579,0.013386836268194412
C6_position_dof_1,0.009325796006130881,0.01429320055380665
C6_position_dof_2,0.03696330942856488,0.01238018704430961
C6_position_dof_3,0.0060436322089291,0.012766995614569338
C6_U_basis_1,-0.07934665030693953,0.007696167029234517
C6_U_basis_2,0.10508930086175115,0.014335123922519729
C6_U_basis_3,0.19148610118643167,0.014602126682843998
C6_U_basis_4,-0.11554341026290743,0.011539879348509452
C6_U_basis_5,0.0031717885131509437,0.01073807366271887
C6_U_basis_6,-0.019489023622581505,0.014375837751866473
C7_position_dof_1,-0.019691900999078422,0.013793919095443238
C7_position_dof_2,-0.0275066217155904,0.013675323002512344
C7_position_dof_3,0.025756049586625307,0.01301015982501848
C7_U_basis_1,-0.10282029303635894,0.010432505137981267
C7_U_basis_2,0.0385163461749351,0.011689647474524107
C7_U_basis_3,0.1304324366733457,0.012385211917458483
C7_U_basis_4,-0.087097684720001,0.008263037241482918
C7_U_basis_5,-0.00767263614673534,0.011420165719036833
C7_U_basis_6,-0.021372288916205046,0.011260597224146072
C8_position_dof_1,0.04292086051376341,0.014490437788596437
C8_position_dof_2,0.031205487465861274,0.012664182191640254
C8_position_dof_3,0.005455392836216533,0.012532589811936343
C8_U_basis_1,-0.07651967128266417,0.007608381235031215
C8_U_basis_2,0.10795994769382143,0.014498321416129858
C8_U_basis_3,0.19380998938001942,0.01499505736918125
C8_U_basis_4,-0.12607706076576303,0.012027094467760263
C8_U_basis_5,-0.0012173334948758904,0.010764490896699957
C8_U_basis_6,-0.02152800040510599,0.014012244310659025
C9_position_dof_1,0.0019264621326265897,0.014700811672132823
C9_position_dof_2,-0.0019452802153107354,0.013043215568410798
