parameter,value,conditional_standard_uncertainty
Zr1_position_dof_1,-0.0001549540543916335,0.0020269968803742575
Zr1_position_dof_2,-0.00024048110979431659,0.0022591125234307065
Zr1_U_basis_1,-0.0730696491089783,0.0020979600172669976
Zr1_U_basis_2,0.08987276161700977,0.0022860696717332076
Zr1_U_basis_3,-0.057578777957309354,0.001970851075979238
Zr1_U_basis_4,-0.02121692124588877,0.0019151021590262192
Zr2_position_dof_1,0.00015178416488028615,0.0027092360428726367
Zr2_U_basis_1,0.08317216532686769,0.002794840240537649
Zr2_U_basis_2,-0.053648037642603175,0.002377527184997672
Zr2_U_basis_3,-0.054561648618866136,0.002332078250348454
O1_position_dof_1,0.0032327309273362716,0.010761904180092945
O1_position_dof_2,0.0014381761928409227,0.01655045729934706
O1_U_basis_1,-0.08124272583944626,0.00780129197353323
O1_U_basis_2,0.26160528732342203,0.015155316985362268
O1_U_basis_3,-0.08887805887628449,0.008413477980744344
O1_U_basis_4,-0.025434935068757457,0.012625363533333161
O2_position_dof_1,-0.0010223535663942437,0.011981154678274677
O2_position_dof_2,-0.0016737439229748802,0.01443036474013946
O2_U_basis_1,-0.09297542906722037,0.008180370579080443
O2_U_basis_2,0.08545658909813725,0.013657423927246549
O2_U_basis_3,0.21097705765755126,0.014121013551316591
O2_U_basis_4,-0.10652317970393813,0.009207270939857277
O3_position_dof_1,0.00015381873543746243,0.012797777283067784
O3_position_dof_2,0.0014900549433039599,0.011596303235768483
O3_U_basis_1,-0.16620692737089995,0.011765823666972939
O3_U_basis_2,0.1135846564191486,0.00911496846308665
O3_U_basis_3,-0.10099815503463837,0.008363725834387402
O3_U_basis_4,-0.07699399959555218,0.01196222564641449
O4_position_dof_1,-0.003941549364954218,0.008457556658175823
O4_position_dof_2,-0.003078403292130041,0.006974957581023906
O4_position_dof_3,0.0027134180399634076,0.007997825968217158
O4_U_basis_1,-0.09138065223138057,0.005944723641867938
O4_U_basis_2,0.010369703567753652,0.0064932645007565945
O4_U_basis_3,0.11790697433146234,0.006850524575178786
O4_U_basis_4,-0.07840647339273882,0.005447157987416066
O4_U_basis_5,0.009827503149091895,0.006342091899795047
O4_U_basis_6,-0.011927710101328851,0.006603190998556446
O5_position_dof_1,0.00036822928291193604,0.008402382625314038
O5_position_dof_2,-0.002385329170671977,0.008486492435236144
O5_position_dof_3,0.0009927194884536568,0.008760225966513727
