parameter,value,conditional_standard_uncertainty
Zr1_position_dof_1,-0.0011029894145617582,0.002242425972962473
Zr1_position_dof_2,-0.004077925014730282,0.0024841669139547534
Zr1_U_basis_1,-0.10298262702128748,0.00179648993843693
Zr1_U_basis_2,0.1181695367218796,0.002032799258856359
Zr1_U_basis_3,-0.08496529162759155,0.0016340280274704689
Zr1_U_basis_4,-0.018390880216539396,0.002207807544435572
Zr2_position_dof_1,-0.006909069771332034,0.0030064579707663438
Zr2_U_basis_1,0.11237067091502002,0.0027560415425893687
Zr2_U_basis_2,-0.08395819595640754,0.0022511957403972757
Zr2_U_basis_3,-0.08200417413828537,0.0021530600979006455
O1_position_dof_1,-0.01544307762270598,0.011983806534530326
O1_position_dof_2,0.025190322498855056,0.016652906034605407
O1_U_basis_1,-0.050991542448700106,0.00826497253759077
O1_U_basis_2,0.18588812209836958,0.015408261975487406
O1_U_basis_3,-0.053369030249090954,0.008861162952336136
O1_U_basis_4,-0.04077731888818622,0.013502441592858499
O2_position_dof_1,-0.022156084973090854,0.012805227020688738
O2_position_dof_2,0.031803544849523246,0.014654589432752356
O2_U_basis_1,-0.05151185275536268,0.008111375622828793
O2_U_basis_2,0.06891476303872818,0.013471681971870384
O2_U_basis_3,0.13799419906401514,0.012856909335734194
O2_U_basis_4,-0.07395467469393692,0.009762370569632512
O3_position_dof_1,-0.034320483361703374,0.015231857427672248
O3_position_dof_2,-0.010279934707019527,0.012609015155310958
O3_U_basis_1,-0.142140657954461,0.013385449742718738
O3_U_basis_2,0.06949750133725703,0.009244044516251238
O3_U_basis_3,-0.06498949189967818,0.009167201944323604
O3_U_basis_4,-0.06780816157884562,0.013368955384839145
O4_position_dof_1,0.0015040073697005173,0.00902234248285004
O4_position_dof_2,-0.0031157542505262084,0.007627396509541489
O4_position_dof_3,0.02740074140588904,0.008448633546139154
O4_U_basis_1,-0.05674811972552285,0.005884720057553856
O4_U_basis_2,0.01193026915288019,0.006832019630277244
O4_U_basis_3,0.08383922207481966,0.007112366967125614
O4_U_basis_4,-0.038533624900147036,0.0052314681902402155
O4_U_basis_5,0.003958875983959869,0.006538123899169297
O4_U_basis_6,-0.005840467191322296,0.006940057414991866
O5_position_dof_1,-0.0018682003855058078,0.008975524482740044
O5_position_dof_2,-0.005152764015126323,0.009121780569384732
O5_position_dof_3,-0.011632437535337449,0.0094346254237097
O5_U_basis_1,-0.08527292415578341,0.006983608396687226
O5_U_basis_2,-0.002016868694997014,0.007959011722196653
O5_U_basis_3,0.08558573978552354,0.007351476658046454
O5_U_basis_4,-0.058960609342849885,0.006169332565774567
O5_U_basis_5,0.016086190101424307,0.008213993545523813
O5_U_basis_6,-0.04481416311171694,0.007981565349847529
O6_position_dof_1,0.0014045316040343927,0.01882855236647745
O6_position_dof_2,0.004679350729828894,0.012876857546352665
O6_U_basis_1,-0.23856693706911294,0.017734160868133817
O6_U_basis_2,0.06207122673773558,0.009624753791180843
O6_U_basis_3,-0.05467145848013732,0.009033589437618492
O6_U_basis_4,-0.009342609146854907,0.015710144372363684
C1_position_dof_1,-0.01114914586568642,0.014472897723027707
C1_position_dof_2,0.005832850600649917,0.023132946476015447
C1_U_basis_1,0.20110185801323188,0.021860818567484532
C1_U_basis_2,-0.022482549773660463,0.01334782656154097
C1_U_basis_3,0.03071475709725132,0.020409720594027507
C1_U_basis_4,-0.060031754783302055,0.013416998934991292
C2_position_dof_1,0.03386133080713323,0.018225614204690512
C2_position_dof_2,0.0350461843790756,0.017206402803387897
C2_position_dof_3,-0.010334280264757049,0.014794549909184985
C2_U_basis_1,-0.06887762020666655,0.01088558425783022
C2_U_basis_2,0.08443758341639847,0.016438765859558106
C2_U_basis_3,0.16398288903593586,0.017361957960568605
C2_U_basis_4,-0.09740541260747951,0.011061308657945716
C2_U_basis_5,-0.02814135611760641,0.013586096338473089
C2_U_basis_6,-0.03678980357666893,0.015740100521943735
C3_position_dof_1,-0.016632399033108997,0.01772456754020496
C3_position_dof_2,0.0015555896286684758,0.01656344002726451
C3_position_dof_3,-0.027549370700893618,0.013660367967885832
C3_U_basis_1,-0.048776724433110166,0.009498476887568415
C3_U_basis_2,0.08068170220054753,0.015346416292810212
C3_U_basis_3,0.14163712407154724,0.01565492379724428
C3_U_basis_4,-0.09262296330119602,0.010678524445576671
C3_U_basis_5,-0.004353866261143744,0.011991562735654342
C3_U_basis_6,-0.0015718062996270576,0.012197941544234932
C4_position_dof_1,-0.008976282794582326,0.01727100823360843
C4_position_dof_2,-0.027063673961203554,0.014572652838334593
C4_position_dof_3,-0.005323367786755058,0.015592004746707947
C4_U_basis_1,-0.08362136420917193,0.012333043150822101
C4_U_basis_2,0.03758404142581842,0.01418580173767126
C4_U_basis_3,0.13842059908242274,0.01607766357663848
C4_U_basis_4,-0.06570236303971554,0.01092392383809953
C4_U_basis_5,0.013985349673263314,0.01213277419274123
C4_U_basis_6,-0.007600089258200856,0.013028132601029857
C5_position_dof_1,0.0017833935561220968,0.01515644886617269
C5_position_dof_2,0.0026045593546928226,0.014503805204635267
C5_position_dof_3,0.01627270429706564,0.014135257157536971
C5_U_basis_1,-0.06856596346322957,0.010177247625029813
C5_U_basis_2,0.02978951702748125,0.012916081141816154
C5_U_basis_3,0.11632329256294147,0.013165047903348121
C5_U_basis_4,-0.0680806434478493,0.008809991229830848
C5_U_basis_5,0.0020499411431664375,0.012167439136059978
C5_U_basis_6,-0.05444801390714877,0.01303020492761884
C6_position_dof_1,-0.005072032027018243,0.015442479977878136
C6_position_dof_2,-0.00027339210389066854,0.013649345527616073
C6_position_dof_3,-0.018254251993143563,0.013722626005302467
C6_U_basis_1,-0.057877971371730084,0.007924285601289547
