h,k,l,I,sigma,multiplicity,d,absent_212121,Fc2,weight,phase_rad
0,0,2,270.5428499574283,6.85256368159629,3,6.150900861196838,False,294.87923988716545,0.008266571234775122,3.141592653589793
0,0,4,7247.887582793603,146.2707200709252,4,3.075450430598419,False,7789.854867867833,1.3604515572184364e-05,3.1415926535897927
0,0,6,127.54316757739171,4.042537442972221,4,2.050300287065612,False,125.81459067946541,0.032552798171157374,9.28831547261994e-16
0,0,8,47.65294149600068,2.5026409486184984,4,1.5377252152992096,False,57.472955668444584,0.1122703935699408,3.1415926535897922
0,0,10,4.950560366042554,1.384911597882743,4,1.2301801722393677,False,2.8326512862132693,0.5183361113085055,-3.141592653589793
0,0,12,221.959313830854,8.875487107537742,3,1.0251501435328063,False,207.22953893635258,0.008383838422359994,-2.071963647029059e-15
0,0,14,77.26220755063375,6.514619885768716,2,0.8787001230281197,False,58.36049384791513,0.02164351590131606,-8.126517921760194e-16
0,0,16,24.433747184023016,5.342340658117603,1,0.7688626076496049,False,17.634058038603328,0.03460563067548695,-3.141592653589793
0,1,1,391.8116294530959,12.208305879547094,2,5.371718637203467,False,421.956435078717,0.003314063764296696,-1.5707963267948961
0,1,2,7699.409911220213,219.5081333713562,2,4.2843445068154935,False,8267.926619886855,9.352911011469183e-06,1.5707963267948963
0,1,3,110.42815426127814,5.195385873478762,3,3.3802559378833554,False,140.4733816893557,0.02363542431371802,1.5707963267948961
0,1,4,2339.4957434935777,39.38144499943274,6,2.7340994599594666,False,2272.7560012258346,0.0001589515428655713,-1.5707963267948966
0,1,5,420.385826007604,7.0091012771665495,8,2.2748146113080274,False,409.3138387444285,0.004934796051503638,1.570796326794897
0,1,6,70.23755193139463,3.0291126752851145,8,1.9391660941738875,False,72.6627387305013,0.07234715609541512,-1.5707963267948946
0,1,7,24.921245110780063,1.5326807284583912,7,1.685896889433066,False,25.743317061144,0.34095673911188695,-1.570796326794894
0,1,8,481.6194775784944,8.437096872856571,8,1.4891369223764492,False,450.71496176915616,0.0038100008300753414,1.5707963267948961
0,1,9,2.8099282330443027,0.7993613033264372,8,1.3324021614001986,False,3.4507460448527736,1.5422339065964168,1.5707963267948855
0,1,10,46.0434361211134,1.8465346829234768,9,1.2048749505561251,False,47.12726310052764,0.18594112898026033,-1.5707963267948966
0,1,11,94.8578974054382,3.399860092666048,7,1.0992317095023487,False,97.05348490685417,0.05022820999174798,1.5707963267948961
0,1,12,33.22643615500369,2.829945987993363,6,1.010367358099352,False,32.6022511708592,0.11139009653241616,-1.5707963267948961
0,1,13,52.619579562806514,2.959138260192661,6,0.9346282231266718,False,50.2773167457682,0.09006792354221113,-1.5707963267948946
0,1,14,3.9354566298140448,1.5602920192763428,4,0.8693373422582262,False,2.470936541059983,0.4094347074530394,1.5707963267949123
0,1,15,70.91012621122938,5.899344347635423,4,0.812492165849359,False,71.43356746906039,0.025398531969610626,-1.5707963267948977
0,1,16,13.82835196780643,3.186425567047749,2,0.7625667659167401,False,23.08482951475487,0.09511777614966958,1.5707963267948974
0,2,0,46.533101710904965,4.126662478805142,1,2.985528567298874,False,62.417802125635866,0.0500849780134408,-3.141592653589793
0,2,1,54.23668514858112,4.488700590673982,1,2.901309384886249,False,72.81201732309633,0.04142010297815481,-1.5270368980739961e-15
0,2,2,2386.5991026804454,69.86900005943737,2,2.6858593186017337,False,2273.2917420870735,0.00010321429947176369,3.1415926535897927
0,2,3,940.0166781909838,29.132723410929856,2,2.4135878113772864,False,986.9912154082594,0.0005889784619989868,-7.770765922605692e-17
0,2,4,67.98151432290341,3.2947194644641145,5,2.142172253407748,False,65.50672792732043,0.06749883127471855,-1.8426226210573307e-15
0,2,5,139.12872906077297,3.898788151952681,5,1.8986990871861864,False,142.0484418136115,0.03020014859230983,-3.141592653589792
0,2,6,2647.8383914529127,89.47537415491276,6,1.6901279689416782,False,2536.9658365260734,7.159010772818725e-05,-2.5549079042654044e-16
0,2,7,291.3456825942693,6.673432947821774,6,1.5144957600355031,False,296.14731271637953,0.008155499959841309,-3.1415926535897913
0,2,8,1.2974017403589213,1.1408160983764153,7,1.3670497299797333,False,3.1063393627199094,0.7650515559091284,3.1415926535897927
0,2,9,279.3839493217432,6.821852771546894,6,1.2428070418839443,False,275.24999911390466,0.008664891738937384,-4.5612455643787146e-17
0,2,10,266.21185213632907,8.120709426814571,4,1.1374073056540135,False,238.08432542288122,0.008260460111668439,3.1415926535897927
0,2,11,4.6517640168928285,1.426972160446571,4,1.0472811336732148,False,1.8507790356413514,0.4894218150525936,3.1415926535897816
0,2,12,33.08523297113706,3.509844163743493,4,0.9695830470869438,False,30.118878064229428,0.07581546154107081,3.1415926535897882
0,2,13,157.52337304159198,15.069363244666407,3,0.9020644140507034,False,168.7688554765758,0.003974653240776896,3.141592653589792
0,2,14,7.030750243629878,2.836295808151481,2,0.8429484447165332,False,6.212952438868363,0.1237251631243577,3.1415926535897905
0,3,1,32.013438521712224,4.145945773981588,1,1.9648020398830013,False,31.062748090856573,0.0553248050457727,1.5707963267948968
0,3,2,1.6771048033501197,1.523409466631765,2,1.8936778446511109,False,2.5064853556341884,0.43006087976525414,-1.5707963267948972
0,3,3,64.23540389758419,4.29064185607963,2,1.790572879067822,False,59.49164112604835,0.04594215085382527,-1.5707963267948972
