run,frame,x,y,sum,maximum,omega,theta,kappa,phi,h,k,l,dqx,dqy,dqz
1.000000000000000000e+00,6.544866071428570820e+01,6.995396205357143344e+02,7.965569196428570820e+01,2.240000000000000000e+02,1.782142857142857295e+01,2.547433035714285765e+01,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-7.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-7.854600804875211395e-04,8.390448267561467777e-04,-5.712118670732069248e-04
1.000000000000000000e+00,9.060359466313816768e+01,7.074948726430699253e+02,9.581170287058479573e+01,4.858392857142856656e+02,2.117124269489469768e+01,3.805179733156908384e+01,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-7.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-9.514250877255756023e-04,3.325711242934126233e-04,-4.470234729414546138e-04
1.000000000000000000e+00,7.820986460348161984e+01,6.328291102514506292e+02,1.369841392649903185e+02,1.846428571428571672e+02,8.530947775628625607e+00,3.185493230174080992e+01,8.690312500000000995e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.271765737170421406e-04,8.300568478185610388e-04,-6.630545683457000905e-04
1.000000000000000000e+00,3.217599770312948237e+01,7.537983539094649359e+02,3.655806297253325852e+02,1.865892857142857224e+02,8.435831180017226316e+00,8.837998851564742964e+00,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-5.000000000000000000e+00,-4.000000000000000000e+00,5.000000000000000000e+00,-9.251535917288444821e-04,5.113497899322250184e-04,-1.836752987847689589e-03
1.000000000000000000e+00,4.099999999999999289e+01,7.164081275720164967e+02,3.412564814814814440e+02,1.735714285714285836e+02,9.095781893004115659e+00,1.324999999999999822e+01,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-5.000000000000000000e+00,-3.000000000000000000e+00,5.000000000000000000e+00,-1.015977389765720940e-03,-1.469058828373892567e-05,-1.480416280390639550e-03
1.000000000000000000e+00,5.460557323471230973e+01,7.476989765201685714e+02,3.770317364754450864e+02,2.076250000000000000e+02,9.551905048593789971e+00,2.005278661735615486e+01,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-5.000000000000000000e+00,-3.000000000000000000e+00,7.000000000000000000e+00,-9.551859785590366414e-04,-1.487892642733135151e-03,-1.328775126177572652e-03
1.000000000000000000e+00,7.151288234547531708e+00,6.123577230613022948e+02,1.843318949105216404e+02,2.813928571428571104e+02,3.579718238355121684e+01,-3.674355882726234590e+00,8.690312500000000995e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,1.879500678724499441e-04,6.580521045107673439e-04,-9.609557353787989697e-04
1.000000000000000000e+00,2.022931666893085279e+01,6.265326042657247854e+02,2.253742698002988902e+02,2.628928571428571104e+02,3.257913326993615044e+01,2.864658334465425948e+00,8.690312499999999218e+00,5.700000000000000000e+01,-9.000000000000000000e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-6.601310054082931700e-05,1.726418929602901997e-04,-8.767806017276891239e-04
1.000000000000000000e+00,3.349551669316375069e+01,6.467187917329092670e+02,2.633287758346581313e+02,2.808035714285714448e+02,2.453138314785373453e+01,9.497758346581875344e+00,8.690312499999999218e+00,5.699999999999999289e+01,-8.999999999999998579e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,-3.673194420979741803e-04,-1.036034231725879717e-04,-7.156539142739726245e-04
1.000000000000000000e+00,4.672309356408869263e+01,6.722787092121867545e+02,2.995323598341445290e+02,1.981071428571428612e+02,1.461546782044348269e+01,1.611154678204434632e+01,8.690312499999999218e+00,5.700000000000000000e+01,-8.999999999999998579e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,4.000000000000000000e+00,-5.102889895177153967e-04,-7.234544282070376475e-04,-1.095151699789909117e-03
