h,k,l,I,sigma,multiplicity,d,absent_212121
0,0,1,0.10550505865603833,0.6017677120610543,3,12.325821030254238,True
0,0,2,263.4447846493201,6.676753786492972,3,6.162910515127119,False
0,0,3,0.4870632589878323,1.070496195709856,2,4.1086070100847465,True
0,0,4,7322.437695072276,147.760021168145,4,3.0814552575635594,False
0,0,5,1.2613880649924627,0.854729042539035,4,2.465164206050848,True
0,0,6,128.87487067202545,4.067344842454979,4,2.054303505042373,False
0,0,7,-0.014584191091051114,0.9051607157148237,4,1.7608315757506052,True
0,0,8,48.280387250852804,2.5433902471080234,4,1.5407276287817795,False
0,0,9,-0.3118116991540646,1.0310063891269363,4,1.3695356700282484,True
0,0,10,5.389840257727298,1.5471869131320672,4,1.2325821030254236,False
0,0,11,-0.5237704132712152,1.2295430226740367,4,1.1205291845685668,True
0,0,12,218.96144496643092,8.797286957486468,3,1.0271517525211864,False
0,0,13,-0.5801074132468823,1.7077294557682206,3,0.9481400792503258,True
0,0,14,71.48263875219081,6.204521140232701,2,0.8804157878753025,False
0,0,15,0.2752096219984826,2.0700267891008393,2,0.821721402016949,True
0,0,16,18.51547642069245,4.9098270235222,1,0.7703638143908897,False
0,0,17,4.482312236086613,3.49318910876595,1,0.725048295897308,True
0,1,0,-0.6187057388634504,1.5253095979122075,1,5.98239419609606,True
0,1,1,397.9809700437867,12.390688394064792,2,5.381972970272544,False
0,1,2,7573.335192135401,215.93738057860648,2,4.292591060676327,False
0,1,3,108.28421299682157,4.470871613091488,3,3.3866629449691765,False
0,1,4,2319.3125644535553,39.04038046436764,6,2.7393119368177317,False
0,1,5,424.6148312140953,7.0644197139615255,8,2.279238446393716,False
0,1,6,69.96770249444194,2.653793912554735,8,1.9429413291221795,False
0,1,7,25.00979385321043,1.6410070458289765,7,1.6891646724672054,False
0,1,8,478.8510643439702,8.375252999232496,8,1.4920394891336262,False
0,1,9,3.2974500531670303,0.8200029650264061,8,1.3350001152831268,False
0,1,10,44.22059058472761,1.819258714822677,9,1.2072180576110076,False
0,1,11,91.16665321151604,3.9538003033272613,8,1.1013632213218099,False
0,1,12,29.099263413674755,2.4447126606240386,6,1.0123385489141044,False
0,1,13,48.23302217423112,3.274353376005272,6,0.936464196493954,False
0,1,14,2.248759657500298,1.5310258812835384,4,0.8710337359190727,False
0,1,15,64.89779248118677,4.434483246717904,4,0.8140777509656307,False
0,1,16,11.64242479412286,3.0666092799109737,2,0.7640550115960447,False
0,2,0,48.29976139392946,4.393333891510512,1,2.99119709804803,False
0,2,1,58.00926308114205,4.7903606098111275,1,2.9066563790529565,False
0,2,2,2417.097664540151,70.72811779594169,2,2.690986485136272,False
0,2,3,954.0292708911437,29.524114803770058,2,2.418215481728403,False
0,2,4,66.86509079677504,3.4772110537735963,5,2.14624067701342,False
0,2,5,139.06172329063233,3.891537435621383,5,1.90231726019772,False
0,2,6,2707.3675385927545,97.81569521672228,6,1.6933314724845887,False
0,2,7,294.54741869866916,7.412105604060492,6,1.5174318644215516,False
0,2,8,1.8328311575608711,1.1230669963134552,7,1.3697238566863834,False
0,2,9,277.682742996427,6.768468952660628,6,1.2452220495702775,False
0,2,10,265.6950405023314,8.077402165191826,4,1.139619223196858,False
0,2,11,5.1077273570110755,1.8513224028783113,4,1.0493190265662373,False
0,2,12,27.80948451213698,4.15304281120381,4,0.9714706645610898,False
0,2,13,152.05802827160107,16.016471676103393,3,0.9037990836714083,False
0,2,14,3.955771283571709,2.60675339503062,2,0.8445906925193911,False
0,3,0,-0.3611194109051431,2.349388167365623,1,1.9941313986986864,True
0,3,1,32.167649432076,4.219402477095402,1,1.968455898199728,False
0,3,2,2.282931711114122,1.7513578970849744,2,1.8972829901708481,False
0,3,3,64.51611218096299,4.298817609846719,2,1.7939909900908482,False
0,3,4,604.83556843545,62.348092508906326,3,1.6740865628505521,False
0,3,5,218.2382622885245,4.899667209045591,7,1.5503551424247097,False
0,3,6,56.03365136413738,2.318508523998859,6,1.430863686892109,False
0,3,7,287.55200751926935,6.726788668169853,6,1.3199099589359264,False
0,3,8,85.02535962503659,3.3110201704679483,6,1.2192115119143192,False
0,3,9,95.54869541172128,4.442163709979653,4,1.1289325498289027,False
0,3,10,27.056125545311225,2.48870797557129,4,1.0484637992981312,False
0,3,11,217.18417433971715,9.772917310523654,4,0.9768705965557594,False
0,3,12,11.694401309781961,1.8647719581289912,4,0.913135660135419,False
0,3,13,5.461435595548991,3.218339848032979,2,0.8562791763483452,False
0,3,14,2.7924677421209463,3.0189284542654358,2,0.8054108177701523,False
0,4,0,532.2197054493162,18.976269046666122,2,1.495598549024015,False
0,4,1,403.2480444868221,12.432752089046705,3,1.4846936212498925,False
0,4,2,29.01095833449902,2.317890728781444,4,1.4534133566244154,False
0,4,3,-0.6916613749347976,1.2364491603704844,4,1.4053822771793256,False
0,4,4,37.93180481819773,2.7367106402994983,4,1.3454932425681363,False
0,4,5,16.603742511617778,2.0304803226079016,4,1.2786739434400398,False
0,4,6,119.94709680949731,3.842958064686046,6,1.2090587066293355,False
0,4,7,91.60319898099698,4.368693205311705,3,1.139861404065057,False
0,4,8,148.19022542531067,15.502993044710236,4,1.0731477651690815,False
0,4,9,86.53673915206238,8.10285485038575,3,1.010082588058527,False
