h,k,l,I,sigma,multiplicity,d,absent_212121
0,0,1,-0.014447802635902772,0.5925394353469842,3,12.301801722393677,True
0,0,2,270.5428499574283,6.85256368159629,3,6.150900861196838,False
0,0,3,0.5799553028650244,1.0345529591290197,2,4.100600574131224,True
0,0,4,7247.887582793603,146.2707200709252,4,3.075450430598419,False
0,0,5,0.4675260931249426,0.8474843697966755,4,2.4603603444787354,True
0,0,6,127.54316757739173,4.042537442972221,4,2.050300287065612,False
0,0,7,0.3260148194470761,0.8041477167149089,4,1.7574002460562392,True
0,0,8,47.65294149600068,2.5026409486184984,4,1.5377252152992096,False
0,0,9,-0.8928681947686053,0.7527540326386424,5,1.3668668580437418,True
0,0,10,4.950560366042554,1.3849115978827433,4,1.2301801722393677,False
0,0,11,0.46021521586596936,1.4035701944196808,3,1.1183456111266976,True
0,0,12,221.95931383085397,8.875487107537742,3,1.0251501435328063,False
0,0,13,0.9329132086559109,1.4295571668443103,3,0.9462924401841288,True
0,0,14,77.26220755063375,6.514619885768716,2,0.8787001230281197,False
0,0,15,0.8214631957722283,2.1024062295970696,2,0.8201201148262451,True
0,0,16,24.433747184023016,5.342340658117603,1,0.7688626076496049,False
0,0,17,0.813785435192988,2.0429643322735185,1,0.7236353954349224,True
0,1,0,-0.10723967666676411,1.3423392487624228,1,5.971057134597748,True
0,1,1,391.81162945309586,12.208305879547094,2,5.371718637203467,False
0,1,2,7699.409911220213,219.5081333713562,2,4.2843445068154935,False
0,1,3,110.42815426127814,5.195385873478762,3,3.3802559378833554,False
0,1,4,2339.4957434935777,39.38144499943274,6,2.7340994599594666,False
0,1,5,420.38582600760395,7.0091012771665495,8,2.2748146113080274,False
0,1,6,70.23755193139463,3.0291126752851145,8,1.9391660941738875,False
0,1,7,24.921245110780063,1.5326807284583912,7,1.6858968894330661,False
0,1,8,481.61947757849435,8.437096872856571,8,1.4891369223764492,False
0,1,9,2.8099282330443027,0.7993613033264372,8,1.3324021614001986,False
0,1,10,46.0434361211134,1.8465346829234766,9,1.2048749505561251,False
0,1,11,94.8578974054382,3.399860092666048,7,1.0992317095023487,False
0,1,12,33.22643615500369,2.829945987993363,6,1.010367358099352,False
0,1,13,52.619579562806514,2.959138260192661,6,0.9346282231266718,False
0,1,14,3.9354566298140448,1.5602920192763428,4,0.8693373422582262,False
0,1,15,70.91012621122938,5.899344347635423,4,0.812492165849359,False
0,1,16,13.82835196780643,3.186425567047749,2,0.7625667659167401,False
0,2,0,46.533101710904965,4.126662478805142,1,2.985528567298874,False
0,2,1,54.23668514858112,4.488700590673982,1,2.901309384886249,False
0,2,2,2386.5991026804454,69.86900005943737,2,2.6858593186017337,False
0,2,3,940.0166781909838,29.132723410929856,2,2.4135878113772864,False
0,2,4,67.98151432290341,3.2947194644641145,5,2.1421722534077476,False
0,2,5,139.12872906077297,3.8987881519526812,5,1.8986990871861864,False
0,2,6,2647.8383914529127,89.47537415491276,6,1.6901279689416782,False
0,2,7,291.3456825942693,6.673432947821774,6,1.5144957600355031,False
0,2,8,1.2974017403589213,1.1408160983764153,7,1.3670497299797333,False
0,2,9,279.38394932174316,6.821852771546894,6,1.2428070418839443,False
0,2,10,266.21185213632907,8.120709426814571,4,1.1374073056540135,False
