h,k,l,I,sigma,multiplicity,d,absent_212121
0,0,1,-0.012955355209889895,0.5920378288236557,3,12.301801722393677,True
0,0,2,265.28627657261114,6.721507767306078,3,6.150900861196838,False
0,0,3,0.5686645180186569,1.0219793637567076,2,4.100600574131224,True
0,0,4,7150.573919703357,163.47763608632616,4,3.075450430598419,False
0,0,5,0.45791411429492274,0.8390232683056821,4,2.4603603444787354,True
0,0,6,127.74183790628014,4.046385937209715,4,2.050300287065612,False
0,0,7,0.327807451029815,0.8058443243642139,4,1.7574002460562392,True
0,0,8,48.02131392422386,2.517431060320451,4,1.5377252152992096,False
0,0,9,-0.9055479313136706,0.7588534471337522,5,1.3668668580437418,True
0,0,10,4.980308277391913,1.3874089251694337,4,1.2301801722393677,False
0,0,11,0.44816315974726745,1.4040182137274562,3,1.1183456111266976,True
0,0,12,221.56325902094164,8.856742832651488,3,1.0251501435328063,False
0,0,13,0.9254909252930245,1.424419511282994,3,0.9462924401841288,True
0,0,14,76.99248430553877,6.491194187388355,2,0.8787001230281197,False
0,0,15,0.8135493876498788,2.091033393743312,2,0.8201201148262451,True
0,0,16,24.185480272947228,5.2899564164815365,1,0.7688626076496049,False
0,0,17,0.8017391266596995,2.0200096795242257,1,0.7236353954349224,True
0,1,0,-0.10985152214211931,1.3569856199821682,1,5.971057134597748,True
0,1,1,393.03930429631544,12.243912350245608,2,5.371718637203467,False
0,1,2,7627.974467795882,217.44723515032996,2,4.2843445068154935,False
0,1,3,109.26681282551172,4.474978900485207,3,3.3802559378833554,False
0,1,4,2337.2457668073184,39.335830063326114,6,2.7340994599594666,False
0,1,5,418.6313854173532,6.978996441136511,8,2.2748146113080274,False
0,1,6,69.49070356489827,3.000283428127094,8,1.9391660941738875,False
0,1,7,24.573150815832836,1.5222665006843747,7,1.6858968894330661,False
0,1,8,475.7149327432807,8.335968234959532,8,1.4891369223764492,False
0,1,9,2.7778590772939453,0.7915336337763624,8,1.3324021614001986,False
0,1,10,45.574044933093845,1.8284914924183726,9,1.2048749505561251,False
0,1,11,94.05113343953546,3.252343671222001,7,1.0992317095023487,False
0,1,12,33.27632079564174,2.865214349524919,6,1.010367358099352,False
0,1,13,53.20094646357253,2.848885572955467,6,0.9346282231266718,False
0,1,14,3.9350626452620454,1.555994331854256,4,0.8693373422582262,False
0,1,15,70.56305865141067,5.512296010499101,4,0.812492165849359,False
0,1,16,13.739443662382579,3.159723390699263,2,0.7625667659167401,False
0,2,0,47.80531631205774,4.232764774787646,1,2.985528567298874,False
0,2,1,55.12716719152218,4.558506526228959,1,2.901309384886249,False
0,2,2,2397.6383071207906,70.17629651788411,2,2.6858593186017337,False
0,2,3,937.9922676814249,29.065930733307216,2,2.4135878113772864,False
0,2,4,67.26333254487089,3.5028596793306286,5,2.1421722534077476,False
0,2,5,138.14922174979387,3.8703783735179265,5,1.8986990871861864,False
0,2,6,2674.246834554849,97.40515495311186,6,1.6901279689416782,False
0,2,7,290.5497110049452,6.652989580097936,6,1.5144957600355031,False
