trial,iteration,modulus_R,approximate_model_R
0.000000000000000000e+00,9.900000000000000000e+01,6.450449952429971878e-01,6.286758521187263415e-01
0.000000000000000000e+00,1.990000000000000000e+02,4.517813601258454659e-01,3.684658326439889109e-01
0.000000000000000000e+00,2.990000000000000000e+02,4.701207711947078538e-01,3.769903510989141560e-01
0.000000000000000000e+00,3.990000000000000000e+02,4.758965956327503299e-01,3.595616622116757921e-01
0.000000000000000000e+00,4.990000000000000000e+02,4.748582058124679595e-01,3.792266947013854250e-01
0.000000000000000000e+00,5.990000000000000000e+02,4.658994004465465411e-01,3.595616622116757921e-01
0.000000000000000000e+00,6.990000000000000000e+02,4.775224190124239265e-01,3.798221206124212102e-01
0.000000000000000000e+00,7.990000000000000000e+02,4.590368238071376172e-01,3.595616622116759586e-01
0.000000000000000000e+00,8.990000000000000000e+02,4.601181373556154641e-01,3.795416509195871368e-01
1.000000000000000000e+00,9.900000000000000000e+01,6.195869643926633641e-01,6.197153124290382120e-01
1.000000000000000000e+00,1.990000000000000000e+02,5.599162395163839179e-01,5.378442009477562014e-01
1.000000000000000000e+00,2.990000000000000000e+02,5.023173751774528961e-01,5.035252934029061933e-01
1.000000000000000000e+00,3.990000000000000000e+02,5.470882221327330042e-01,5.123569437266878301e-01
1.000000000000000000e+00,4.990000000000000000e+02,5.322165202678103002e-01,5.207890514470664423e-01
1.000000000000000000e+00,5.990000000000000000e+02,5.363545764073325284e-01,5.235693942356888231e-01
1.000000000000000000e+00,6.990000000000000000e+02,5.451651143219637952e-01,4.981048588094958984e-01
1.000000000000000000e+00,7.990000000000000000e+02,5.400123912311897145e-01,5.322420992759073766e-01
1.000000000000000000e+00,8.990000000000000000e+02,5.297605999399381815e-01,4.987636715846942570e-01
2.000000000000000000e+00,9.900000000000000000e+01,6.385534226883519127e-01,5.932382515361044328e-01
2.000000000000000000e+00,1.990000000000000000e+02,6.217760491674300116e-01,6.178114899883344613e-01
2.000000000000000000e+00,2.990000000000000000e+02,6.254841164191979885e-01,6.135584100936137819e-01
2.000000000000000000e+00,3.990000000000000000e+02,6.137811878687393641e-01,6.604960983508011418e-01
2.000000000000000000e+00,4.990000000000000000e+02,6.188072135549304020e-01,6.307149148906497915e-01
2.000000000000000000e+00,5.990000000000000000e+02,4.540164235981021257e-01,3.769903510989142670e-01
2.000000000000000000e+00,6.990000000000000000e+02,4.525264454033682826e-01,3.809439722343768153e-01
2.000000000000000000e+00,7.990000000000000000e+02,4.498505155235323905e-01,3.595616622116758476e-01
2.000000000000000000e+00,8.990000000000000000e+02,4.526050172152506490e-01,3.595616622116757921e-01
