h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
0,0,2,3,270.9102787,6.858414335,298.7284277
0,0,4,4,7440.055689,150.6335801,7998.674318
0,0,6,1,132.6675324,4.171307369,134.1704607
0,0,8,1,48.63106012,2.556279799,67.88150078
0,0,10,4,6.914173339,1.620954812,3.009201031
0,0,12,0,229.8200093,9.03635678,221.5992933
0,0,14,3,81.7289553,6.861775364,64.10617205
0,0,16,4,25.34355136,5.184454488,19.12276875
0,1,1,1,400.71124,12.4474663,425.4169023
0,1,2,1,7638.145313,217.4582017,8374.206242
0,1,3,3,111.2519044,6.775098859,144.2894806
0,1,4,1,2398.739897,43.69387148,2336.542161
0,1,5,1,432.0660606,7.191976801,418.3033694
0,1,6,2,73.80742734,2.962851615,76.33531021
0,1,7,1,23.21772315,3.445998444,28.16087867
0,1,8,0,494.5146461,8.61256104,465.5364823
0,1,9,3,4.065547011,0.9374039948,3.722848384
0,1,10,1,48.6978098,1.925622595,52.51840546
0,1,11,0,100.7374109,3.131607897,100.0879236
0,1,12,1,37.2326233,2.963100395,34.20093827
0,1,13,1,59.38544919,3.169131209,52.48088126
0,1,14,1,4.155917503,1.655189567,3.052104982
0,1,15,4,79.52856048,4.967642545,78.20390506
0,1,16,4,17.25522744,3.245585403,26.09702227
0,2,0,0,48.79501792,4.359415714,66.8080082
0,2,1,3,57.29628533,4.782496828,78.11181294
0,2,2,1,2442.696618,71.36931942,2329.41819
0,2,3,4,963.0848738,29.75161582,1014.846253
0,2,4,1,68.25792188,3.927813073,66.29564742
0,2,5,2,142.6848579,3.928522507,148.6531976
0,2,6,2,2775.378191,50.88310916,2618.515918
0,2,7,2,301.6516327,7.179444965,306.7692927
0,2,8,4,1.950580478,1.399863933,3.359559026
0,2,9,4,285.1788781,6.921122463,292.7951252
0,2,10,3,277.2655885,8.432141733,249.9350522
0,2,11,2,4.98907464,1.640174902,2.112848213
0,2,12,4,35.0922734,4.099674586,31.08424822
0,2,13,4,170.4007831,14.26295845,182.1493661
0,2,14,0,6.760631715,3.145703156,7.208954934
0,3,1,1,35.08546633,4.422352895,33.5456361
0,3,2,2,0.6477023871,1.420165595,2.168540522
0,3,3,0,64.31230509,4.640299245,64.06722246
0,3,4,2,624.4824341,39.64770893,579.370146
0,3,5,4,221.6933526,5.391948679,242.1878634
0,3,6,4,58.27482799,2.321236755,57.48263922
0,3,7,1,295.0010787,6.935742922,280.1162767
0,3,8,1,88.86412744,3.394593881,81.57704975
0,3,9,4,99.76039887,7.529204538,114.3878163
0,3,10,4,29.70438398,2.58429277,31.38479489
0,3,11,3,240.1579969,10.22852051,245.042221
0,3,12,0,14.01947752,1.97486321,12.92571201
0,3,13,4,2.240190196,3.742432691,0.6416289058
0,3,14,1,4.831882188,3.027169699,3.254156559
0,3,15,3,20.8539399,6.252530121,27.58581021
0,4,0,4,542.5660626,19.26966499,493.6400149
0,4,1,4,410.1590062,12.872642,423.0903872
0,4,2,3,33.68185233,2.484083483,33.43416343
0,4,3,3,0.7292628843,1.334386676,0.6160532176
0,4,4,4,39.55620192,2.77964263,45.85064346
0,4,5,0,17.80587987,2.157357041,20.69852128
0,4,6,3,124.2165715,3.904696176,125.8821707
0,4,7,0,99.17247441,4.517539275,105.4309889
0,4,8,3,160.5000803,6.956236655,149.3321327
0,4,9,0,99.62345774,5.485785863,96.22599033
0,4,10,4,74.34415848,4.972749613,71.29478322
0,4,11,3,10.69769204,2.147442935,15.07133649
0,4,12,0,198.3305874,18.36737959,197.6782811
0,4,13,1,53.51012846,6.111401713,38.29540102
0,4,14,1,6.586890355,4.416054018,5.1731372
0,5,1,4,36.16397806,3.419490187,42.1394798
0,5,2,3,81.54091167,4.319949901,67.81617736
0,5,3,0,242.3991708,8.144621362,262.1000388
0,5,4,1,50.88273716,5.080922612,61.9054393
0,5,5,0,78.2875782,6.163102589,76.41812242
0,5,6,2,-2.691188631,2.40627201,0.3753313931
0,5,7,4,14.71980344,2.345555108,13.39039877
0,5,8,1,13.37577856,2.265402268,18.02649056
0,5,9,1,27.95639075,12.0640767,25.01642574
0,5,10,3,49.0020012,5.566257453,49.98930482
0,5,11,3,20.62434791,5.307561555,18.90617014
0,5,12,2,4.964790469,3.519511563,0.06563049296
0,6,0,4,81.7086787,9.591199611,84.4337711
