h,k,l,I,sigma,multiplicity,d,absent_P212121
0,0,1,-0.095734271,0.12091444,3,12.297238,1
0,0,2,269.23646,6.7853852,3,6.1486189,0
0,0,3,0.17229084,0.96119488,2,4.0990793,1
0,0,4,7200.1941,187.34433,4,3.0743095,0
0,0,5,0.91957152,0.64315397,4,2.4594476,1
0,0,6,129.31046,4.0622344,4,2.0495396,0
0,0,7,-0.15505155,0.63258839,5,1.7567483,1
0,0,8,48.316055,2.5014679,4,1.5371547,0
0,0,9,-1.4848298,0.68546686,5,1.3663598,1
0,0,10,5.5833503,1.3078896,4,1.2297238,0
0,0,11,0.95378904,1.0288378,4,1.1179307,1
0,0,12,230.26388,9.0747222,3,1.0247698,0
0,0,13,0.13276842,1.1554923,3,0.94594137,1
0,0,14,82.900856,6.7296937,2,0.87837413,0
0,0,15,0.29529749,1.8249677,2,0.81981586,1
0,0,16,27.900715,5.2133216,1,0.76857736,0
0,0,17,2.8353685,2.3047674,1,0.72336693,1
0,1,0,-0.782947,0.94609075,1,5.9693035,1
0,1,1,405.03237,12.585779,2,5.3700618,0
0,1,2,7452.5456,212.25102,2,4.2829255,0
0,1,3,111.80635,5.4667761,3,3.3790856,0
0,1,4,2295.4097,44.011197,6,2.7331294,0
0,1,5,422.96351,7.0258952,8,2.2739962,0
0,1,6,70.324637,2.8444454,8,1.9384625,0
0,1,7,24.618675,1.6948798,7,1.6852818,0
0,1,8,482.76509,8.4775261,8,1.4885916,0
0,1,9,3.4186266,0.74050259,8,1.331913,0
0,1,10,46.478059,1.8321533,9,1.2044317,0
0,1,11,99.974458,3.5220761,8,1.0988268,0
0,1,12,36.514741,2.876137,6,1.0099948,0
0,1,13,57.143592,2.8121655,6,0.93428325,0
0,1,14,3.6396778,1.41446,4,0.86901625,0
0,1,15,78.094285,4.7968341,4,0.8121919,0
0,1,16,18.13325,3.1872682,2,0.76228482,0
0,2,0,49.69339,4.288668,1,2.9846517,0
0,2,1,56.620667,4.6139546,1,2.9004448,0
0,2,2,2429.567,71.058998,2,2.6850309,0
0,2,3,968.63209,29.963284,2,2.4128143,0
0,2,4,66.806412,3.9902751,5,2.1414628,0
0,2,5,136.88422,3.8227991,5,1.898054,0
0,2,6,2712.3809,56.480061,5,1.6895428,0
0,2,7,294.67823,9.3513705,6,1.513964,0
0,2,8,1.5615104,1.2170685,7,1.3665647,0
0,2,9,279.12404,6.7925308,6,1.2423626,0
0,2,10,270.11802,8.2162642,4,1.1369981,0
0,2,11,4.4903069,1.9151754,4,1.0469026,0
0,2,12,34.305326,4.5836008,4,0.96923124,0
0,2,13,167.87953,14.504629,3,0.90173612,0
0,2,14,7.2791525,2.7235121,2,0.84264091,0
0,3,0,0.25935938,0.89085518,2,1.9897678,1
0,3,1,2.376738,4.3697717,3,1.9642211,0
0,3,2,-0.49820472,0.6702193,4,1.8931078,0
0,3,3,62.594879,3.9041911,2,1.7900206,0
0,3,4,627.88262,38.169276,2,1.6704236,0
0,3,5,216.86824,4.9489459,7,1.54691,0
0,3,6,56.108821,2.2673047,6,1.4276418,0
0,3,7,283.71595,6.7042922,6,1.3169247,0
0,3,8,84.474468,3.2593906,6,1.2164438,0
0,3,9,98.957836,7.5812355,4,1.1263619,0
0,3,10,29.796587,2.4899353,4,1.0460703,0
0,3,11,235.67638,9.6978321,4,0.9746359,0
0,3,12,12.737936,1.7992056,4,0.91104314,0
0,3,13,0.13671681,3.4070269,2,0.85431412,0
0,3,14,2.1295983,2.329599,2,0.80356026,0
0,3,15,22.122546,5.9325774,1,0.75799873,0
0,4,0,540.31187,19.274175,2,1.4923259,0
0,4,1,410.42369,16.063217,3,1.4814571,0
0,4,2,30.46023,2.2599082,4,1.4502224,0
0,4,3,1.7237472,1.1357601,4,1.4022855,0
0,4,4,38.875232,2.6748444,4,1.3425155,0
0,4,5,17.247998,1.9500113,4,1.2758309,0
0,4,6,121.76074,3.8655496,6,1.2064072,0
0,4,7,96.053815,5.4079634,3,1.1373525,0
0,4,8,155.38101,6.8481959,3,1.0707314,0
0,4,9,95.365587,5.3204743,3,1.0077577,0
0,4,10,71.769155,4.7096664,3,0.94902702,0
0,4,11,10.57476,2.0717538,3,0.89472249,0
0,4,12,196.61736,16.32979,2,0.8447714,0
0,4,13,53.71704,5.9453274,2,0.79895525,0
0,4,14,6.2941992,4.1765473,1,0.75698201,0
0,5,0,-2.0210767,1.4812517,2,1.1938607,1
0,5,1,36.02952,2.8479736,4,1.1882739,0
0,5,2,82.226082,4.2367585,4,1.1719728,0
0,5,3,238.19945,8.0635795,4,1.1462343,0
0,5,4,49.498831,4.7100216,2,1.112892,0
0,5,5,75.004054,5.9354144,2,1.0740124,0
0,5,6,-1.0466558,1.4564809,2,1.0316048,0
0,5,7,1.196038,2.3189457,5,0.98742531,0
0,5,8,13.456442,2.2612303,3,0.94288292,0
0,5,9,20.996779,6.3753803,3,0.89902717,0
0,5,10,46.713408,4.6851196,2,0.85658511,0
0,5,11,20.45093,5.2193907,1,0.81601993,0
0,5,12,2.9808552,2.8126915,1,0.77759297,0
0,6,0,82.590365,9.3184169,1,0.99488391,0
0,6,1,77.634993,6.4062767,2,0.9916439,0
0,6,2,9.7029049,6.0011643,2,0.98211056,0
0,6,3,11.629478,3.0501442,2,0.96681494,0
0,6,4,7.3215493,2.8721932,2,0.9465539,0
0,6,5,60.088596,5.8789202,2,0.92228358,0
0,6,6,69.379307,6.5694086,2,0.8950103,0
0,6,7,59.740975,4.0551314,4,0.8656993,0
0,6,8,29.335405,4.2149768,3,0.8352118,0
0,6,9,2.8095124,1.659224,3,0.80427144,0
0,6,10,54.509132,8.5233118,1,0.77345502,0
0,6,11,2.0593442,2.8390426,1,0.74319991,0
0,7,0,0.59131509,2.9272946,1,0.85275764,1
0,7,1,1.4898824,2.0459117,2,0.85071464,0
0,7,2,47.150395,5.5617769,2,0.84467262,0
0,7,3,12.266554,4.4998129,2,0.8348825,0
0,7,4,11.959628,3.324799,2,0.8217311,0
0,7,5,48.215265,5.6899235,2,0.80570116,0
0,7,7,1.8200279,1.8314178,2,0.76715169,0
0,7,8,23.832767,5.8728646,1,0.74569484,0
1,0,0,0.43775322,0.53083306,2,5.7956112,1
1,0,1,1092.7456,20.18917,5,5.2425516,0
1,0,2,158.1769,8.0327027,1,4.2173929,0
1,0,3,999.42991,16.202052,7,3.346622,0
1,0,4,121.6317,3.0434938,8,2.7158653,0
1,0,5,-0.47367562,0.48289624,6,2.2640238,0
1,0,6,631.28802,11.864655,6,1.932274,0
1,0,7,39.628233,1.7897049,7,1.6812105,0
1,0,8,63.363432,2.0531591,9,1.4857837,0
1,0,9,29.459162,1.4760481,9,1.3299005,0
1,0,10,143.50438,5.2086304,9,1.2029429,0
1,0,11,80.852776,3.0262347,7,1.0976959,0
1,0,12,73.830983,3.5785371,5,1.0091164,0
1,0,13,17.033789,1.8335499,5,0.93358784,0
1,0,14,38.59274,3.2630446,4,0.86845655,0
1,0,15,70.008844,4.5544339,4,0.81173491,0
1,0,16,2.4779994,1.7854464,2,0.76190697,0
1,1,0,100.78178,6.567176,2,4.1581657,0
1,1,1,195.12502,3.7427265,6,3.9390676,0
1,1,2,156.48973,3.310875,6,3.4444501,0
1,1,3,1516.9617,18.15504,12,2.9191527,0
1,1,4,213.77813,3.1491039,13,2.4720355,0
1,1,5,578.68892,7.1137184,14,2.1168796,0
1,1,6,26.440495,1.0597129,14,1.8383587,0
1,1,7,413.49848,5.194589,16,1.6182532,0
1,1,8,275.5951,3.8870137,16,1.4417929,0
1,1,9,274.18242,3.9945789,16,1.2980754,0
1,1,10,145.4559,2.8409016,17,1.1792363,0
1,1,11,14.836026,0.95506777,13,1.0795941,0
1,1,12,3.4004866,0.77178266,12,0.99499888,0
1,1,13,125.53807,3.5887617,10,0.92237517,0
1,1,14,22.011384,1.7767963,8,0.85940884,0
1,1,15,55.026471,3.1134892,7,0.80433217,0
1,1,16,38.14563,6.6279023,1,0.75577554,0
1,2,0,1.6907984,0.676893,4,2.6534595,0
1,2,1,89.933854,2.4728996,6,2.5937641,0
1,2,2,398.49556,6.7252467,8,2.4362757,0
1,2,3,699.43647,10.447011,9,2.2274893,0
1,2,4,219.57803,3.7385125,11,2.0087246,0
1,2,5,553.09694,8.679605,9,1.8037847,0
1,2,6,22.314864,1.0939404,11,1.6220246,0
1,2,7,127.83583,3.1613214,10,1.4648101,0
1,2,8,3.6986087,0.63764997,12,1.3300895,0
1,2,9,307.26311,4.9421228,13,1.214766,0
1,2,10,8.6776258,0.87417687,10,1.1157299,0
1,2,11,8.569237,0.95264823,8,1.0302294,0
1,2,12,31.3757,1.9821629,7,0.9559555,0
1,2,13,74.567375,3.6454605,6,0.89101572,0
1,2,14,54.095401,4.043221,5,0.83387333,0
1,2,15,11.787094,3.4602329,2,0.78328291,0
1,3,0,306.15342,9.3387542,3,1.8819436,0
1,3,1,441.01368,10.789081,4,1.8602851,0
1,3,2,65.983503,2.4331259,6,1.7995378,0
1,3,3,555.7737,9.5209054,8,1.7103028,0
1,3,4,114.0734,4.7542632,6,1.6050847,0
1,3,5,30.898409,1.1622347,11,1.4945877,0
1,3,6,69.474495,2.0074774,11,1.3862043,0
1,3,7,196.93211,3.7418606,12,1.284189,0
1,3,8,49.749196,1.6442295,13,1.1905031,0
1,3,9,416.7948,8.1595801,8,1.1056743,0
1,3,10,34.550122,2.2701552,7,1.0294363,0
1,3,11,52.88208,2.313542,8,0.96113991,0
1,3,12,59.896535,3.1344767,6,0.89999144,0
1,3,13,74.775644,4.3495885,5,0.84518106,0
1,3,14,27.934502,2.6567377,5,0.79594614,0
1,3,15,2.7361413,2.5384942,1,0.75159772,0
1,4,0,4.1180163,1.7438844,4,1.4451851,0
1,4,1,171.84025,4.7967808,6,1.4353075,0
1,4,2,37.024713,1.7924751,8,1.406847,0
1,4,3,166.75123,4.1816471,8,1.3629572,0
1,4,4,23.321358,1.5369452,8,1.3078843,0
1,4,5,60.440237,2.0874725,9,1.2459973,0
1,4,6,40.067201,1.5769334,11,1.1810901,0
1,4,7,310.60353,7.804348,6,1.1160648,0
1,4,8,47.153982,2.2284332,7,1.0529131,0
1,4,9,3.689406,0.87286347,7,0.99285975,0
1,4,10,31.150819,2.3060265,6,0.93655379,0
1,4,11,263.89873,8.4470081,5,0.88424741,0
1,4,12,41.141352,2.816746,6,0.83593785,0
1,4,13,31.909086,3.4116299,3,0.79147008,0
1,4,14,35.399484,6.6939144,1,0.7506065,0
1,5,0,17.29084,2.927752,2,1.1693095,0
1,5,1,144.56087,4.1295039,8,1.1640589,0
1,5,2,98.850734,3.357472,8,1.1487215,0
1,5,3,394.57622,11.479458,4,1.1244535,0
1,5,4,8.7462012,1.7036608,4,1.0929247,0
1,5,5,36.086965,4.2929901,4,1.0560325,0
1,5,6,65.673425,3.3486493,6,1.0156409,0
1,5,7,146.41752,5.0770003,7,0.97339869,0
1,5,8,-0.39041416,0.65562232,7,0.93064728,0
1,5,9,66.388118,3.3276323,6,0.88840197,0
1,5,10,11.569307,2.9446501,3,0.8473798,0
1,5,11,52.758829,4.43752,3,0.80804964,0
1,5,12,19.637212,3.4455377,2,0.77068719,0
1,5,13,12.487154,7.3054868,2,0.73542566,0
1,6,0,30.757741,6.5672822,2,0.98054165,0
1,6,1,129.34883,5.9492733,4,0.97743931,0
1,6,2,95.743227,5.1255527,4,0.96830607,0
1,6,3,64.628626,4.1965781,4,0.95363689,0
1,6,4,68.330024,4.3724525,4,0.93417667,0
1,6,5,104.69496,5.5151638,4,0.9108229,0
1,6,6,10.98786,2.192974,4,0.88452523,0
1,6,7,50.638742,2.8869134,7,0.85620028,0
1,6,8,47.566052,3.3676816,5,0.82667175,0
1,6,9,2.37229,1.2744594,5,0.79663727,0
1,6,10,-0.11976801,1.3450015,2,0.76665794,0
1,6,11,17.277929,4.9012928,1,0.73716359,0
1,7,0,155.69683,15.035838,2,0.84367388,0
1,7,1,48.409248,3.9860981,4,0.84169532,0
1,7,2,13.772449,2.4992096,4,0.83584214,0
1,7,3,31.870834,3.8609097,4,0.82635244,0
1,7,4,57.862202,4.4457139,4,0.81359395,0
1,7,5,50.059791,4.1739975,4,0.7980266,0
1,7,7,13.50073,5.5550538,2,0.76051802,0
1,7,8,0.8859403,2.921534,2,0.73959802,0
1,7,9,49.979766,5.5979302,2,0.71785575,0
2,0,0,4372.6644,125.37699,2,2.8978056,0
2,0,1,745.34353,12.935843,6,2.8205517,0
2,0,2,266.29891,5.4801416,6,2.6212758,0
2,0,3,74.676046,2.1676489,6,2.3662337,0
2,0,4,238.30865,4.081594,9,2.1086965,0
2,0,5,730.14012,11.660857,8,1.8751267,0
2,0,6,117.53489,3.1939076,7,1.673311,0
2,0,7,7.2031304,0.87450573,8,1.5022518,0
2,0,8,120.02603,3.3332465,8,1.3579327,0
2,0,9,26.875158,1.5909298,8,1.2358661,0
2,0,10,51.088076,3.2183255,8,1.1320119,0
2,0,11,91.055455,3.3153572,7,1.0430063,0
2,0,12,26.294474,2.100461,5,0.96613702,0
2,0,13,14.499585,3.4838635,4,0.89924274,0
2,0,14,18.171753,2.2031046,5,0.84060525,0
2,0,15,154.95412,8.5562863,3,0.78885444,0
2,1,0,4810.6168,79.518282,6,2.6068692,0
2,1,1,80.900914,1.3432661,14,2.5501973,0
2,1,2,844.00119,10.496275,12,2.4000658,0
2,1,3,245.3951,3.4455797,13,2.1997127,0
2,1,4,1434.1853,16.738261,13,1.9882834,0
2,1,5,21.119154,1.2301855,14,1.7889396,0
2,1,6,273.69646,4.0274595,14,1.6112046,0
2,1,7,191.19039,3.1285787,17,1.4568266,0
2,1,8,9.5862497,0.67556286,16,1.3241037,0
2,1,9,72.562868,1.7546657,15,1.210201,0
2,1,10,61.015958,1.9238321,12,1.1121898,0
2,1,11,106.36811,2.9411722,11,1.0274404,0
2,1,12,108.22001,3.4025308,9,0.95372601,0
2,1,13,111.02468,3.9468228,8,0.88920959,0
2,1,14,51.825362,4.4532327,7,0.83239233,0
2,1,15,21.52821,2.334686,6,0.78205505,0
2,2,0,2.4700222,0.60452881,6,2.0790829,0
2,2,1,428.61038,6.3402475,10,2.0499905,0
2,2,2,1497.7899,20.863738,9,1.9695338,0
2,2,3,146.56729,3.2165171,8,1.854212,0
2,2,4,119.59887,2.7778275,9,1.7222251,0
2,2,5,5.5482431,1.2126962,12,1.5877761,0
2,2,6,355.93092,5.5031227,12,1.4595764,0
2,2,7,145.01294,2.9087947,13,1.3418651,0
2,2,8,170.95115,3.5335193,12,1.2360177,0
2,2,9,139.22838,3.0183456,13,1.1418478,0
2,2,10,4.5645557,1.1637055,10,1.0584398,0
2,2,11,69.765177,3.7566727,5,0.98461696,0
2,2,12,68.046529,4.0310537,5,0.91917936,0
2,2,13,70.9279,4.1004978,5,0.86101227,0
2,2,14,24.53667,2.5990756,5,0.80912658,0
2,2,15,20.833721,4.9317409,1,0.76266554,0
2,3,0,-0.56000237,0.61362408,4,1.6403055,0
2,3,1,255.8828,5.7902154,6,1.6259049,0
2,3,2,330.98258,7.0991453,6,1.5848772,0
2,3,3,312.32726,5.7171857,9,1.5228991,0
2,3,4,93.263543,2.2926546,11,1.4471966,0
2,3,5,369.33664,7.5180182,7,1.3646441,0
2,3,6,727.56657,9.6410465,13,1.280658,0
2,3,7,6.1292319,1.7931545,12,1.1989246,0
2,3,8,95.702857,2.6311963,12,1.1216271,0
2,3,9,61.130268,2.9220262,6,1.0498434,0
2,3,10,260.47148,6.3409741,8,0.9839245,0
2,3,11,36.634038,2.326084,7,0.92378532,0
2,3,12,87.661601,4.239865,7,0.86910333,0
2,3,13,11.809882,3.2950486,5,0.81944482,0
2,3,14,9.8631036,3.8141097,1,0.77434012,0
2,3,15,6.7870844,3.2837848,1,0.73332583,0
2,4,0,21.891128,2.3612639,4,1.3267298,0
2,4,1,295.49275,7.1099892,8,1.319075,0
2,4,2,5.7632357,0.94786026,8,1.296882,0
2,4,3,107.24674,3.1960014,8,1.2622595,0
2,4,4,229.58029,4.980559,9,1.2181378,0
2,4,5,173.26857,4.2921127,10,1.1676689,0
2,4,6,28.377748,1.4247135,10,1.1137446,0
2,4,7,181.20696,5.4824689,6,1.0587257,0
