h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,269.2364573,6.785385182,294.0359126,-13.68284051,3.552713679e-15,0.008986268485,2.350887448
0,0,4,7200.194093,187.3443316,7848.00711,-70.68964004,2.131628207e-14,1.223145623e-05,2.265628784
0,0,6,129.3104553,4.062234356,128.9531157,9.061331024,-4.884981308e-15,0.03169489487,-0.06361738679
0,0,8,48.31605524,2.501467904,59.7067894,-6.165778735,2.664535259e-15,0.1196409992,3.939959268
0,0,10,5.583350254,1.307889552,2.905701345,-1.360196219,-1.33226763e-15,0.5751650072,-2.030719131
0,0,12,230.2638808,9.074722243,215.2185673,11.70620012,-7.771561172e-15,0.007688174227,-1.319206708
0,0,14,82.90085557,6.729693728,61.65285381,6.265455768,-3.108624469e-15,0.01942725562,-2.961582404
0,0,16,27.90071453,5.213321612,19.40311246,-3.514890312,3.441691376e-15,0.03586887144,-1.609367573
0,1,1,405.0323678,12.58577882,423.1324856,-3.552713679e-15,16.41399364,0.003267462107,1.034633847
0,1,2,7452.545622,212.2510211,8322.026603,-1.776356839e-14,-72.79316894,1.052223e-05,2.820421276
0,1,3,111.806346,5.466776143,142.2104698,-7.105427358e-15,-9.515724545,0.02430946858,4.740457152
0,1,4,2295.409708,44.01119715,2308.423752,5.329070518e-15,38.33838756,0.0001497229983,0.1592415943
0,1,5,422.9635115,7.025895168,416.0077266,2.886579864e-15,-16.27521651,0.004753495111,-0.4795707257
0,1,6,70.32463691,2.844445445,71.42928786,1.776356839e-15,6.743948364,0.07973293301,0.3119205143
0,1,7,24.61867472,1.694879812,26.91556174,-1.776356839e-15,4.139785131,0.2925611523,1.242361439
0,1,8,482.765086,8.477526075,459.1440301,-1.021405183e-14,-17.09820608,0.003550829149,-1.407551184
0,1,9,3.41862656,0.7405025894,3.510591339,-6.217248938e-15,-1.495086138,1.789349247,0.1230181213
0,1,10,46.47805871,1.832153251,47.62128378,-2.220446049e-15,5.506512453,0.1886445602,0.4965395906
0,1,11,99.97445806,3.522076122,99.28555998,-2.220446049e-16,-7.950951807,0.04672804777,-0.1489168329
0,1,12,36.51474057,2.876137049,35.04690344,-3.330669074e-16,4.723902249,0.1055725635,-0.47692864
0,1,13,57.14359207,2.812165499,51.18851772,-1.554312234e-15,5.709030368,0.0921903193,-1.808130817
0,1,14,3.639677821,1.414459986,2.796087872,1.34336986e-14,-1.334293849,0.4968648865,-0.594635112
0,1,15,78.09428482,4.796834061,74.18965564,7.105427358e-15,6.873022314,0.03508961217,-0.7314237861
0,1,16,18.13325005,3.187268199,24.55145064,-1.33226763e-15,-3.953799618,0.09565156638,1.984994597
0,2,0,49.69339028,4.288668009,60.02959876,-6.182424145,1.776356839e-15,0.04850798409,2.27650115
0,2,1,56.62066687,4.613954596,75.63439825,6.939621026,-8.881784197e-16,0.04136695115,3.867177538
0,2,2,2429.566995,71.05899768,2308.611997,-38.33995072,3.552713679e-15,9.650742191e-05,-1.188240018
0,2,3,968.6320943,29.96328368,1002.938332,25.27046255,-3.108624469e-15,0.0005739797673,0.8219045468
0,2,4,66.80641226,3.990275137,65.11180401,6.4388149,-6.217248938e-15,0.05015275849,-0.3795043235
0,2,5,136.8842157,3.822799116,142.7206956,-9.53277962,-5.329070518e-15,0.0317688723,1.040283927
0,2,6,2712.38091,56.48006105,2582.278638,40.54876464,-1.110223025e-14,0.0001019232252,-1.313473937
0,2,7,294.6782334,9.351370539,305.6315358,-13.95003053,-8.881784197e-16,0.006038652228,0.8511676113
0,2,8,1.561510393,1.217068488,3.035657848,-1.390280676,0,0.6741041984,1.210331798
0,2,9,279.1240391,6.792530783,283.1884642,13.428078,-1.33226763e-15,0.008601582224,0.3769539446
0,2,10,270.1180205,8.216264227,247.6922756,-12.55834205,1.776356839e-15,0.007508952456,-1.943285253
0,2,11,4.490306903,1.915175381,1.826841534,-1.078515807,7.105427358e-15,0.2712936109,-1.387288664
0,2,12,34.30532571,4.583600832,31.61638155,-4.486752963,1.243449788e-14,0.04531331944,-0.5723935371
0,2,13,167.8795319,14.50462906,175.9379175,-10.58414546,1.310063169e-14,0.004241791487,0.5248348948
0,2,14,7.279152459,2.723512141,5.803158042,-1.922242944,4.440892099e-15,0.1339547793,-0.5402114951
0,3,1,2.376738036,4.369771683,29.04201127,-8.881784197e-16,-4.300207587,0.0523560523,6.101399816
0,3,2,-0.4982047209,0.6702192954,1.714862725,8.881784197e-16,1.044938562,2.226210087,3.302004972
0,3,3,62.59487879,3.904191059,60.7918146,6.217248938e-15,6.221550488,0.05327930162,-0.4161888587
0,3,4,627.8826215,38.16927593,582.1015673,5.329070518e-15,19.2519826,0.0005519657687,-1.075577877
0,3,5,216.8682368,4.948945914,238.9675694,-2.831068713e-15,-12.33518194,0.01496541913,2.703482741
0,3,6,56.10882098,2.26730469,56.43761824,-5.329070518e-15,-5.994602839,0.1254067824,0.1164363812
0,3,7,283.7159511,6.704292212,280.604328,5.773159728e-15,13.366671,0.008518409924,-0.287187981
0,3,8,84.47446794,3.259390559,81.53362136,1.243449788e-14,-7.205173488,0.05866489616,-0.7122976683
0,3,9,98.95783572,7.581235461,110.4083188,5.329070518e-15,8.384496249,0.01508556858,1.406386381
0,3,10,29.79658725,2.489935304,30.70008106,0,4.421257783,0.1428810087,0.3415170886
0,3,11,235.6763843,9.697832103,242.2090048,-1.831867991e-14,-12.4185594,0.006942662022,0.5443151764
0,3,12,12.73793556,1.799205552,11.33924733,-1.842970221e-14,-2.687003241,0.2955807615,-0.7604295829
0,3,13,0.1367168112,3.407026923,0.8370772016,-4.440892099e-16,0.7300604691,0.0861486031,0.2055633545
0,3,14,2.129598287,2.32959903,3.39910259,-1.33226763e-15,-1.471154256,0.1841243117,0.5447406007
0,3,15,22.12254566,5.932577447,27.14542747,1.33226763e-14,4.157424957,0.02806155691,0.8414122696
0,4,0,540.3118695,19.27417522,491.8218589,17.69619885,-3.108624469e-15,0.001576697533,-1.92542441
0,4,1,410.4236941,16.06321671,409.2151861,-16.14179945,3.552713679e-15,0.002441228766,-0.05971092169
0,4,2,30.46023019,2.259908236,32.20275504,4.528168617,0,0.1682870381,0.7148325359
0,4,3,1.723747235,1.135760096,0.2512270818,-0.3999533172,0,0.7736194717,-1.295164534
0,4,4,38.87523175,2.67484437,44.82055132,-5.34213272,6.661338148e-16,0.1174405337,2.037437107
0,4,5,17.247998,1.95001133,17.18105217,3.30750839,-8.881784197e-16,0.2456828441,-0.03318264446
0,4,6,121.7607353,3.865549577,120.971176,-8.776412506,7.105427358e-15,0.03535370004,-0.1484574983
0,4,7,96.05381546,5.407963442,105.1133479,-8.180973965,2.786659792e-14,0.02663132121,1.478434674
0,4,8,155.3810112,6.848195901,144.3366061,-9.586593687,6.550315845e-15,0.0145715838,-1.333201234
0,4,9,95.36558693,5.320474271,98.81401968,7.932048472,1.110223025e-15,0.02740282934,0.570846659
0,4,10,71.76915544,4.709666357,70.75349668,6.711970363,-1.088018564e-14,0.03729021313,-0.1961305524
0,4,11,10.57475995,2.071753751,14.31999954,3.019587218,-3.641531521e-14,0.2276448956,1.786934212
0,4,12,196.617356,16.32979004,189.3057803,10.97887938,-8.659739592e-15,0.003317249219,-0.4211143419
0,4,13,53.71704047,5.945327359,39.58034062,-5.020140129,9.992007222e-16,0.02635470719,-2.294970645
0,4,14,6.294199218,4.176547344,4.721961183,-1.733952845,2.664535259e-15,0.05721084663,-0.3760602978
0,5,1,36.02951983,2.847973596,42.67137578,0,-5.212479968,0.1077671297,2.180382113
0,5,2,82.22608213,4.236758539,68.31260606,-8.881784197e-16,-6.595177721,0.04160575127,-2.837999599
0,5,3,238.1994503,8.063579494,247.369712,3.996802889e-15,12.55016218,0.008614273909,0.8511205252
0,5,4,49.49883115,4.710021571,57.14464689,-2.331468352e-15,-6.032035002,0.04100137821,1.548185711
0,5,5,75.00405433,5.935414413,74.40392251,-6.217248938e-15,-6.882940133,0.02481870457,-0.09454448621
0,5,6,-1.046655797,1.456480918,0.7219068375,-1.154631946e-14,-0.6779796429,0.4714008937,1.214271064
0,5,7,1.196038006,2.318945708,10.75462833,-8.881784197e-16,-2.616819572,0.1859151897,4.121461863
0,5,8,13.45644183,2.26123034,16.36467525,-1.998401444e-15,3.227972096,0.1895328263,1.266110117
0,5,9,20.99677911,6.375380269,23.42599864,4.884981308e-15,3.862114393,0.02436513484,0.3791850213
0,5,10,46.71340782,4.6851196,47.68410531,9.325873407e-15,5.510143325,0.04181603023,0.1984976222
0,5,11,20.45092976,5.219390719,21.10105979,-1.1379786e-15,-3.665457685,0.03620767221,0.1237087807
0,5,12,2.980855201,2.812691505,0.3098224167,4.440892099e-16,0.4441528926,0.1262748958,-0.9491562855
0,6,0,82.59036464,9.318416928,84.99145575,-7.356372466,1.776356839e-15,0.01075593282,0.2490191126
0,6,1,77.63499311,6.40627665,73.99230111,-6.863874641,3.441691376e-15,0.02152164325,-0.5343922682
0,6,2,9.702904926,6.001164288,5.640676682,-1.895141665,8.881784197e-16,0.02770182511,-0.6761117959
0,6,3,11.62947837,3.050144199,19.09144825,3.486546916,-3.108624469e-15,0.1060996709,2.430583303
0,6,4,7.321549336,2.872193192,8.71421456,2.355538466,-4.440892099e-15,0.1205147671,0.4834670317
0,6,5,60.08859597,5.878920166,59.67652389,6.164215812,-1.509903313e-14,0.02644713587,-0.06701353264
0,6,6,69.37930716,6.569408581,63.75244307,6.371247737,-3.552713679e-15,0.02105738898,-0.8165234933
0,6,7,59.74097452,4.055131446,54.67800051,-5.900412693,2.886579864e-15,0.05087459359,-1.14197389
0,6,8,29.33540477,4.214976789,20.22403713,3.588475647,-1.665334537e-15,0.05393586539,-2.116032805
0,6,9,2.809512388,1.659223969,2.388485158,1.233210886,4.440892099e-16,0.3623020114,-0.2534227256
0,6,10,54.5091324,8.523311758,54.0298147,-5.86533491,3.108624469e-15,0.01327651617,-0.05522879054
0,6,11,2.059344186,2.839042563,0.1065411876,-0.2604562858,4.440892099e-15,0.124008252,-0.6876757759
0,7,1,1.489882433,2.045911683,0.1858906134,4.440892099e-16,-0.3440367263,0.2387915777,-0.6372126213
0,7,2,47.15039515,5.561776896,54.77534948,3.330669074e-15,5.905662919,0.03036356787,1.32865935
0,7,3,12.26655353,4.499812876,11.70420216,2.886579864e-15,2.72990154,0.04905871673,-0.1245563419
0,7,4,11.95962816,3.324799014,10.07343548,2.664535259e-15,2.53258996,0.08942129999,-0.5640356385
0,7,5,48.21526466,5.689923487,38.54775691,-2.609024108e-15,-4.954223922,0.02901286355,-1.646682335
0,7,7,1.820027942,1.831417814,3.388771465,1.221245327e-15,1.468916865,0.2978785866,0.8561928329
0,7,8,23.83276683,5.872864554,26.21664911,-4.440892099e-16,-4.085682994,0.02857000924,0.4029396424
1,0,1,1092.745566,20.18917021,1114.271483,1.776356839e-15,-26.63615812,0.0006746335593,0.5591079193
1,0,2,158.1768992,8.032702725,260.7264774,12.88453189,0,0.01148867342,10.99180007
1,0,3,999.4299096,16.20205237,962.0435213,-5.329070518e-15,-24.74989928,0.0008609700184,-1.097002271
1,0,4,121.6317019,3.043493751,121.118816,8.781766485,-1.776356839e-15,0.04429149505,-0.1079396206
1,0,5,-0.4736756248,0.4828962356,0.274052357,0,-0.4177272886,4.288371096,1.548423712
1,0,6,631.2880179,11.86465525,579.9693606,-19.21669077,9.769962617e-15,0.002002233894,-2.296321489
1,0,7,39.62823286,1.789704882,41.89138641,2.664535259e-15,5.164620837,0.2166189767,1.053324703
1,0,8,63.36343156,2.053159148,64.9822352,6.432405271,-4.440892099e-15,0.127731955,0.5785540678
1,0,9,29.45916185,1.476048068,36.70596185,8.881784197e-16,4.834420031,0.3378634179,4.212276403
1,0,10,143.5043808,5.2086304,135.7902331,9.298445354,-1.421085472e-14,0.02189909513,-1.141566025
1,0,11,80.85277636,3.026234695,76.76192227,1.909583602e-14,6.991156066,0.06648250689,-1.054794078
1,0,12,73.83098333,3.578537079,69.85085992,-6.669019001,5.773159728e-15,0.05645940694,-0.9457246181
1,0,13,17.0337888,1.833549883,15.83409001,5.995204333e-15,-3.175211297,0.276011295,-0.6302830794
1,0,14,38.59274041,3.263044642,31.40601982,4.471801594,-1.243449788e-14,0.08341730683,-2.075672553
1,0,15,70.00884439,4.554433866,77.3408618,-9.769962617e-15,-7.017470244,0.03975513651,1.461908234
1,0,16,2.477999363,1.785446358,2.504216058,-1.262734291,-4.440892099e-15,0.3131512441,0.01467084142
1,1,0,100.7817799,6.567175974,73.27412035,0,-6.8304825,0.01913177308,-3.804794907
1,1,1,195.1250208,3.742726461,203.3325982,11.12497651,-2.387869514,0.02071491405,1.181290065
1,1,2,156.4897258,3.310874978,144.4326285,3.562333616,8.903577797,0.03030117185,-2.098806886
1,1,3,1516.961668,18.15503964,1454.00224,-12.0551103,-27.93697237,0.0004165519592,-1.284977042
1,1,4,213.7781348,3.14910393,203.1190077,10.64381214,-4.005032814,0.01958946845,-1.491876827
1,1,5,578.6889194,7.113718373,574.7122937,-0.2573477449,-19.12766761,0.002840927105,-0.211955534
1,1,6,26.44049478,1.059712937,29.47053039,2.26442392,-3.692833409,0.5707171982,2.289065462
1,1,7,413.4984816,5.194589046,411.722986,5.785078669,15.12241165,0.005528935262,-0.1320201881
1,1,8,275.595103,3.887013651,264.5025064,-6.300692656,11.34533946,0.01198088763,-1.214165013
1,1,9,274.1824151,3.994578853,274.61234,-4.061266868,12.58406748,0.01195956843,0.0470165045
1,1,10,145.455898,2.840901587,138.5081411,-4.489596211,-8.248343645,0.0368834948,-1.334321983
1,1,11,14.83602579,0.9550677667,16.81901517,-2.098644775,2.510932838,0.9006969587,1.881957172
1,1,12,3.400486602,0.7717826558,3.695503025,-0.05773385979,1.532868984,1.650014048,0.3789570702
1,1,13,125.5380711,3.588761728,121.9003771,4.883985295,-7.332376832,0.03695076753,-0.6992587252
1,1,14,22.01138448,1.776796264,16.78196323,1.597057362,2.852176271,0.278314623,-2.758809036
1,1,15,55.02647109,3.113489218,59.03726584,-0.4154891288,-6.11701672,0.08052219365,1.138120476
1,1,16,38.14562975,6.627902281,45.05568982,2.11676494,-4.920102319,0.02210498289,1.027370082
1,2,0,1.690798424,0.6768930025,1.784649105,5.329070518e-15,-1.065988441,2.170341152,0.1382615532
1,2,1,89.93385408,2.472899593,94.22472072,-5.678780152,-5.267516101,0.07465739331,1.172415166
1,2,2,398.4955626,6.725246747,427.0886321,-16.18992492,3.134405393,0.005314970863,2.084544752
1,2,3,699.4364672,10.44701081,653.8622013,16.73022506,11.68033474,0.001820067178,-1.944300512
1,2,4,219.5780304,3.738512465,225.4369652,11.97467824,-0.3853770971,0.01743085398,0.7735314948
1,2,5,553.0969379,8.67960502,530.6049395,-5.973612653,17.38291048,0.002851764074,-1.201115691
1,2,6,22.31486433,1.093940412,22.02988199,-0.5570010349,-3.703611015,0.607953191,-0.2222045853
1,2,7,127.8358305,3.161321365,125.5409467,-4.692272574,-7.610366843,0.04048295785,-0.4617392671
1,2,8,3.698608723,0.63764997,3.993652871,-0.3695832796,-1.551215101,2.387152042,0.4558553394
1,2,9,307.2631138,4.942122828,303.9151168,1.161099473,-13.86226216,0.00914125772,-0.3201017497
1,2,10,8.677625815,0.8741768651,11.05689623,-2.299992447,1.322966761,1.201986265,2.608516307
1,2,11,8.569236996,0.9526482339,8.87061449,0.8132775574,2.233097598,1.027087061,0.3054319369
1,2,12,31.37570024,1.982162868,30.8277458,-4.430435702,0.006874173256,0.207686013,-0.2497169805
1,2,13,74.56737504,3.645460492,72.31236746,4.846353027,4.749313747,0.05466378791,-0.5272272707
1,2,14,54.09540127,4.043221043,49.91616484,5.516606287,1.161870673,0.0526833817,-0.9592543179
1,2,15,11.787094,3.460232936,13.22798921,-2.898630046,0.1433183295,0.08265655524,0.4142581375
1,3,0,306.1534206,9.338754222,299.4206125,-8.881784197e-16,-13.8075595,0.005828550086,-0.5140158397
1,3,1,441.0136796,10.78908123,427.0008033,3.957122525,16.00698049,0.003431143419,-0.8208177245
1,3,2,65.9835032,2.433125948,61.90916638,-4.63615074,4.233821325,0.1016410734,-1.298947353
1,3,3,555.773698,9.520905372,533.8989323,-11.98616504,14.00995508,0.002712647104,-1.139305146
1,3,4,114.0734022,4.754263189,105.1037437,-5.461301107,6.090682226,0.02914221172,-1.531218489
1,3,5,30.89840897,1.162234733,29.67598832,1.579761305,4.049667736,0.4524825283,-0.8222835189
1,3,6,69.47449509,2.007477444,62.39545143,-1.947119979,-5.994788613,0.1194172351,-2.44629088
1,3,7,196.932106,3.741860626,191.8502349,10.850411,-2.103447705,0.02044757707,-0.7266822825
1,3,8,49.74919601,1.644229528,50.02767486,3.989394484,-3.992320289,0.2027996495,0.1254081661
1,3,9,416.794796,8.159580073,405.3204843,-2.736569643,-15.83000381,0.004485816457,-0.7685062328
1,3,10,34.55012184,2.270155211,37.43102757,4.869931092,0.3421343799,0.1605666201,1.15440096
1,3,11,52.88208021,2.313542,54.14958159,-5.417469649,2.264825561,0.1270754672,0.4518344068
1,3,12,59.89653493,3.134476657,56.47900556,-1.127285846,5.889893222,0.07660616712,-0.9458975979
1,3,13,74.77564437,4.349588512,76.92304149,1.946282427,6.722413001,0.0417516007,0.4387821305
1,3,14,27.93450225,2.656737725,25.33714596,-3.283318676,-2.313573433,0.1288567117,-0.9323630439
1,3,15,2.736141347,2.538494178,0.9474090825,0.506640797,-0.5886887961,0.1550221636,-0.7042749438
1,4,0,4.118016334,1.74388439,5.432073748,1.776356839e-15,1.859768575,0.3271828394,0.751639508
1,4,1,171.8402452,4.796780807,164.1198206,-1.899553221,-10.04444874,0.02016727992,-1.096389465
1,4,2,37.02471306,1.792475085,36.4539108,-4.588502202,-1.468597045,0.2248851943,-0.2706862007
1,4,3,166.7512289,4.181647117,172.0717177,-2.017792493,-10.2708783,0.0235230203,0.8160148686
1,4,4,23.32135789,1.536945243,22.60772756,-0.164286377,-3.790504401,0.350668288,-0.4225922658
1,4,5,60.44023744,2.087472499,61.35675691,-5.467048944,3.029650049,0.1307999732,0.3314709895
