h,k,l,I,sigma,multiplicity,d,absent_P212121
0,0,1,-0.038364458,0.16954801,2,12.297238,1
0,0,2,263.76555,6.659129,3,6.1486189,0
0,0,3,0.29771685,1.0100812,2,4.0990793,1
0,0,4,7088.8982,195.86151,4,3.0743095,0
0,0,5,1.060959,0.60621168,4,2.4594476,1
0,0,6,127.23215,3.9865802,4,2.0495396,0
0,0,7,-0.0013893106,0.72700961,4,1.7567483,1
0,0,8,47.524489,2.4593333,4,1.5371547,0
0,0,9,-1.1939148,0.76044719,5,1.3663598,1
0,0,10,5.9481983,1.3621983,4,1.2297238,0
0,0,11,1.194659,1.0409933,4,1.1179307,1
0,0,12,227.05762,8.881781,3,1.0247698,0
0,0,13,0.53513077,1.3250851,3,0.94594137,1
0,0,14,81.125644,6.5982477,2,0.87837413,0
0,0,15,0.54593837,1.7341438,2,0.81981586,1
0,0,16,27.211588,5.0885159,1,0.76857736,0
0,0,17,2.7653371,2.2488248,1,0.72336693,1
0,1,0,-0.7625432,0.96696843,1,5.9693035,1
0,1,1,394.92855,12.273795,2,5.3700618,0
0,1,2,7266.8672,206.96377,2,4.2829255,0
0,1,3,109.52523,5.2724935,3,3.3790856,0
0,1,4,2252.9082,44.870648,6,2.7331294,0
0,1,5,415.66854,6.881456,8,2.2739962,0
0,1,6,69.656198,2.7188054,8,1.9384625,0
0,1,7,22.211217,3.1537721,8,1.6852818,0
0,1,8,473.54718,8.3226246,8,1.4885916,0
0,1,9,3.7054781,0.73368736,8,1.331913,0
0,1,10,45.933415,1.8362536,9,1.2044317,0
0,1,11,98.947808,3.1844481,8,1.0988268,0
0,1,12,36.823461,2.8946098,6,1.0099948,0
0,1,13,56.557772,2.7608672,6,0.93428325,0
0,1,14,3.9668947,1.4371708,4,0.86901625,0
0,1,15,76.888477,4.7718981,4,0.8121919,0
0,1,16,17.882582,3.118708,2,0.76228482,0
0,2,0,48.398367,4.1795038,1,2.9846517,0
0,2,1,55.145117,4.4965504,1,2.9004448,0
0,2,2,2368.998,69.291128,2,2.6850309,0
0,2,3,944.47508,29.220392,2,2.4128143,0
0,2,4,66.295826,4.0221184,5,2.1414628,0
0,2,5,134.51919,3.754997,5,1.898054,0
0,2,6,2662.5957,57.745556,5,1.6895428,0
0,2,7,290.05804,9.1505384,6,1.513964,0
0,2,8,2.5542902,1.0666684,7,1.3665647,0
0,2,9,273.3133,6.6250005,6,1.2423626,0
0,2,10,265.06724,8.1045657,4,1.1369981,0
0,2,11,5.4148682,1.6943448,4,1.0469026,0
0,2,12,35.029166,4.4432097,4,0.96923124,0
0,2,13,166.49404,14.735136,3,0.90173612,0
0,2,14,7.1400217,2.6723805,2,0.84264091,0
0,3,0,-0.13855099,1.7328477,1,1.9897678,1
0,3,1,33.695955,4.1139944,1,1.9642211,0
0,3,2,-0.17420668,0.75283447,4,1.8931078,0
0,3,3,59.518317,4.1859613,1,1.7900206,0
0,3,4,612.93331,36.518372,2,1.6704236,0
0,3,5,213.00323,4.8670856,7,1.54691,0
0,3,6,55.334192,2.2052887,6,1.4276418,0
0,3,7,278.67012,6.6059276,6,1.3169247,0
0,3,8,83.237939,3.2066818,6,1.2164438,0
0,3,9,98.762146,7.1677175,4,1.1263619,0
0,3,10,29.395273,2.4446191,4,1.0460703,0
0,3,11,231.6031,9.7091827,4,0.9746359,0
0,3,12,12.577884,1.7806203,4,0.91104314,0
0,3,13,1.7520561,3.2292497,2,0.85431412,0
0,3,14,2.5536149,2.3483424,2,0.80356026,0
0,3,15,21.692419,5.8200017,1,0.75799873,0
0,4,0,527.68772,18.826124,2,1.4923259,0
0,4,1,401.63649,15.783054,3,1.4814571,0
0,4,2,29.894005,2.2306244,4,1.4502224,0
0,4,3,2.083495,1.1058718,4,1.4022855,0
0,4,4,38.017221,2.6072121,4,1.3425155,0
0,4,5,17.275876,1.9565594,4,1.2758309,0
0,4,6,119.53899,3.7947553,6,1.2064072,0
0,4,7,95.059587,5.2500199,3,1.1373525,0
0,4,8,153.28763,6.7460177,3,1.0707314,0
0,4,9,94.378062,5.3276248,3,1.0077577,0
0,4,10,70.956099,4.625273,3,0.94902702,0
0,4,11,10.728952,1.9919486,3,0.89472249,0
0,4,12,193.83437,15.926314,2,0.8447714,0
0,4,13,52.804742,5.8448765,2,0.79895525,0
0,4,14,6.1718217,4.0964444,1,0.75698201,0
0,5,0,-1.974002,1.6512051,2,1.1938607,1
0,5,1,35.728986,2.880591,4,1.1882739,0
0,5,2,80.487749,4.1368096,4,1.1719728,0
0,5,3,233.03116,7.8377973,4,1.1462343,0
0,5,4,48.466312,4.6140492,2,1.112892,0
0,5,5,73.481828,5.8133588,2,1.0740124,0
0,5,6,-1.0086542,1.5533401,2,1.0316048,0
0,5,7,11.863126,2.8976634,4,0.98742531,0
0,5,8,13.551106,2.128449,3,0.94288292,0
0,5,9,23.583057,7.2112794,3,0.89902717,0
0,5,10,46.393989,4.6666612,2,0.85658511,0
0,5,11,20.053304,5.1204415,1,0.81601993,0
0,5,12,2.9228987,2.7587382,1,0.77759297,0
0,6,0,80.853404,9.1278832,1,0.99488391,0
0,6,1,76.067785,6.2695609,2,0.9916439,0
0,6,2,11.636932,5.9241106,2,0.98211056,0
0,6,3,11.386894,2.982025,2,0.96681494,0
0,6,4,7.6563317,2.9104659,2,0.9465539,0
0,6,5,59.203098,5.752878,2,0.92228358,0
0,6,6,67.921665,6.435109,2,0.8950103,0
0,6,7,59.250154,3.9768413,4,0.8656993,0
0,6,8,29.873222,3.9805992,3,0.8352118,0
0,6,9,2.9144164,1.5924272,3,0.80427144,0
0,6,10,53.449316,8.3620182,1,0.77345502,0
0,6,11,2.0193045,2.7843739,1,0.74319991,0
0,7,0,0.57887912,2.8658842,1,0.85275764,1
0,7,1,1.484114,1.9989416,2,0.85071464,0
0,7,2,46.267581,5.459175,2,0.84467262,0
0,7,3,12.917578,4.5320102,2,0.8348825,0
0,7,4,11.93423,3.2988934,2,0.8217311,0
0,7,5,47.600038,5.5826614,2,0.80570116,0
0,7,7,2.1301534,1.9023507,2,0.76715169,0
0,7,8,23.369388,5.7616401,1,0.74569484,0
1,0,0,0.44709168,0.52929345,2,5.7956112,1
1,0,1,1073.6258,19.908406,5,5.2425516,0
1,0,2,154.30468,7.8386398,1,4.2173929,0
1,0,3,979.54563,15.933105,7,3.346622,0
1,0,4,119.49784,2.9699854,8,2.7158653,0
1,0,5,0.30573256,0.71199205,5,2.2640238,0
1,0,6,619.08566,11.584479,6,1.932274,0
1,0,7,39.213066,1.7531781,7,1.6812105,0
1,0,8,62.500193,2.0319674,9,1.4857837,0
1,0,9,29.246383,1.4631178,9,1.3299005,0
1,0,10,142.07483,4.6623781,9,1.2029429,0
1,0,11,79.974076,2.97136,7,1.0976959,0
1,0,12,72.751221,3.5554287,5,1.0091164,0
1,0,13,17.039548,1.7759309,5,0.93358784,0
1,0,14,38.318106,3.213423,4,0.86845655,0
1,0,15,68.700998,4.4871093,4,0.81173491,0
1,0,16,2.4183689,1.7322928,2,0.76190697,0
1,1,0,98.324114,6.3991903,2,4.1581657,0
1,1,1,190.72928,3.6546693,6,3.9390676,0
1,1,2,153.13392,3.2365969,6,3.4444501,0
1,1,3,1488.8002,17.922995,12,2.9191527,0
1,1,4,209.73043,3.1066454,13,2.4720355,0
1,1,5,568.79027,6.9734667,14,2.1168796,0
1,1,6,23.515477,2.3846075,16,1.8383587,0
1,1,7,406.73539,5.1026722,16,1.6182532,0
1,1,8,270.86256,3.8300549,16,1.4417929,0
1,1,9,269.52893,3.9330083,16,1.2980754,0
1,1,10,143.30142,2.7918233,17,1.1792363,0
1,1,11,14.896148,0.9485934,13,1.0795941,0
1,1,12,4.0012245,0.77474119,12,0.99499888,0
1,1,13,123.56185,3.5395062,10,0.92237517,0
1,1,14,21.825325,1.7837307,8,0.85940884,0
1,1,15,54.513348,3.0296882,7,0.80433217,0
1,1,16,37.203461,6.4686301,1,0.75577554,0
1,2,0,1.8327944,0.68817067,4,2.6534595,0
1,2,1,87.942382,2.4169023,6,2.5937641,0
1,2,2,389.50956,6.5744067,8,2.4362757,0
1,2,3,684.1896,10.249346,9,2.2274893,0
1,2,4,215.36571,3.6565486,11,2.0087246,0
1,2,5,542.28387,8.4910241,9,1.8037847,0
1,2,6,20.0143,2.0166212,12,1.6220246,0
1,2,7,125.71035,3.1116124,10,1.4648101,0
1,2,8,3.9774924,0.64534006,12,1.3300895,0
1,2,9,301.25309,4.8297012,13,1.214766,0
1,2,10,8.9050815,0.86660038,10,1.1157299,0
1,2,11,8.7962006,0.93663529,8,1.0302294,0
1,2,12,30.999155,1.9568035,7,0.9559555,0
1,2,13,73.547896,3.5809953,6,0.89101572,0
1,2,14,53.910228,4.1345554,5,0.83387333,0
1,2,15,11.643756,3.3434397,2,0.78328291,0
1,3,0,298.70562,9.1044351,3,1.8819436,0
1,3,1,430.70891,10.52518,4,1.8602851,0
