h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,270.9102787,6.858414335,297.1944831,-13.7032488,5.329070518e-15,0.008842437528,2.471615072
0,0,4,7440.055689,150.6335801,7928.672237,-70.77883398,1.776356839e-14,1.379130368e-05,1.814557907
0,0,6,132.6675324,4.171307369,131.0378714,9.099165956,-4.440892099e-15,0.03008386306,-0.2826598255
0,0,8,48.63106012,2.556279799,60.45645803,-6.180512953,2.664535259e-15,0.1154328075,4.017726711
0,0,10,6.914173339,1.620954812,3.175687817,-1.416517919,-1.33226763e-15,0.3744589466,-2.287693345
0,0,12,229.8200093,9.03635678,219.9842638,11.78959751,-7.993605777e-15,0.007740461889,-0.8653478508
0,0,14,81.7289553,6.861775364,63.81438985,6.349835606,-6.217248938e-15,0.01883394487,-2.458538001
0,0,16,25.34355136,5.184454488,19.95926357,-3.551202419,3.108624469e-15,0.03642106991,-1.027553907
0,1,1,400.71124,12.4474663,428.4097523,-3.552713679e-15,16.45253584,0.003339433751,1.600637029
0,1,2,7638.145313,217.4582017,8388.628715,-1.776356839e-14,-72.80289638,1.002052133e-05,2.375670748
0,1,3,111.2519044,6.775098859,142.6523575,-1.065814104e-14,-9.493856167,0.01753117195,4.157587411
0,1,4,2398.739897,43.69387148,2329.849433,6.217248938e-15,38.36781779,0.0001410892504,-0.8182878038
0,1,5,432.0660606,7.191976801,421.0132599,5.773159728e-15,-16.30989099,0.004550884517,-0.7456246331
0,1,6,73.80742734,2.962851615,73.28396603,1.776356839e-15,6.804679168,0.07309261678,-0.1415211475
0,1,7,23.21772315,3.445998444,26.66648672,-5.329070518e-15,4.104743956,0.08090574516,0.9809640774
0,1,8,494.5146461,8.61256104,466.9701895,-6.661338148e-15,-17.17701717,0.003398280484,-1.60569783
0,1,9,4.065547011,0.9374039948,3.602225883,-4.884981308e-15,-1.508650505,1.119066362,-0.4901285775
0,1,10,48.6978098,1.925622595,48.93352184,-2.664535259e-15,5.560404782,0.1711639601,0.09751870461
0,1,11,100.7374109,3.131607897,101.2686647,-4.440892099e-16,-7.999092393,0.05279777694,0.1220702665
0,1,12,37.2326233,2.963100395,35.62966225,-4.440892099e-16,4.744702907,0.09972470632,-0.5062025767
0,1,13,59.38544919,3.169131209,53.24230781,6.661338148e-16,5.80004826,0.075658068,-1.689733187
0,1,14,4.155917503,1.655189567,3.003365893,1.376676551e-14,-1.377549754,0.362950455,-0.6943589762
0,1,15,79.52856048,4.967642545,77.33727133,7.549516567e-15,6.990328636,0.03292746372,-0.39762971
0,1,16,17.25522744,3.245585403,25.01026091,-8.881784197e-16,-3.975230194,0.09257722142,2.359585656
0,2,0,48.79501792,4.359415714,64.62243209,-6.389911168,-4.440892099e-16,0.04728721797,3.441770034
0,2,1,57.29628533,4.782496828,74.94566749,6.881394202,-1.776356839e-15,0.03871938905,3.472911809
0,2,2,2442.696618,71.36931942,2321.226566,-38.29675156,5.329070518e-15,9.556876456e-05,-1.187482461
0,2,3,963.0848738,29.75161582,1008.212875,25.23941536,-2.331468352e-15,0.0005814163506,1.088152383
0,2,4,68.25792188,3.927813073,66.80517865,6.496930726,-5.773159728e-15,0.05096594468,-0.327966058
0,2,5,142.6848579,3.928522507,144.9572392,-9.570246538,-7.993605777e-15,0.02962404637,0.3911140384
0,2,6,2775.378191,50.88310916,2616.161543,40.65701125,-1.065814104e-14,0.000105025,-1.631679358
0,2,7,301.6516327,7.179444965,309.2191036,-13.97771978,-1.776356839e-15,0.007494074056,0.6551032478
0,2,8,1.950580478,1.399863933,3.19188566,-1.420125854,0,0.5094131089,0.885959005
0,2,9,285.1788781,6.921122463,287.7002219,13.48258819,-3.108624469e-15,0.008257895436,0.2291219863
0,2,10,277.2655885,8.432141733,250.5844334,-12.58288465,1.776356839e-15,0.007128112127,-2.252640509
0,2,11,4.98907464,1.640174902,1.912624936,-1.099304683,5.329070518e-15,0.3686533348,-1.867922712
0,2,12,35.0922734,4.099674586,31.36385319,-4.451617873,1.154631946e-14,0.0558171127,-0.8808633418
0,2,13,170.4007831,14.26295845,179.8210378,-10.65917079,1.154631946e-14,0.004356069135,0.6217417391
0,2,14,6.760631715,3.145703156,6.6407429,-2.048384611,4.218847494e-15,0.1006382086,-0.03803295908
0,3,1,35.08546633,4.422352895,33.14767547,0,-4.576460417,0.04839077427,-0.4262733574
0,3,2,0.6477023871,1.420165595,2.316343902,1.33226763e-15,1.209775236,0.4957248971,1.174852675
0,3,3,64.31230509,4.640299245,62.78521984,7.105427358e-15,6.29842382,0.03959636666,-0.303872185
0,3,4,624.4824341,39.64770893,585.7385383,7.105427358e-15,19.23778518,0.000520042083,-0.8835325055
0,3,5,221.6933526,5.391948679,236.5887364,-3.663735981e-15,-12.22644514,0.0136414,1.739727264
0,3,6,58.27482799,2.321236755,58.63798441,-4.440892099e-15,-6.086851242,0.1184202722,0.124970285
0,3,7,295.0010787,6.935742922,286.1754313,2.664535259e-15,13.44681235,0.007909665129,-0.7849204089
0,3,8,88.86412744,3.394593881,82.54076622,1.421085472e-14,-7.221666344,0.05367566255,-1.464996875
0,3,9,99.76039887,7.529204538,112.494509,6.217248938e-15,8.430800905,0.0152332567,1.571683093
0,3,10,29.70438398,2.58429277,32.05441829,1.776356839e-15,4.500358604,0.1338207172,0.8596781334
0,3,11,240.1579969,10.22852051,246.4809328,-2.087219286e-14,-12.47943248,0.00638851462,0.5053807798
0,3,12,14.01947752,1.97486321,12.50163055,-1.887379142e-14,-2.810518844,0.2452798426,-0.7517248659
0,3,13,2.240190196,3.742432691,0.677829948,8.881784197e-16,0.6544305243,0.07137596197,-0.4174045391
0,3,14,4.831882188,3.027169699,3.464196253,0,-1.479464045,0.1088759038,-0.4512864222
0,3,15,20.8539399,6.252530121,27.09512469,1.33226763e-14,4.137602334,0.02532573258,0.9932259315
0,4,0,542.5660626,19.26966499,497.4834847,17.72933741,-4.884981308e-15,0.001571684215,-1.787275029
0,4,1,410.1590062,12.872642,422.0532364,-16.33002271,4.440892099e-15,0.003153457178,0.6679282461
0,4,2,33.68185233,2.484083483,33.614567,4.608577889,0,0.1390493517,-0.02509024457
0,4,3,0.7292628843,1.334386676,0.4946010623,-0.5590243092,8.881784197e-16,0.5614613674,-0.1758338065
