run,h,k,l,x,y,omega,theta,counts,nframes,omega_width
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-4.000000000000000000e+00,2.898663522012578824e+02,2.431462264150943327e+02,-6.492924528301887044e+00,8.690312499999999218e+00,6.360000000000000000e+02,3.000000000000000000e+00,3.334547586480496872e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.000000000000000000e+00,2.158471198471198420e+02,3.446011466011465814e+02,-6.742901992901993324e+00,8.690312499999999218e+00,3.663000000000000000e+03,2.000000000000000000e+00,5.914914914214903369e-02
1.000000000000000000e+00,3.000000000000000000e+00,-2.000000000000000000e+00,3.000000000000000000e+00,2.853923264999059484e+02,6.256889223246191705e+02,-5.656338160616889432e+00,8.690312499999999218e+00,5.317000000000000000e+03,9.000000000000000000e+00,8.372169256235435508e-01
1.000000000000000000e+00,-5.000000000000000000e+00,-1.000000000000000000e+00,-6.000000000000000000e+00,5.439199255121043279e+02,4.725139664804468964e+01,-5.586126629422718537e+00,8.690312499999999218e+00,5.370000000000000000e+02,3.000000000000000000e+00,3.231569813832874671e-01
1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.768769230769230774e+02,4.848153846153846303e+02,-6.115384615384614975e+00,8.690312499999999218e+00,3.900000000000000000e+02,2.000000000000000000e+00,2.217800498975152912e-01
1.000000000000000000e+00,4.000000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,2.165485996705106970e+02,6.572948929159801992e+02,-5.227759472817133712e+00,8.690312499999999218e+00,6.070000000000000000e+02,3.000000000000000000e+00,3.418858275542054348e-01
1.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.654797047970479866e+02,3.430442804428044496e+02,-5.250000000000000000e+00,8.690312499999999218e+00,2.710000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,3.000000000000000000e+00,6.004045801526717696e+02,3.865190839694656688e+02,-5.042620865139949338e+00,8.690312499999999218e+00,3.930000000000000000e+02,2.000000000000000000e+00,2.463401344781687707e-01
1.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,5.000000000000000000e+00,4.948670033670033490e+02,5.484360269360269058e+02,-4.777777777777777679e+00,8.690312499999999218e+00,5.940000000000000000e+02,3.000000000000000000e+00,2.555500658171886985e-01
1.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,5.000000000000000000e+00,6.176299559471365228e+02,4.860044052863436264e+02,-4.349118942731277748e+00,8.690312499999999218e+00,2.270000000000000000e+02,2.000000000000000000e+00,1.993361647004187887e-01
1.000000000000000000e+00,4.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.615628272251308886e+02,5.792547993019197747e+02,-4.271815008726003171e+00,8.690312499999999218e+00,1.146000000000000000e+03,3.000000000000000000e+00,2.633099567382433115e-01
