h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
0,0,2,3,270.9102787,6.858414335,220.890744
0,0,4,4,7440.055689,150.6335801,7744.208669
0,0,6,1,132.6675324,4.171307369,59.27437736
0,0,8,1,48.63106012,2.556279799,137.9036181
0,0,10,4,6.914173339,1.620954812,4.805890487
0,0,12,0,229.8200093,9.03635678,199.3535436
0,0,14,3,81.7289553,6.861775364,74.56256253
0,0,16,4,25.34355136,5.184454488,15.24093708
0,1,1,1,400.71124,12.4474663,177.9989239
0,1,2,1,7638.145313,217.4582017,7970.004178
0,1,3,3,111.2519044,6.775098859,57.50508819
0,1,4,1,2398.739897,43.69387148,2286.277124
0,1,5,1,432.0660606,7.191976801,219.7036707
0,1,6,2,73.80742734,2.962851615,58.15445878
0,1,7,1,23.21772315,3.445998444,20.70846354
0,1,8,0,494.5146461,8.61256104,444.7273222
0,1,9,3,4.065547011,0.9374039948,3.465147613
0,1,10,1,48.6978098,1.925622595,59.75095558
0,1,11,0,100.7374109,3.131607897,82.12808106
0,1,12,1,37.2326233,2.963100395,36.43333328
0,1,13,1,59.38544919,3.169131209,63.24263383
0,1,14,1,4.155917503,1.655189567,4.051326071
0,1,15,4,79.52856048,4.967642545,76.25805238
0,1,16,4,17.25522744,3.245585403,33.27303333
0,2,0,0,48.79501792,4.359415714,98.98686027
0,2,1,3,57.29628533,4.782496828,17.99556
0,2,2,1,2442.696618,71.36931942,2594.670291
0,2,3,4,963.0848738,29.75161582,772.6664459
0,2,4,1,68.25792188,3.927813073,72.96889095
0,2,5,2,142.6848579,3.928522507,84.50708842
0,2,6,2,2775.378191,50.88310916,2841.490013
0,2,7,2,301.6516327,7.179444965,240.4294762
0,2,8,4,1.950580478,1.399863933,1.644709434
0,2,9,4,285.1788781,6.921122463,285.5520477
0,2,10,3,277.2655885,8.432141733,258.5624465
0,2,11,2,4.98907464,1.640174902,5.317778057
0,2,12,4,35.0922734,4.099674586,17.20918549
0,2,13,4,170.4007831,14.26295845,193.3767232
0,2,14,0,6.760631715,3.145703156,6.033623642
0,3,1,1,35.08546633,4.422352895,11.54649342
0,3,2,2,0.6477023871,1.420165595,2.945792328
0,3,3,0,64.31230509,4.640299245,51.32657489
0,3,4,2,624.4824341,39.64770893,664.0567964
0,3,5,4,221.6933526,5.391948679,280.1967381
0,3,6,4,58.27482799,2.321236755,42.58612191
0,3,7,1,295.0010787,6.935742922,267.9556787
0,3,8,1,88.86412744,3.394593881,91.31699572
0,3,9,4,99.76039887,7.529204538,100.1173103
0,3,10,4,29.70438398,2.58429277,37.16716473
0,3,11,3,240.1579969,10.22852051,277.1097698
0,3,12,0,14.01947752,1.97486321,14.67357577
0,3,13,4,2.240190196,3.742432691,0.3982006829
0,3,14,1,4.831882188,3.027169699,4.112843548
0,3,15,3,20.8539399,6.252530121,43.84573698
0,4,0,4,542.5660626,19.26966499,734.8802193
0,4,1,4,410.1590062,12.872642,330.6922419
0,4,2,3,33.68185233,2.484083483,32.66447512
0,4,3,3,0.7292628843,1.334386676,0.2691616485
0,4,4,4,39.55620192,2.77964263,83.90300085
0,4,5,0,17.80587987,2.157357041,6.892800812
0,4,6,3,124.2165715,3.904696176,120.9670797
0,4,7,0,99.17247441,4.517539275,113.1324621
0,4,8,3,160.5000803,6.956236655,145.5533047
0,4,9,0,99.62345774,5.485785863,110.9411826
0,4,10,4,74.34415848,4.972749613,69.2236577
0,4,11,3,10.69769204,2.147442935,14.30816406
0,4,12,0,198.3305874,18.36737959,190.820994
0,4,13,1,53.51012846,6.111401713,42.28324737
0,4,14,1,6.586890355,4.416054018,9.8943861
0,5,1,4,36.16397806,3.419490187,35.31986193
0,5,2,3,81.54091167,4.319949901,63.51251896
0,5,3,0,242.3991708,8.144621362,238.1131128
0,5,4,1,50.88273716,5.080922612,58.04032758
0,5,5,0,78.2875782,6.163102589,93.32603974
0,5,6,2,-2.691188631,2.40627201,0.4046154244
0,5,7,4,14.71980344,2.345555108,15.56989147
0,5,8,1,13.37577856,2.265402268,18.69507544
0,5,9,1,27.95639075,12.0640767,28.61180275
0,5,10,3,49.0020012,5.566257453,42.02784036
0,5,11,3,20.62434791,5.307561555,8.135578068
0,5,12,2,4.964790469,3.519511563,0.178169967
0,6,0,4,81.7086787,9.591199611,81.97340038
0,6,1,2,76.48579646,6.54750979,79.55342523
0,6,2,4,13.0598669,5.952670906,5.582056621
0,6,3,2,15.39866751,3.715534857,32.43296026
0,6,4,4,5.010967668,2.930535057,6.847300698
0,6,5,2,60.37020463,6.030600657,80.37447431
0,6,6,4,71.49415244,6.73498888,59.60360971
0,6,7,1,60.61069681,4.123960234,67.38919201
0,6,8,3,29.55419158,3.921884325,21.41376897
0,6,9,3,1.827866277,1.949980839,0.1300950702
0,6,10,1,52.04151547,8.395283877,46.84619307
0,6,11,2,2.515205519,3.086089477,0.6064138404
