h,k,l,I,sigma,multiplicity,d,absent_P212121
0,0,1,-0.079187011,0.21212148,2,12.297238,1
0,0,2,270.91028,6.8584143,3,6.1486189,0
0,0,3,0.28923603,0.87122178,2,4.0990793,1
0,0,4,7440.0557,150.63358,4,3.0743095,0
0,0,5,0.6937741,0.77739939,4,2.4594476,1
0,0,6,132.66753,4.1713074,4,2.0495396,0
0,0,7,-0.42497489,0.80813841,4,1.7567483,1
0,0,8,48.63106,2.5562798,4,1.5371547,0
0,0,9,-0.26307527,1.0384862,4,1.3663598,1
0,0,10,6.9141733,1.6209548,4,1.2297238,0
0,0,11,0.80942526,1.6524888,4,1.1179307,1
0,0,12,229.82001,9.0363568,3,1.0247698,0
0,0,13,-0.38206001,1.4448546,3,0.94594137,1
0,0,14,81.728955,6.8617754,2,0.87837413,0
0,0,15,1.7833185,2.4372275,2,0.81981586,1
0,0,16,25.343551,5.1844545,1,0.76857736,0
0,0,17,3.7840084,3.2612416,1,0.72336693,1
0,1,0,-0.0021039192,1.2357387,1,5.9693035,1
0,1,1,400.71124,12.447466,2,5.3700618,0
0,1,2,7638.1453,217.4582,2,4.2829255,0
0,1,3,111.2519,6.7750989,3,3.3790856,0
0,1,4,2398.7399,43.693871,5,2.7331294,0
0,1,5,432.06606,7.1919768,8,2.2739962,0
0,1,6,73.807427,2.9628516,7,1.9384625,0
0,1,7,23.217723,3.4459984,8,1.6852818,0
0,1,8,494.51465,8.612561,8,1.4885916,0
0,1,9,4.065547,0.93740399,8,1.331913,0
0,1,10,48.69781,1.9256226,9,1.2044317,0
0,1,11,100.73741,3.1316079,8,1.0988268,0
0,1,12,37.232623,2.9631004,6,1.0099948,0
0,1,13,59.385449,3.1691312,5,0.93428325,0
0,1,14,4.1559175,1.6551896,4,0.86901625,0
0,1,15,79.52856,4.9676425,4,0.8121919,0
0,1,16,17.255227,3.2455854,2,0.76228482,0
0,2,0,48.795018,4.3594157,1,2.9846517,0
0,2,1,57.296285,4.7824968,1,2.9004448,0
0,2,2,2442.6966,71.369319,2,2.6850309,0
0,2,3,963.08487,29.751616,2,2.4128143,0
0,2,4,68.257922,3.9278131,5,2.1414628,0
0,2,5,142.68486,3.9285225,5,1.898054,0
0,2,6,2775.3782,50.883109,5,1.6895428,0
0,2,7,301.65163,7.179445,6,1.513964,0
0,2,8,1.9505805,1.3998639,7,1.3665647,0
0,2,9,285.17888,6.9211225,6,1.2423626,0
0,2,10,277.26559,8.4321417,4,1.1369981,0
0,2,11,4.9890746,1.6401749,4,1.0469026,0
0,2,12,35.092273,4.0996746,4,0.96923124,0
0,2,13,170.40078,14.262958,3,0.90173612,0
0,2,14,6.7606317,3.1457032,2,0.84264091,0
0,3,0,2.0228601,2.5300385,1,1.9897678,1
0,3,1,35.085466,4.4223529,1,1.9642211,0
0,3,2,0.64770239,1.4201656,4,1.8931078,0
0,3,3,64.312305,4.6402992,1,1.7900206,0
0,3,4,624.48243,39.647709,2,1.6704236,0
0,3,5,221.69335,5.3919487,6,1.54691,0
0,3,6,58.274828,2.3212368,6,1.4276418,0
0,3,7,295.00108,6.9357429,6,1.3169247,0
0,3,8,88.864127,3.3945939,6,1.2164438,0
0,3,9,99.760399,7.5292045,4,1.1263619,0
0,3,10,29.704384,2.5842928,4,1.0460703,0
0,3,11,240.158,10.228521,4,0.9746359,0
0,3,12,14.019478,1.9748632,4,0.91104314,0
