h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,270.9102787,6.858414335,223.9891476,-11.9850737,0,0.008842437528,-4.41219272
0,0,4,7440.055689,150.6335801,7492.480282,-69.31704252,2.131628207e-14,1.379130368e-05,0.1946873451
0,0,6,132.6675324,4.171307369,52.57927367,5.806768493,-2.664535259e-15,0.03008386306,-13.8910685
0,0,8,48.63106012,2.556279799,93.85581545,-7.758143604,3.552713679e-15,0.1154328075,15.36529332
0,0,10,6.914173339,1.620954812,3.578806064,-1.514943035,0,0.3744589466,-2.041012991
0,0,12,229.8200093,9.03635678,195.826761,11.20632571,-8.881784197e-15,0.007740461889,-2.990722402
0,0,14,81.7289553,6.861775364,84.28590025,7.351986238,-5.329070518e-15,0.01883394487,0.3509069958
0,0,16,25.34355136,5.184454488,15.70317111,-3.17337139,4.218847494e-15,0.03642106991,-1.839799575
0,1,1,400.71124,12.4474663,185.292773,6.217248938e-15,10.90075204,0.003339433751,-12.4485666
0,1,2,7638.145313,217.4582017,7933.606063,1.598721155e-14,71.32840892,1.002052133e-05,0.9352871208
0,1,3,111.2519044,6.775098859,58.10121615,1.776356839e-15,-6.104074591,0.01753117195,-7.037434528
0,1,4,2398.739897,43.69387148,2208.823016,-1.376676551e-14,-37.63636572,0.0001410892504,-2.255851636
0,1,5,432.0660606,7.191976801,221.6220032,-1.243449788e-14,-11.92157564,0.004550884517,-14.19660745
0,1,6,73.80742734,2.962851615,56.92033054,-3.108624469e-15,-6.041724632,0.07309261678,-4.565535752
0,1,7,23.21772315,3.445998444,18.95893229,8.54871729e-15,3.486857172,0.08090574516,-1.211367714
0,1,8,494.5146461,8.61256104,441.100738,1.376676551e-14,16.81884285,0.003398280484,-3.113751616
0,1,9,4.065547011,0.9374039948,4.38551925,8.881784197e-16,-1.677018028,1.119066362,0.3384856186
0,1,10,48.6978098,1.925622595,47.00361921,-1.953992523e-14,-5.490259475,0.1711639601,-0.700919963
0,1,11,100.7374109,3.131607897,84.49335954,-2.442490654e-14,-7.361028678,0.05279777694,-3.732520251
0,1,12,37.2326233,2.963100395,42.43057091,2.220446049e-16,-5.216349216,0.09972470632,1.641471254
0,1,13,59.38544919,3.169131209,59.37562553,8.881784197e-16,6.170655764,0.075658068,-0.002702094459
0,1,14,4.155917503,1.655189567,3.281961471,1.998401444e-14,1.450754611,0.362950455,-0.5265180409
0,1,15,79.52856048,4.967642545,78.99825578,2.01505479e-14,7.117639238,0.03292746372,-0.09622869871
0,1,16,17.25522744,3.245585403,32.62574471,9.992007222e-16,4.574118772,0.09257722142,4.676711225
0,2,0,48.79501792,4.359415714,95.90452141,-7.842359769,-8.881784197e-16,0.04728721797,10.24425568
0,2,1,57.29628533,4.782496828,20.45455262,-3.621781225,7.105427358e-15,0.03871938905,-7.249437256
0,2,2,2442.696618,71.36931942,2517.348402,-40.1789778,1.243449788e-14,9.556876456e-05,0.729790448
0,2,3,963.0848738,29.75161582,785.9143469,-22.44992161,1.065814104e-14,0.0005814163506,-4.272037902
0,2,4,68.25792188,3.927813073,77.01683346,7.027810619,0,0.05096594468,1.977380201
0,2,5,142.6848579,3.928522507,90.17795691,7.60461823,-1.465494393e-14,0.02962404637,-9.037297426
0,2,6,2775.378191,50.88310916,2871.761495,42.91423792,-2.658984144e-14,0.000105025,0.9877525458
0,2,7,301.6516327,7.179444965,251.5952379,12.70218486,-1.598721155e-14,0.007494074056,-4.333298009
0,2,8,1.950580478,1.399863933,1.000352714,-0.8009470347,0,0.5094131089,-0.6782077899
0,2,9,285.1788781,6.921122463,266.1465692,-13.06434548,3.863576126e-14,0.008257895436,-1.729522303
0,2,10,277.2655885,8.432141733,258.0933611,-12.8651732,1.509903313e-14,0.007128112127,-1.618675646
0,2,11,4.98907464,1.640174902,3.93174121,1.587887328,3.552713679e-15,0.3686533348,-0.6419793331
0,2,12,35.0922734,4.099674586,21.83964463,-3.742398274,-4.662936703e-15,0.0558171127,-3.131019097
0,2,13,170.4007831,14.26295845,193.2023451,11.13098038,-7.993605777e-15,0.004356069135,1.504915033
0,2,14,6.760631715,3.145703156,6.16749153,-1.988755993,0,0.1006382086,-0.1881649791
0,3,1,35.08546633,4.422352895,13.45439605,0,-2.937374527,0.04839077427,-4.75838189
0,3,2,0.6477023871,1.420165595,2.200982022,1.776356839e-15,1.18805205,0.4957248971,1.09362899
0,3,3,64.31230509,4.640299245,53.94874512,0,5.881903487,0.03959636666,-2.062227782
0,3,4,624.4824341,39.64770893,683.6360719,-1.154631946e-14,-20.93821744,0.000520042083,1.348965064
0,3,5,221.6933526,5.391948679,273.7089573,-8.881784197e-15,-13.248653,0.0136414,6.075235582
0,3,6,58.27482799,2.321236755,50.32934589,1.776356839e-15,5.681171027,0.1184202722,-2.734218901
0,3,7,295.0010787,6.935742922,279.3002758,1.199040867e-14,13.38329043,0.007909665129,-1.396371282
0,3,8,88.86412744,3.394593881,97.02851256,3.5971226e-14,7.888181729,0.05367566255,1.891525451
0,3,9,99.76039887,7.529204538,101.584641,6.439293543e-15,8.071258292,0.0152332567,0.2251535842
0,3,10,29.70438398,2.58429277,38.8622987,1.776356839e-15,-4.992194107,0.1338207172,3.350103864
0,3,11,240.1579969,10.22852051,277.3278003,-2.620126338e-14,-13.33594894,0.00638851462,2.970914886
0,3,12,14.01947752,1.97486321,14.31698648,-8.881784197e-15,3.030072556,0.2452798426,0.147343499
0,3,13,2.240190196,3.742432691,0.4339724296,-1.110223025e-16,0.5275435169,0.07137596197,-0.4825541967
0,3,14,4.831882188,3.027169699,6.190135679,0,1.99240354,0.1088759038,0.4481740602
0,3,15,20.8539399,6.252530121,42.06887292,5.329070518e-15,5.194068333,0.02532573258,3.376157303
0,4,0,542.5660626,19.26966499,693.5403723,21.08934513,-5.773159728e-15,0.001571684215,5.985296898
0,4,1,410.1590062,12.872642,342.6653577,14.82389469,-7.105427358e-15,0.003153457178,-3.790149795
