run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iscaled,z
1,2,-1,-4,30.89406,156.73719,415.08603,0,0.34482348,0.93815237,0,-2.0471471,1.7803594,-2.0471471,-23.245526
1,3,-2,-2,30.733945,148.50531,519.90122,0,0.34764937,0.90256691,0,0.51119369,1.6064912,0.51119369,-20.579234
1,3,-1,-3,18.158847,140.31949,474.66043,0,0.36975928,0.91423747,0,5.5623747,2.2404638,5.5623747,-13.519093
1,3,0,-3,3.0425533,139.68772,449.2323,0,0.37393192,0.92071425,0,67.536545,5.5515005,67.536545,-13.855033
1,3,0,-2,-0.79005332,158.82524,466.89925,0,0.33665111,0.92840937,0,5.4482248,2.3451459,5.4482248,-16.562123
1,4,-1,-1,1.2059056,139.77898,559.07206,0,0.35504733,0.87926122,0,-0.54181011,1.6191051,-0.54181011,-18.58761
2,2,-2,9,21.516673,352.867,742.43513,0,0.038606209,0.82504789,0,87.034825,2.1524672,84.507136,-9.1525865
2,2,-2,-4,23.678038,125.2221,374.95241,0,0.4036069,0.9184726,0,-1.3045658,1.5570483,-1.2666783,-13.825597
2,2,-2,-3,26.776372,141.05348,397.82312,0,0.37467286,0.92923668,0,-2.4192299,1.4130163,-2.34897,-15.298501
2,2,-2,-2,29.875762,156.09657,420.52815,0,0.34575248,0.93700899,0,-1.9641583,1.7038315,-1.9071147,-23.33315
2,3,-3,3,33.909832,146.01821,594.63964,0,0.33570101,0.8642319,0,0.21742788,1.2030503,0.21111328,-17.32234
2,3,-2,0,19.541538,148.24417,504.94636,0,0.35075315,0.9085838,0,-1.9447868,1.2516563,-1.8883057,-16.319962
2,3,-1,-2,3.0532921,141.39431,449.18243,0,0.37081905,0.92187339,0,1.8366663,2.1627098,1.7833253,-18.287481
2,3,-1,-1,3.2469138,158.40383,472.31219,0,0.33679371,0.92648842,0,3.4534055,2.1135767,3.3531108,-19.840411
2,4,-2,2,5.3624132,139.21372,601.88105,0,0.34551719,0.85672271,0,0.053266179,1.727212,0.051719208,-15.670698
2,4,-2,3,3.3483519,158.24674,631.17695,0,0.3055392,0.84970392,0,97.686009,6.0822559,94.848985,-7.866307
3,0,3,-3,69.83484,275.37422,381.92036,0,0.38914392,0.92428181,0,0.23330575,1.9200102,0.21934484,-13.485434
3,0,3,3,18.05077,275.37175,380.58194,0,0.38914715,0.92428181,0,-0.87843804,1.3700967,-0.82587272,-14.079761
3,0,3,4,10.199581,261.32938,380.37116,0,0.41573692,0.91358044,0,4.1709482,2.4775894,3.9213606,-20.938952
3,1,3,-2,61.18536,285.64931,441.49497,0,0.36677799,0.92504817,0,-2.9084589,1.9262208,-2.7344181,-11.724771
3,1,3,-1,52.788554,292.33985,441.34187,0,0.35408441,0.92968048,0,-3.8603905,1.5387951,-3.6293865,-20.583815
3,1,3,0,43.714889,294.57833,441.14066,0,0.34984323,0.93123017,0,-1.8737549,1.6752133,-1.7616303,-19.152285
