run,h,k,l,omega,x,y,module,Linv,polarization,scan_edge,I,sigma,Iraw_net,var_raw,raw_counts,bg_sum,nframes,weighted_omega,sum_pos,weighted_omega2
1,-1,0,0,5.5908831,375.11676,340.07057,0,0.091336285,0.99250891,0,0.028007809,0.95532865,0.30434783,107.76749,73,1.1014493,5,49.48913,9.3478261,262.5625
1,0,0,1,48.326766,351.36394,398.69739,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,3,36.391072,348.26701,502.24739,0,0.037949127,0.9708001,0,1512.5839,7.7064177,38694.344,38865.22,38817,1.9164963,10,1413078.9,38694.344,51635580
1,2,-3,6,26.81853,377.37138,691.22118,0,0.081174987,0.85786032,0,720.6695,8.3371182,7616.0625,7762.8398,7710,1.4910714,11,205234.17,7616.0625,5538200.6
1,-3,0,-10,36.991049,189.12837,14.609338,0,0.22537733,0.79284773,0,44.165598,3.7083646,155.36875,170.18605,166,0.16875,6,5786.6406,156.125,214509.19
1,-3,0,-9,44.200427,204.44146,48.196425,0,0.20773972,0.81763711,1,0,0,0,0,0,0,0,0,0,0
1,-2,-1,-13,35.586145,35.059811,8.4360678,0,0.44854648,0.7315901,0,92.364675,8.0455913,150.64901,172.20139,166,0.25165563,5,5384.5679,151.2649,191686.65
1,-2,-1,-12,40.184888,62.0656,48.117654,0,0.42762729,0.76087889,1,0,0,0,0,0,0,0,0,0,0
1,-2,-1,-11,45.0818,86.883595,82.859134,0,0.40444152,0.78936438,1,0,0,0,0,0,0,0,0,0,0
1,-2,0,-12,25.198728,113.80336,13.723367,0,0.34081571,0.76602397,0,27.808565,3.729213,62.503067,70.255429,68,0.085889571,5,1573.7914,62.503067,39638.097
1,-2,0,-11,29.328115,137.6257,50.137891,0,0.31603372,0.79478174,0,104.38316,6.636504,262.50943,278.55287,274,0.18238994,5,7690.7217,262.50943,225347.21
1,-2,0,-10,33.795743,160.19653,82.358459,0,0.28888273,0.8223276,0,51.183578,4.4447547,145.69811,160.08188,156,0.16352201,5,4918.1226,145.69811,166035.66
1,-2,0,-9,38.78494,181.60764,111.26356,0,0.25997318,0.84831006,1,16.410938,2.5032545,53.55,66.720937,63,0.15,3,2065.8031,53.55,79696.716
1,-2,0,-8,44.581097,201.84263,137.53124,0,0.23002564,0.87241111,1,0,0,0,0,0,0,0,0,0,0
1,-2,1,-11,5.1900688,185.57889,10.466548,0,0.23005041,0.78936438,0,102.42129,5.5765506,351.43478,366.13422,362,0.16770186,5,1824.3152,351.43478,9539.0734
1,-2,1,-10,6.7232482,207.88848,44.89073,0,0.20138277,0.81666163,0,64.450496,4.1090708,261.3642,277.66869,273,0.17901235,5,1746.0077,261.3642,11718.783
1,-2,1,-9,7.7130218,230.11217,75.526174,0,0.16940013,0.84241915,0,69.717849,3.827294,346.7037,362.25354,358,0.18518519,6,2653.713,346.7037,20405.496
1,-2,1,-8,7.7851804,252.55614,103.11993,0,0.134102,0.86631895,0,11.479687,1.5280468,74.160494,97.444749,91,0.27160494,7,570.46296,74.691358,4392.2299
1,-2,1,-7,5.9323944,275.87957,128.22338,0,0.094788771,0.88807649,0,182.29513,4.4657606,1707.9241,1750.5634,1738,0.4556962,8,10066.12,1707.9241,60364.809
1,-2,1,-6,-2.1833019,302.78673,151.11253,0,0.046938364,0.90744071,0,261.93125,3.7177273,5063.8125,5165.7773,5136,1.09375,14,-11515.478,5063.8125,35601.876
1,-1,-1,-13,32.297241,10.325349,74.295366,0,0.50769531,0.74719697,0,116.35551,9.3393825,171.2454,188.92969,184,0.20245399,5,5575.1718,172.88344,179797.6
1,-1,-1,-12,36.03657,40.286971,109.06301,0,0.48135227,0.77742765,0,3.135238,2.706924,5.0636943,19.113757,15,0.15286624,5,241.05732,6.6878981,8689.0295
1,-1,-1,-11,39.952481,67.948419,139.81477,0,0.45258466,0.80677969,1,0.21036628,0.91495228,0.375,2.6601562,2,0.025,1,14.53125,0.375,563.08594
1,-1,-1,-10,44.113546,93.704706,167.40664,0,0.42180925,0.83486814,1,0,0,0,0,0,0,0,0,0,0
1,-1,-1,-9,48.609978,117.83716,192.49217,0,0.38945278,0.86134151,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,-13,20.076167,49.480262,41.670535,0,0.44254698,0.75220598,0,14.452508,3.4761054,24.565217,34.909263,32,0.11801242,5,538.5,26.869565,10794.462
1,-1,0,-12,23.128617,78.162673,78.058381,0,0.41564417,0.78273263,0,75.205253,6.7002196,141.625,159.20678,154,0.1875,5,3321.8438,143.925,76685.714
1,-1,0,-11,26.240107,105.03945,110.12283,0,0.38588479,0.81235695,0,84.381398,6.6572207,177.63804,196.41037,191,0.20245399,5,4662.9985,177.63804,122421.84
1,-1,0,-10,29.459745,130.47082,138.7819,0,0.35363642,0.84069401,0,137.59402,7.9082071,327.1,353.44188,346,0.3,5,9617.0844,327.1,282799.45
1,-1,0,-9,32.856283,154.73486,164.73397,0,0.31924595,0.86739231,0,29.731464,3.7160427,80.780488,101.93932,96,0.23780488,5,2754.1768,84.073171,90237.23
1,-1,0,-8,36.533371,178.04457,188.52341,0,0.28305627,0.89213386,0,65.948064,4.8431276,207.85443,233.00557,226,0.29746835,5,7599.318,207.85443,277869.42
1,-1,0,-7,40.659543,200.55326,210.58485,0,0.24543108,0.91463411,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,-6,45.532608,222.34431,231.27401,0,0.20680127,0.93464203,1,0,0,0,0,0,0,0,0,0,0
1,-1,1,-12,6.313378,106.64758,41.646318,0,0.36071053,0.77742765,0,2.5891204,1.9255081,5.5802469,17.222375,14,0.13580247,5,44.743827,6.7283951,299.98843
1,-1,1,-11,7.9380482,132.25842,75.869351,0,0.33220829,0.80677969,0,12.520978,2.8169269,30.407643,46.799383,42,0.17834395,5,241.6242,30.407643,1926.7094
1,-1,1,-10,9.2782372,156.73561,106.28629,0,0.30094835,0.83486814,0,161.32774,7.7608839,447.54321,463.52614,459,0.17901235,5,4138.0648,447.54321,38332.2
1,-1,1,-9,10.245109,180.32221,133.67912,0,0.26727836,0.86134151,0,268.87332,9.2753098,866.48148,893.47005,886,0.31481481,5,8874.1389,866.48148,91000.217
1,-1,1,-8,10.682483,203.21671,158.65254,0,0.23152064,0.8858818,0,281.57066,8.6752725,1077.3913,1101.8904,1095,0.27950311,5,11475.413,1077.3913,122405.38
1,-1,1,-7,10.300413,225.58024,181.6854,0,0.19398767,0.90820448,0,419.57384,9.5592286,1964.3457,2002.9252,1992,0.43209877,5,20206.988,1964.3457,208174.47
1,-1,1,-6,8.5092774,247.53361,203.1662,0,0.15500988,0.9280585,0,24.577564,2.2927307,147.14815,188.42478,177,0.48148148,5,1253.2685,147.14815,10698.382
1,-1,1,-5,3.9327229,269.12762,223.4193,0,0.11501093,0.94522626,0,551.89778,8.2447013,4535.8148,4591.3795,4576,0.64814815,5,17650.923,4535.8148,69689.902
1,-1,1,-4,-7.3735483,290.19184,242.72897,0,0.074818329,0.95952367,1,44.91663,1.9005421,576.04294,594.08743,589,0.20245399,2,-3789.1089,576.04294,24956.604
1,-1,2,-11,-13.420857,146.70263,35.746802,0,0.29765048,0.79034937,1,0,0,0,0,0,0,0,0,0,0
1,-1,2,-10,-14.268865,168.49331,68.912948,0,0.2717604,0.81769199,1,0,0,0,0,0,0,0,0,0,0
1,-1,2,-9,-16.060781,189.14341,98.600348,0,0.24419217,0.84349057,1,0,0,0,0,0,0,0,0,0,0
1,0,-2,-10,46.897133,33.357024,240.30077,0,0.53422401,0.82371401,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,-12,31.29986,13.318831,161.75638,0,0.53767466,0.78305699,0,44.80616,6.043812,65.254658,77.476409,74,0.13664596,5,2040.8043,65.254658,63832.445
1,0,-1,-11,34.364946,43.026901,189.78157,0,0.505774,0.81269788,0,100.60507,8.2279756,161.65625,174.7959,171,0.14375,5,5543.7109,161.65625,190123.93
1,0,-1,-10,37.527978,70.726434,215.12566,0,0.47172892,0.84105006,0,53.354683,5.8574297,95.126582,109.06185,105,0.15189873,5,3576.2658,95.126582,134460.84
1,0,-1,-9,40.83237,96.786723,238.34882,0,0.43584343,0.86776205,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,-8,44.336701,121.49277,259.89325,0,0.39841852,0.89251584,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,-7,48.12353,145.06178,280.11638,0,0.35976479,0.9150269,1,0,0,0,0,0,0,0,0,0,0
1,0,0,-13,17.601064,10.813328,99.73141,0,0.5173922,0.75757464,0,-1.6119522,1.7449959,-2.3602484,6.5282975,4,0.099378882,5,7.0714286,0.40993789,122.08463
1,0,0,-12,19.979245,41.783027,132.55383,0,0.48799296,0.78841526,0,223.55079,12.159059,361.175,385.90719,379,0.2875,5,7203.0125,361.175,143687.79
1,0,0,-11,22.309708,70.583962,161.71612,0,0.45592165,0.81832844,0,-1.4485581,2.1549962,-2.6,14.96125,10,0.2,5,29.064063,1.30625,646.69102
1,0,0,-10,24.598865,97.661093,187.99267,0,0.42148175,0.84692923,0,6.9983263,2.5729431,14.0625,26.729883,23,0.1375,5,342.64062,14.0625,8353.5039
1,0,0,-9,26.852318,123.36526,211.97852,0,0.38495067,0.87386614,0,0.83670041,2.1795788,1.8993711,24.480756,18,0.25157233,5,165.52516,6.3522013,4315.4819
1,0,0,-8,29.075026,147.98023,234.14196,0,0.34658481,0.89882119,0,47.749646,4.712124,123.8323,149.33479,142,0.27950311,5,3604.4022,123.8323,104924.04
1,0,0,-7,31.271436,171.74133,254.86028,0,0.30662347,0.92150982,0,-1.0298102,1.8917645,-3.0949367,32.323866,22,0.38607595,5,144.30854,4.4746835,4653.9506
1,0,0,-6,33.445587,194.84871,274.4448,0,0.26529212,0.941681,0,124.7367,6.2015373,442.76543,484.57125,473,0.48765432,5,14775.469,442.76543,493118.54
1,0,0,-5,35.601188,217.47705,293.1588,0,0.22280496,0.95911714,0,0.66822714,1.7103456,2.8765432,54.207743,40,0.59876543,5,404.07407,11.333333,14409.727
1,0,0,-4,37.741687,239.78301,311.23099,0,0.17936723,0.97363412,0,7556.569,37.374036,41018.27,41157.158,41118,1.5582822,5,1546606.7,41018.27,58318267
1,0,0,-3,39.870332,261.91103,328.86572,0,0.13517703,0.98508132,1,-0.75727445,0.60030188,-5.5185185,19.137174,12,0.2654321,1,0,0,0
1,0,0,-2,41.990214,283.99823,346.2513,0,0.090427027,0.99334158,1,0,0,0,0,0,0,0,0,0,0
1,0,0,-1,44.104314,306.17866,363.56696,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,0,1,-13,4.6726349,29.38229,64.222636,0,0.47863587,0.75251233,0,57.292551,6.3966545,90.075472,101.13991,98,0.12578616,5,418.33962,90.264151,1947.8679
