h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
0,0,2,3,270.9102787,6.858414335,298.7284276
0,0,4,4,7440.055689,150.6335801,7998.67432
0,0,6,1,132.6675324,4.171307369,134.1704608
0,0,8,1,48.63106012,2.556279799,67.8815009
0,0,10,4,6.914173339,1.620954812,3.009201024
0,0,12,0,229.8200093,9.03635678,221.5992934
0,0,14,3,81.7289553,6.861775364,64.10617205
0,0,16,4,25.34355136,5.184454488,19.12276877
0,1,1,1,400.71124,12.4474663,425.4169021
0,1,2,1,7638.145313,217.4582017,8374.20624
0,1,3,3,111.2519044,6.775098859,144.2894805
0,1,4,1,2398.739897,43.69387148,2336.542161
0,1,5,1,432.0660606,7.191976801,418.303369
0,1,6,2,73.80742734,2.962851615,76.33531045
0,1,7,1,23.21772315,3.445998444,28.16087862
0,1,8,0,494.5146461,8.61256104,465.536482
0,1,9,3,4.065547011,0.9374039948,3.722848476
0,1,10,1,48.6978098,1.925622595,52.51840549
0,1,11,0,100.7374109,3.131607897,100.0879237
0,1,12,1,37.2326233,2.963100395,34.2009382
0,1,13,1,59.38544919,3.169131209,52.48088127
0,1,14,1,4.155917503,1.655189567,3.052104973
0,1,15,4,79.52856048,4.967642545,78.20390503
0,1,16,4,17.25522744,3.245585403,26.09702224
0,2,0,0,48.79501792,4.359415714,66.80800839
0,2,1,3,57.29628533,4.782496828,78.11181262
0,2,2,1,2442.696618,71.36931942,2329.418191
0,2,3,4,963.0848738,29.75161582,1014.846254
0,2,4,1,68.25792188,3.927813073,66.29564736
0,2,5,2,142.6848579,3.928522507,148.6531976
0,2,6,2,2775.378191,50.88310916,2618.515918
0,2,7,2,301.6516327,7.179444965,306.7692929
0,2,8,4,1.950580478,1.399863933,3.359559004
0,2,9,4,285.1788781,6.921122463,292.7951253
0,2,10,3,277.2655885,8.432141733,249.935052
0,2,11,2,4.98907464,1.640174902,2.112848224
0,2,12,4,35.0922734,4.099674586,31.08424823
0,2,13,4,170.4007831,14.26295845,182.1493661
0,2,14,0,6.760631715,3.145703156,7.208954952
0,3,1,1,35.08546633,4.422352895,33.54563607
0,3,2,2,0.6477023871,1.420165595,2.168540642
0,3,3,0,64.31230509,4.640299245,64.06722293
0,3,4,2,624.4824341,39.64770893,579.370145
0,3,5,4,221.6933526,5.391948679,242.1878641
0,3,6,4,58.27482799,2.321236755,57.48263912
0,3,7,1,295.0010787,6.935742922,280.116276
0,3,8,1,88.86412744,3.394593881,81.57704959
0,3,9,4,99.76039887,7.529204538,114.3878167
0,3,10,4,29.70438398,2.58429277,31.38479473
0,3,11,3,240.1579969,10.22852051,245.0422208
0,3,12,0,14.01947752,1.97486321,12.92571194
0,3,13,4,2.240190196,3.742432691,0.6416288866
0,3,14,1,4.831882188,3.027169699,3.254156511
0,3,15,3,20.8539399,6.252530121,27.58581023
0,4,0,4,542.5660626,19.26966499,493.6400124
0,4,1,4,410.1590062,12.872642,423.0903878
0,4,2,3,33.68185233,2.484083483,33.43416369
0,4,3,3,0.7292628843,1.334386676,0.6160532118
0,4,4,4,39.55620192,2.77964263,45.85064323
0,4,5,0,17.80587987,2.157357041,20.69852137
0,4,6,3,124.2165715,3.904696176,125.882171
0,4,7,0,99.17247441,4.517539275,105.4309895
0,4,8,3,160.5000803,6.956236655,149.3321324
0,4,9,0,99.62345774,5.485785863,96.22599009
0,4,10,4,74.34415848,4.972749613,71.2947832
0,4,11,3,10.69769204,2.147442935,15.0713365
0,4,12,0,198.3305874,18.36737959,197.6782811
0,4,13,1,53.51012846,6.111401713,38.29540117
0,4,14,1,6.586890355,4.416054018,5.173137171
0,5,1,4,36.16397806,3.419490187,42.13947981
0,5,2,3,81.54091167,4.319949901,67.81617717
0,5,3,0,242.3991708,8.144621362,262.1000389
0,5,4,1,50.88273716,5.080922612,61.90543907
0,5,5,0,78.2875782,6.163102589,76.41812257
0,5,6,2,-2.691188631,2.40627201,0.3753313757
0,5,7,4,14.71980344,2.345555108,13.39039882
0,5,8,1,13.37577856,2.265402268,18.02649063
0,5,9,1,27.95639075,12.0640767,25.0164258
0,5,10,3,49.0020012,5.566257453,49.98930474
0,5,11,3,20.62434791,5.307561555,18.90617013
0,5,12,2,4.964790469,3.519511563,0.06563048742
0,6,0,4,81.7086787,9.591199611,84.43377158
0,6,1,2,76.48579646,6.54750979,74.7586893
0,6,2,4,13.0598669,5.952670906,5.19317843
0,6,3,2,15.39866751,3.715534857,19.82994204
0,6,4,4,5.010967668,2.930535057,8.35267473
0,6,5,2,60.37020463,6.030600657,64.49280528
0,6,6,4,71.49415244,6.73498888,62.88647735
0,6,7,1,60.61069681,4.123960234,57.51258968
0,6,8,3,29.55419158,3.921884325,20.23575491
0,6,9,3,1.827866277,1.949980839,1.598094918
0,6,10,1,52.04151547,8.395283877,55.12906083
0,6,11,2,2.515205519,3.086089477,0.005293925293
0,7,1,3,5.174483202,2.915458233,0.4034482955
0,7,2,3,51.38148942,5.92505011,56.80255729
0,7,3,4,12.76512442,3.846985205,13.43346214
0,7,4,3,13.60154346,4.652928016,10.67128188
0,7,5,4,46.7541006,5.799074296,37.12743371
0,7,7,2,1.539506001,2.549875569,3.67941839
0,7,8,0,23.87174428,6.122990945,28.46762844
1,0,1,4,1088.747741,20.24107049,1130.806276
1,0,2,4,160.9181097,8.192611561,267.9823154
1,0,3,4,1003.959826,16.22485369,979.8917978
1,0,4,3,123.1984553,3.341980684,119.5750953
1,0,5,3,1.214866701,0.9985785055,0.4093203361
1,0,6,4,635.9391914,13.21814385,598.3458604
1,0,7,0,40.55354755,1.983972346,40.51829344
1,0,8,0,64.49998538,2.111116148,63.55240158
1,0,9,0,30.38839597,1.586341658,40.57745182
1,0,10,3,149.1185681,4.139781237,137.2483838
1,0,11,1,82.37802285,3.131471955,79.31859364
1,0,12,0,74.8151231,3.633862552,69.80048243
1,0,13,1,18.75754188,2.058342819,16.25264045
1,0,14,4,36.76989493,3.342879519,32.22192277
1,0,15,1,69.57297376,4.555671544,78.57196835
1,0,16,2,1.441004865,1.732301377,2.334737013
1,1,0,2,100.4418117,5.104371313,72.94534627
1,1,1,4,194.1459398,3.716227181,208.0744431
1,1,2,0,157.1443291,3.294309345,143.1191985
1,1,3,2,1524.152466,18.19747749,1466.248238
1,1,4,0,215.6886266,3.329666962,201.6439172
1,1,5,3,589.0763974,7.195849452,579.152961
1,1,6,0,23.73215555,2.664861921,31.16221228
1,1,7,3,418.8147792,5.401883547,418.7367674
1,1,8,4,281.5384245,3.88866661,269.8602647
1,1,9,2,279.0081858,4.073382101,276.3355257
1,1,10,2,148.3303272,2.736337111,139.4088882
1,1,11,4,15.37515615,1.009216422,17.66787088
1,1,12,0,3.657140347,0.8559073489,3.351572855
1,1,13,4,126.4147232,3.677884235,125.1823308
1,1,14,0,22.03939639,1.882035995,17.70221814
1,1,15,2,58.52411875,3.974127065,59.43139877
1,1,16,4,39.05585438,6.9037446,47.6836705
1,2,0,2,2.49876803,0.9260079231,2.175845845
1,2,1,3,90.24906566,2.500597714,93.30628402
1,2,2,1,401.9740742,6.733007292,434.6312664
1,2,3,2,706.4663833,10.50697941,657.4514879
1,2,4,4,225.7384101,3.812118308,229.7390016
1,2,5,0,562.132485,8.732980481,536.3227055
1,2,6,1,20.46500017,2.083747523,22.60029115
1,2,7,0,129.6273252,3.054520524,129.5568198
1,2,8,4,4.178514643,0.9436196022,4.25658057
1,2,9,1,313.8961947,4.969671538,307.4042966
1,2,10,3,9.293801096,1.101887956,12.28782003
1,2,11,4,9.531738091,1.49400404,8.945975433
1,2,12,2,31.88522662,2.069642465,29.41278981
1,2,13,2,75.31224123,3.771006673,72.97304367
1,2,14,4,55.12244974,4.947335185,52.68496899
1,2,15,2,11.41776643,3.673573595,15.14505422
1,3,0,3,311.761547,9.440074226,298.0454807
1,3,1,2,451.9491564,10.98273363,422.0790958
1,3,2,4,67.95017322,2.498998816,61.85012943
1,3,3,3,560.0620391,9.512059389,534.2695469
1,3,4,3,116.7278201,3.629348779,106.5890791
1,3,5,0,32.17641828,1.649279496,29.99064873
1,3,6,4,70.53392079,2.067206902,61.08957946
1,3,7,1,200.7930111,3.747541912,195.3448666
1,3,8,3,50.85359158,1.679531496,51.03732446
1,3,9,2,422.4908209,8.807288274,409.6023117
1,3,10,4,36.06671887,2.767494375,39.06907155
1,3,11,3,54.76916098,2.638007409,54.92416886
1,3,12,1,60.31884786,3.174662145,56.71014153
1,3,13,4,76.97053362,4.985688936,79.8575409
1,3,14,2,29.49768342,3.045762085,26.91292029
1,3,15,0,3.706045682,3.151298242,0.9485670966
1,4,0,2,5.743880203,2.431839174,4.746824756
1,4,1,3,173.2524459,4.819217116,163.7896408
1,4,2,3,38.00866839,1.881973392,39.2071426
1,4,3,0,169.1466738,4.199186029,178.917833
1,4,4,0,23.59047571,1.581521756,22.0133695
