run,h,k,l,omega,x,y,module,Linv,P,edge,I,sigma,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2
1,0,0,-1,44.104314,306.17866,363.56696,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-4,45.078142,188.52864,375.15551,0,0.28425749,0.95952367,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-3,47.656978,210.54598,392.4772,0,0.24050684,0.9708001,1,0,0,0,0,0,0,0,0,0,0
1,1,0,-3,22.060511,225.87132,368.5039,0,0.20955836,0.97770326,0,924.95521,14.126285,4315.4172,4343.7028,4336,0.33742331,5,95275.471,4315.4172,2103810.5
1,1,0,-2,18.580737,246.49615,385.77476,0,0.16763842,0.98590073,0,-1.4112971,0.36483478,-8.3,4.60375,1,0.15,5,0,0,0
1,2,0,-5,15.146217,142.67473,373.13588,0,0.37180614,0.9307479,0,0.12135807,1.3319474,0.30379747,11.117449,8,0.12025316,5,23.544304,1.5696203,354.04747
1,2,0,-4,13.703946,164.06055,390.68399,0,0.33164867,0.94481277,0,-0.48602842,1.054791,-1.3846154,9.0295858,6,0.11538462,5,21.384615,1.5384615,297.86538
1,2,1,-4,-4.5916888,154.08195,366.39991,0,0.35041707,0.93815237,0,-0.88415089,1.3060288,-2.3670886,12.225926,8,0.16455696,5,-7.4778481,1.4050633,40.141614
1,2,1,-3,-8.7840216,170.78762,383.93775,0,0.31880452,0.94916505,1,0,0,0,0,0,0,0,0,0,0
1,2,1,-2,-14.440574,185.56292,401.32516,0,0.28989003,0.95711495,1,0,0,0,0,0,0,0,0,0,0
1,4,-4,1,30.867974,136.13383,714.88356,0,0.31841684,0.79231416,0,1.5698518,1.4194794,3.90625,12.475586,10,0.09375,5,132.57031,4.34375,4046.3809
1,4,-3,0,23.412531,141.30217,646.74234,0,0.3298835,0.83284399,0,-0.52323368,1.0845408,-1.3209877,7.4971803,5,0.098765432,5,5.2438272,0.2345679,117.24923
1,5,-3,1,2.9478308,140.56474,742.98809,0,0.30326936,0.77867041,0,0.34729877,0.90878495,0.89171975,5.4446821,4,0.050955414,5,5.1146497,2.4458599,11.16242
1,5,-2,1,-8.4449601,146.54098,698.38011,0,0.30680001,0.80575676,1,0,0,0,0,0,0,0,0,0,0
