row_zero_based,run,h,k,l,omega,x,y,module,flags_1_edge_2_short_4_lowL_8_shadow_16_invalid_32_symmetry_outlier
0,1,-1,0,0,5.5908831,375.11676,340.07057,0,0
1,1,0,0,1,48.326766,351.36394,398.69739,0,19
2,1,1,-1,3,36.391072,348.26701,502.24739,0,0
3,1,2,-3,6,26.81853,377.37138,691.22118,0,0
4,1,-3,0,-10,36.991049,189.12837,14.609338,0,0
5,1,-3,0,-9,44.200427,204.44146,48.196425,0,19
6,1,-2,-1,-13,35.586145,35.059811,8.4360678,0,0
7,1,-2,-1,-12,40.184888,62.0656,48.117654,0,19
8,1,-2,-1,-11,45.0818,86.883595,82.859134,0,19
9,1,-2,0,-12,25.198728,113.80336,13.723367,0,0
10,1,-2,0,-11,29.328115,137.6257,50.137891,0,0
11,1,-2,0,-10,33.795743,160.19653,82.358459,0,0
12,1,-2,0,-9,38.78494,181.60764,111.26356,0,1
13,1,-2,0,-8,44.581097,201.84263,137.53124,0,19
14,1,-2,1,-11,5.1900688,185.57889,10.466548,0,0
15,1,-2,1,-10,6.7232482,207.88848,44.89073,0,0
16,1,-2,1,-9,7.7130218,230.11217,75.526174,0,0
17,1,-2,1,-8,7.7851804,252.55614,103.11993,0,0
18,1,-2,1,-7,5.9323944,275.87957,128.22338,0,0
19,1,-2,1,-6,-2.1833019,302.78673,151.11253,0,0
20,1,-1,-1,-13,32.297241,10.325349,74.295366,0,0
21,1,-1,-1,-12,36.03657,40.286971,109.06301,0,0
22,1,-1,-1,-11,39.952481,67.948419,139.81477,0,3
23,1,-1,-1,-10,44.113546,93.704706,167.40664,0,19
24,1,-1,-1,-9,48.609978,117.83716,192.49217,0,19
25,1,-1,0,-13,20.076167,49.480262,41.670535,0,0
26,1,-1,0,-12,23.128617,78.162673,78.058381,0,0
27,1,-1,0,-11,26.240107,105.03945,110.12283,0,0
28,1,-1,0,-10,29.459745,130.47082,138.7819,0,0
29,1,-1,0,-9,32.856283,154.73486,164.73397,0,0
30,1,-1,0,-8,36.533371,178.04457,188.52341,0,0
31,1,-1,0,-7,40.659543,200.55326,210.58485,0,19
32,1,-1,0,-6,45.532608,222.34431,231.27401,0,19
33,1,-1,1,-12,6.313378,106.64758,41.646318,0,0
34,1,-1,1,-11,7.9380482,132.25842,75.869351,0,0
35,1,-1,1,-10,9.2782372,156.73561,106.28629,0,0
36,1,-1,1,-9,10.245109,180.32221,133.67912,0,0
37,1,-1,1,-8,10.682483,203.21671,158.65254,0,0
38,1,-1,1,-7,10.300413,225.58024,181.6854,0,0
39,1,-1,1,-6,8.5092774,247.53361,203.1662,0,0
40,1,-1,1,-5,3.9327229,269.12762,223.4193,0,0
41,1,-1,1,-4,-7.3735483,290.19184,242.72897,0,1
42,1,-1,2,-11,-13.420857,146.70263,35.746802,0,19
43,1,-1,2,-10,-14.268865,168.49331,68.912948,0,19
44,1,-1,2,-9,-16.060781,189.14341,98.600348,0,19
45,1,0,-2,-10,46.897133,33.357024,240.30077,0,19
46,1,0,-1,-12,31.29986,13.318831,161.75638,0,0
47,1,0,-1,-11,34.364946,43.026901,189.78157,0,0
48,1,0,-1,-10,37.527978,70.726434,215.12566,0,0
49,1,0,-1,-9,40.83237,96.786723,238.34882,0,19
50,1,0,-1,-8,44.336701,121.49277,259.89325,0,19
51,1,0,-1,-7,48.12353,145.06178,280.11638,0,19
52,1,0,0,-13,17.601064,10.813328,99.73141,0,0
53,1,0,0,-12,19.979245,41.783027,132.55383,0,0
54,1,0,0,-11,22.309708,70.583962,161.71612,0,0
55,1,0,0,-10,24.598865,97.661093,187.99267,0,0
56,1,0,0,-9,26.852318,123.36526,211.97852,0,0
57,1,0,0,-8,29.075026,147.98023,234.14196,0,0
58,1,0,0,-7,31.271436,171.74133,254.86028,0,0
59,1,0,0,-6,33.445587,194.84871,274.4448,0,0
60,1,0,0,-5,35.601188,217.47705,293.1588,0,0
61,1,0,0,-4,37.741687,239.78301,311.23099,0,0
62,1,0,0,-3,39.870332,261.91103,328.86572,0,3
63,1,0,0,-2,41.990214,283.99823,346.2513,0,19
64,1,0,0,-1,44.104314,306.17866,363.56696,0,27
65,1,0,1,-13,4.6726349,29.38229,64.222636,0,0
66,1,0,1,-12,6.1673426,58.941775,99.282622,0,0
67,1,0,1,-11,7.4313296,86.459638,130.27079,0,0
68,1,0,1,-10,8.4182959,112.32308,158.05115,0,0
69,1,0,1,-9,9.057241,136.82291,183.28338,0,0
70,1,0,1,-8,9.2385118,160.17136,206.48357,0,0
71,1,0,1,-7,8.7888491,182.5066,228.06516,0,0
72,1,0,1,-6,7.4251017,203.88021,248.36755,0,0
73,1,0,1,-5,4.665666,224.21543,267.67667,0,0
74,1,0,1,-4,-0.33821049,243.20225,286.24054,0,0
75,1,0,1,-3,-9.0770113,260.0507,304.28088,0,19
76,1,0,2,-13,-9.7678121,35.855894,22.020871,0,19
77,1,0,2,-12,-9.2100136,63.50764,60.462138,0,19
78,1,0,2,-11,-9.0565449,89.030423,94.199703,0,19
79,1,0,2,-10,-9.3873459,112.71762,124.24851,0,19
80,1,0,2,-9,-10.313008,134.7464,151.37585,0,19
81,1,0,2,-8,-11.984248,155.18328,176.17663,0,19
82,1,0,2,-7,-14.602164,173.97371,199.12324,0,19
83,1,1,-2,-10,39.742328,9.7859114,284.64956,0,3
84,1,1,-2,-9,42.584231,37.790852,306.21859,0,19
85,1,1,-2,-8,45.508613,64.044665,326.43406,0,19
