h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,270.9102787,6.858414335,297.1944833,-13.70324879,1.776356839e-15,0.008842437528,2.47161509
0,0,4,7440.055689,150.6335801,7928.672242,-70.77883397,2.220446049e-14,1.379130368e-05,1.814557925
0,0,6,132.6675324,4.171307369,131.0378717,9.099165964,-3.552713679e-15,0.03008386306,-0.2826597661
0,0,8,48.63106012,2.556279799,60.45645817,-6.180512958,1.776356839e-15,0.1154328075,4.017726759
0,0,10,6.914173339,1.620954812,3.175687835,-1.416517922,-1.776356839e-15,0.3744589466,-2.287693333
0,0,12,229.8200093,9.03635678,219.9842637,11.78959751,-7.105427358e-15,0.007740461889,-0.8653478548
0,0,14,81.7289553,6.861775364,63.81438983,6.349835603,-5.329070518e-15,0.01883394487,-2.458538003
0,0,16,25.34355136,5.184454488,19.9592635,-3.551202411,3.108624469e-15,0.03642106991,-1.02755392
0,1,1,400.71124,12.4474663,428.4097522,1.065814104e-14,16.45253583,0.003339433751,1.600637026
0,1,2,7638.145313,217.4582017,8388.628722,2.176037128e-14,72.80289638,1.002052133e-05,2.375670768
0,1,3,111.2519044,6.775098859,142.6523573,1.421085472e-14,-9.493856158,0.01753117195,4.157587393
0,1,4,2398.739897,43.69387148,2329.849433,-1.776356839e-14,-38.36781778,0.0001410892504,-0.8182877978
0,1,5,432.0660606,7.191976801,421.0132601,-1.909583602e-14,-16.30989099,0.004550884517,-0.7456246175
0,1,6,73.80742734,2.962851615,73.28396594,-8.881784197e-15,-6.804679161,0.07309261678,-0.1415211727
0,1,7,23.21772315,3.445998444,26.66648682,5.329070518e-15,4.104743962,0.08090574516,0.9809641053
0,1,8,494.5146461,8.61256104,466.9701894,1.154631946e-14,17.17701716,0.003398280484,-1.605697834
0,1,9,4.065547011,0.9374039948,3.602225896,3.552713679e-15,-1.508650507,1.119066362,-0.4901285637
0,1,10,48.6978098,1.925622595,48.93352184,-2.109423747e-14,-5.56040478,0.1711639601,0.09751870624
0,1,11,100.7374109,3.131607897,101.2686648,-2.531308496e-14,-7.99909239,0.05279777694,0.1220702699
0,1,12,37.2326233,2.963100395,35.62966223,8.881784197e-16,-4.744702904,0.09972470632,-0.5062025833
0,1,13,59.38544919,3.169131209,53.24230779,0,5.800048257,0.075658068,-1.68973319
0,1,14,4.155917503,1.655189567,3.003365867,1.976196984e-14,1.377549747,0.362950455,-0.6943589922
0,1,15,79.52856048,4.967642545,77.33727122,1.82076576e-14,6.990328628,0.03292746372,-0.3976297305
0,1,16,17.25522744,3.245585403,25.01026095,1.443289932e-15,3.975230195,0.09257722142,2.359585666
0,2,0,48.79501792,4.359415714,64.62243224,-6.389911172,1.776356839e-15,0.04728721797,3.441770067
0,2,1,57.29628533,4.782496828,74.94566706,-6.88139418,-3.552713679e-15,0.03871938905,3.472911725
0,2,2,2442.696618,71.36931942,2321.226566,-38.29675154,9.769962617e-15,9.556876456e-05,-1.187482459
0,2,3,963.0848738,29.75161582,1008.212875,-25.23941535,1.243449788e-14,0.0005814163506,1.088152393
0,2,4,68.25792188,3.927813073,66.80517878,6.49693073,1.776356839e-15,0.05096594468,-0.3279660291
0,2,5,142.6848579,3.928522507,144.9572388,9.570246523,-1.687538997e-14,0.02962404637,0.3911139778
0,2,6,2775.378191,50.88310916,2616.161543,40.65701123,-2.858824288e-14,0.000105025,-1.631679366
0,2,7,301.6516327,7.179444965,309.2191038,13.97771978,-1.687538997e-14,0.007494074056,0.655103267
0,2,8,1.950580478,1.399863933,3.191885654,-1.420125852,1.887379142e-15,0.5094131089,0.8859590006
0,2,9,285.1788781,6.921122463,287.7002219,-13.48258818,4.152234112e-14,0.008257895436,0.2291219898
0,2,10,277.2655885,8.432141733,250.584433,-12.58288464,1.687538997e-14,0.007128112127,-2.252640544
0,2,11,4.98907464,1.640174902,1.912624922,1.099304679,4.218847494e-15,0.3686533348,-1.867922721
0,2,12,35.0922734,4.099674586,31.3638533,-4.451617879,-4.218847494e-15,0.0558171127,-0.8808633151
0,2,13,170.4007831,14.26295845,179.8210378,10.65917079,-6.439293543e-15,0.004356069135,0.6217417404
0,2,14,6.760631715,3.145703156,6.640742892,-2.048384609,-6.106226635e-16,0.1006382086,-0.03803296158
0,3,1,35.08546633,4.422352895,33.14767561,1.776356839e-15,-4.576460424,0.04839077427,-0.426273327
0,3,2,0.6477023871,1.420165595,2.316343976,-4.440892099e-16,-1.209775255,0.4957248971,1.174852727
0,3,3,64.31230509,4.640299245,62.78522019,0,6.298423835,0.03959636666,-0.3038721159
0,3,4,624.4824341,39.64770893,585.7385384,-1.243449788e-14,-19.23778517,0.000520042083,-0.8835325039
0,3,5,221.6933526,5.391948679,236.5887367,-7.105427358e-15,-12.22644515,0.0136414,1.7397273
0,3,6,58.27482799,2.321236755,58.6379843,3.552713679e-15,6.086851234,0.1184202722,0.1249702452
0,3,7,295.0010787,6.935742922,286.1754308,1.154631946e-14,13.44681233,0.007909665129,-0.7849204455
0,3,8,88.86412744,3.394593881,82.54076611,3.5971226e-14,7.221666337,0.05367566255,-1.4649969
0,3,9,99.76039887,7.529204538,112.4945092,6.217248938e-15,8.43080091,0.0152332567,1.571683123
0,3,10,29.70438398,2.58429277,32.05441813,2.442490654e-15,-4.50035859,0.1338207172,0.8596780736
0,3,11,240.1579969,10.22852051,246.4809328,-2.509104036e-14,-12.47943248,0.00638851462,0.5053807841
0,3,12,14.01947752,1.97486321,12.50163058,-8.659739592e-15,2.810518846,0.2452798426,-0.7517248493
0,3,13,2.240190196,3.742432691,0.6778299312,0,0.6544305159,0.07137596197,-0.4174045436
0,3,14,4.831882188,3.027169699,3.464196214,-4.440892099e-16,1.479464036,0.1088759038,-0.4512864351
0,3,15,20.8539399,6.252530121,27.09512474,3.552713679e-15,4.137602336,0.02532573258,0.9932259394
0,4,0,542.5660626,19.26966499,497.483483,17.72933737,-6.827871601e-15,0.001571684215,-1.787275098
0,4,1,410.1590062,12.872642,422.0532369,16.33002271,-6.217248938e-15,0.003153457178,0.667928271
0,4,2,33.68185233,2.484083483,33.61456708,4.608577893,-3.996802889e-15,0.1390493517,-0.02509021438
0,4,3,0.7292628843,1.334386676,0.494601057,0.559024306,-8.881784197e-16,0.5614613674,-0.1758338104
0,4,4,39.55620192,2.77964263,45.41340775,-5.356674005,5.329070518e-15,0.1094734258,1.93796014
0,4,5,17.80587987,2.157357041,19.08649425,-3.472691899,5.773159728e-15,0.2024482544,0.5762028361
