run,h,k,l,omega,x,y,module,Linv,P,edge,I,sigma,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2
1,0,0,-1,44.104314,306.17866,363.56696,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-4,45.078142,188.52864,375.15551,0,0.28425749,0.95952367,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-3,47.656978,210.54598,392.4772,0,0.24050684,0.9708001,1,0,0,0,0,0,0,0,0,0,0
1,1,0,-3,22.060511,225.87132,368.5039,0,0.20955836,0.97770326,0,926.55121,14.197783,4322.8634,4387.7838,4363,0.35519126,5,95439.284,4322.8634,2107416.7
1,1,0,-2,18.580737,246.49615,385.77476,0,0.16763842,0.98590073,0,-3.1339194,0.72888913,-18.430939,18.37563,4,0.19337017,5,0,0,0
1,2,0,-5,15.146217,142.67473,373.13588,0,0.37180614,0.9307479,0,1.6023696,2.2487574,4.011236,31.689559,21,0.15168539,5,113.51966,7.5617978,1707.5119
1,2,0,-4,13.703946,164.06055,390.68399,0,0.33164867,0.94481277,0,-1.1125566,1.5123102,-3.1694915,18.561658,10,0.11864407,5,47.262712,3.4915254,643.09958
1,2,1,-4,-4.5916888,154.08195,366.39991,0,0.35041707,0.93815237,0,-2.7225333,1.8299337,-7.2888889,24.001975,12,0.17222222,5,0,0,0
1,2,1,-3,-8.7840216,170.78762,383.93775,0,0.31880452,0.94916505,1,0,0,0,0,0,0,0,0,0,0
1,2,1,-2,-14.440574,185.56292,401.32516,0,0.28989003,0.95711495,1,0,0,0,0,0,0,0,0,0,0
1,4,-4,1,30.867974,136.13383,714.88356,0,0.31841684,0.79231416,0,5.0935163,2.0871633,12.674157,26.972155,21,0.073033708,5,424.12079,13.876404,12965.429
1,4,-3,0,23.412531,141.30217,646.74234,0,0.3298835,0.83284399,0,-1.3091202,1.496581,-3.3050847,14.276001,7,0.09039548,5,39.478814,1.7118644,911.09004
1,5,-3,1,2.9478308,140.56474,742.98809,0,0.30326936,0.77867041,0,-0.74020963,1.2800169,-1.9005525,10.801441,6,0.071823204,5,1.3729282,0.78453039,2.4026243
1,5,-2,1,-8.4449601,146.54098,698.38011,0,0.30680001,0.80575676,1,0,0,0,0,0,0,0,0,0,0
