h,k,l,I,sigma,multiplicity,d,absent_P212121
0,0,1,-0.63954718,0.40961033,2,12.297238,1
0,0,2,271.20195,6.9007655,3,6.1486189,0
0,0,3,0.35512809,1.2090438,2,4.0990793,1
0,0,4,7461.7093,151.11616,4,3.0743095,0
0,0,5,1.4069687,1.1540272,4,2.4594476,1
0,0,6,132.22185,4.2749451,4,2.0495396,0
0,0,7,0.43743663,1.1952075,4,1.7567483,1
0,0,8,49.041929,2.7267216,4,1.5371547,0
0,0,9,-0.91969189,1.4108991,4,1.3663598,1
0,0,10,8.9660433,2.3650558,4,1.2297238,0
0,0,11,1.4288302,3.2666827,4,1.1179307,1
0,0,12,246.90581,9.6563727,3,1.0247698,0
0,0,13,0.81458827,2.2657423,3,0.94594137,1
0,0,14,84.901182,7.4558859,2,0.87837413,0
0,0,15,2.3283614,3.3022961,2,0.81981586,1
0,0,16,31.541287,5.9493079,1,0.76857736,0
0,0,17,2.2188109,4.2503374,1,0.72336693,1
0,1,0,0.83367592,1.7823433,1,5.9693035,1
0,1,1,402.632,12.541798,2,5.3700618,0
0,1,2,7660.3,218.09046,2,4.2829255,0
0,1,3,112.013,5.9748362,3,3.3790856,0
0,1,4,2409.8424,43.907769,5,2.7331294,0
0,1,5,433.22414,7.2322073,8,2.2739962,0
0,1,6,74.634461,2.97563,7,1.9384625,0
0,1,7,21.871007,3.5417257,8,1.6852818,0
0,1,8,503.33206,8.7713981,8,1.4885916,0
0,1,9,5.3167212,1.2115974,8,1.331913,0
0,1,10,49.548036,2.0489663,9,1.2044317,0
0,1,11,104.96306,3.3077434,8,1.0988268,0
0,1,12,38.159245,3.7480954,6,1.0099948,0
0,1,13,63.153857,3.4761132,5,0.93428325,0
0,1,14,6.1967838,2.1791235,4,0.86901625,0
0,1,15,82.022952,5.2250505,4,0.8121919,0
0,1,16,22.097229,4.0729616,2,0.76228482,0
0,2,0,46.593248,4.7872403,1,2.9846517,0
0,2,1,60.252482,5.2188837,1,2.9004448,0
0,2,2,2452.3036,71.661696,2,2.6850309,0
0,2,3,965.13102,29.858703,2,2.4128143,0
0,2,4,70.613844,4.7185899,5,2.1414628,0
0,2,5,143.29197,4.0553164,5,1.898054,0
0,2,6,2809.8094,51.501848,5,1.6895428,0
0,2,7,305.46738,7.0106164,6,1.513964,0
0,2,8,1.7107347,1.5433053,7,1.3665647,0
0,2,9,289.38887,7.0670532,6,1.2423626,0
0,2,10,283.8824,8.6690987,4,1.1369981,0
0,2,11,6.2537092,1.7844546,4,1.0469026,0
0,2,12,37.642024,3.0887999,4,0.96923124,0
0,2,13,184.28172,9.135868,3,0.90173612,0
0,2,14,7.8248446,4.0574034,2,0.84264091,0
0,3,0,-0.0096565503,3.478892,1,1.9897678,1
0,3,1,43.149836,5.2890812,1,1.9642211,0
0,3,2,8.4961599,2.609082,2,1.8931078,0
0,3,3,26.858064,18.691326,4,1.7900206,0
0,3,4,629.79882,41.821154,2,1.6704236,0
0,3,5,222.50878,5.4588959,6,1.54691,0
0,3,6,59.03397,2.4462672,6,1.4276418,0
0,3,7,301.00016,7.1087491,6,1.3169247,0
0,3,8,91.01143,3.5763858,6,1.2164438,0
0,3,9,100.49402,9.7352888,4,1.1263619,0
0,3,10,30.286802,2.8130898,4,1.0460703,0
0,3,11,254.82525,8.6158961,4,0.9746359,0
0,3,12,14.561965,2.3910004,4,0.91104314,0
0,3,13,0.24333726,4.5333653,2,0.85431412,0
0,3,14,6.9586781,4.2237227,2,0.80356026,0
0,4,0,552.81891,19.650431,2,1.4923259,0
0,4,1,417.86568,12.844486,3,1.4814571,0
0,4,2,35.127108,2.7929197,4,1.4502224,0
0,4,3,3.0061447,1.8319813,4,1.4022855,0
0,4,4,41.692312,3.2428629,4,1.3425155,0
0,4,5,16.439402,3.0493716,4,1.2758309,0
0,4,6,125.99604,4.075825,6,1.2064072,0
0,4,7,102.56169,4.8655019,3,1.1373525,0
0,4,8,166.53203,7.2436416,3,1.0707314,0
0,4,9,103.73111,5.7940082,3,1.0077577,0
0,4,10,79.266323,5.2130424,3,0.94902702,0
0,4,11,11.488246,3.8511724,3,0.89472249,0
0,4,12,206.86809,22.294248,2,0.8447714,0
0,4,13,57.020964,6.8739583,2,0.79895525,0
0,4,14,1.9259649,5.8420799,1,0.75698201,0
0,5,0,0.49111444,3.0363952,2,1.1938607,1
0,5,1,39.604744,3.9285249,3,1.1882739,0
0,5,2,85.998153,4.6477179,4,1.1719728,0
0,5,3,242.78696,11.872696,2,1.1462343,0
0,5,4,54.936098,5.7570827,2,1.112892,0
0,5,5,80.923007,7.4261762,2,1.0740124,0
0,5,6,-2.8084813,3.5485114,2,1.0316048,0
0,5,7,16.035266,4.254174,3,0.98742531,0
0,5,8,14.64545,2.8119002,3,0.94288292,0
0,5,9,26.344965,8.2503303,2,0.89902717,0
0,5,10,49.563278,5.2325508,2,0.85658511,0
0,5,11,23.525125,6.7047426,1,0.81601993,0
0,5,12,6.8600113,4.5887719,1,0.77759297,0
0,6,0,86.534733,10.468179,1,0.99488391,0
0,6,1,79.265526,7.0742837,2,0.9916439,0
0,6,2,9.0743945,4.0499106,2,0.98211056,0
0,6,3,10.970899,4.5629001,2,0.96681494,0
0,6,4,6.2369882,4.1919663,2,0.9465539,0
0,6,5,65.606066,6.7829513,2,0.92228358,0
0,6,6,75.971092,7.4262197,2,0.8950103,0
0,6,7,60.974959,4.5267802,4,0.8656993,0
0,6,8,29.506822,3.9392875,3,0.8352118,0
0,6,9,2.8756653,3.7186234,3,0.80427144,0
0,6,10,53.403769,9.3421153,1,0.77345502,0
0,7,0,5.3375567,5.7220526,1,0.85275764,1
0,7,1,1.5811876,3.9701235,2,0.85071464,0
0,7,2,51.754265,6.7886214,2,0.84467262,0
0,7,3,15.576656,4.5773803,2,0.8348825,0
0,7,4,11.323929,4.4647345,2,0.8217311,0
0,7,5,44.611937,6.290466,2,0.80570116,0
0,7,7,3.3002206,3.0285596,2,0.76715169,0
0,7,8,29.508842,7.2308529,1,0.74569484,0
1,0,0,1.476233,1.0509355,2,5.7956112,1
1,0,1,1090.2658,20.277232,5,5.2425516,0
1,0,2,160.09826,8.3166734,1,4.2173929,0
1,0,3,1006.8762,16.228855,7,3.346622,0
1,0,4,123.7648,3.3299565,8,2.7158653,0
1,0,5,1.9860894,2.0851831,5,2.2640238,0
1,0,6,640.28319,13.316911,5,1.932274,0
1,0,7,41.192628,2.1837754,7,1.6812105,0
1,0,8,65.749207,2.2449327,9,1.4857837,0
1,0,9,31.620324,1.7833358,9,1.3299005,0
1,0,10,151.39273,3.8677158,9,1.2029429,0
1,0,11,84.927683,3.5376093,7,1.0976959,0
1,0,12,76.448384,3.9258082,5,1.0091164,0
1,0,13,19.911719,2.509347,5,0.93358784,0
1,0,14,38.323411,3.7594324,4,0.86845655,0
1,0,15,75.489746,5.1362584,4,0.81173491,0
1,0,16,1.2559117,3.2251353,1,0.76190697,0
1,1,0,100.33661,5.04449,2,4.1581657,0
1,1,1,193.82283,3.7356256,6,3.9390676,0
1,1,2,158.40663,3.3654847,6,3.4444501,0
1,1,3,1529.8778,18.218132,12,2.9191527,0
1,1,4,216.72172,3.3762385,12,2.4720355,0
1,1,5,594.09053,7.2827683,14,2.1168796,0
1,1,6,25.99148,2.1064872,14,1.8383587,0
1,1,7,423.87188,5.4862744,15,1.6182532,0
1,1,8,286.08324,3.9840276,16,1.4417929,0
1,1,9,284.40951,4.1649706,16,1.2980754,0
1,1,10,152.7565,2.6289592,17,1.1792363,0
1,1,11,15.563978,1.1696864,13,1.0795941,0
1,1,12,2.8182622,1.0650403,11,0.99499888,0
1,1,13,134.51092,3.8944063,10,0.92237517,0
1,1,14,24.535753,2.2110859,8,0.85940884,0
1,1,15,61.588309,4.4906435,5,0.80433217,0
1,1,16,44.495013,7.5149465,1,0.75577554,0
1,2,0,2.6688218,1.249281,4,2.6534595,0
1,2,1,91.009639,2.6280531,6,2.5937641,0
1,2,2,404.09089,6.7841937,8,2.4362757,0
1,2,3,712.47473,10.662219,9,2.2274893,0
1,2,4,228.5452,3.9014339,11,2.0087246,0
1,2,5,568.5636,8.8858261,9,1.8037847,0
1,2,6,21.232899,2.4006854,12,1.6220246,0
1,2,7,132.43952,3.3605466,10,1.4648101,0
1,2,8,4.5717225,1.4559067,10,1.3300895,0
1,2,9,321.04995,5.0810084,13,1.214766,0
1,2,10,10.289202,1.6083889,9,1.1157299,0
1,2,11,10.815655,1.5979013,8,1.0302294,0
1,2,12,33.82864,2.3625378,7,0.9559555,0
1,2,13,78.319125,4.2844315,6,0.89101572,0
1,2,14,60.064222,4.3380288,5,0.83387333,0
1,2,15,14.473236,5.7860805,1,0.78328291,0
1,3,0,315.50128,9.6300233,3,1.8819436,0
1,3,1,453.48799,11.068924,4,1.8602851,0
1,3,2,69.237001,2.7181174,6,1.7995378,0
1,3,3,567.92314,9.7232314,8,1.7103028,0
1,3,4,118.14734,3.7669119,6,1.6050847,0
1,3,5,32.851892,1.7846128,11,1.4945877,0
1,3,6,72.176756,2.2034787,11,1.3862043,0
1,3,7,204.96097,3.8718603,12,1.284189,0
1,3,8,51.661467,2.1200633,13,1.1905031,0
