h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,271.2019465,6.900765493,294.6410309,-13.70861116,3.552713679e-15,0.008786110099,2.197045061
0,0,4,7461.709295,151.1161555,7906.101276,-71.01139297,1.776356839e-14,1.370886719e-05,1.645382969
0,0,6,132.2218507,4.274945092,130.9396766,9.138659104,-3.996802889e-15,0.02940353901,-0.2198602896
0,0,8,49.04192881,2.726721628,60.3887305,-6.206186114,1.776356839e-15,0.1041708927,3.662238786
0,0,10,8.966043268,2.365055751,3.43277338,-1.47968548,-4.440892099e-16,0.176496347,-2.324607926
0,0,12,246.9058139,9.656372662,230.2359556,12.11806895,-8.54871729e-15,0.006751658076,-1.369736812
0,0,14,84.90118205,7.455885932,68.25306089,6.59793316,-6.661338148e-15,0.01610886379,-2.112991171
0,0,16,31.54128672,5.949307911,21.98021215,-3.744232299,3.774758284e-15,0.02755607985,-1.587140678
0,1,1,402.6319951,12.54179817,425.2712384,-5.329070518e-15,16.46947864,0.003298175091,1.300165868
0,1,2,7660.299985,218.0904559,8338.277987,-1.243449788e-14,-72.92644282,9.96257824e-06,2.139939402
0,1,3,112.0129963,5.974836218,140.6171237,-1.065814104e-14,-9.470348272,0.02128072147,4.172745315
0,1,4,2409.842444,43.90776875,2321.175854,7.993605777e-15,38.47697024,0.0001397721967,-1.04826335
0,1,5,433.2241378,7.232207317,423.3285461,5.329070518e-15,-16.43181826,0.004520393875,-0.665318967
0,1,6,74.63446052,2.975629991,74.48947999,0,6.892778403,0.07211029042,-0.03893214315
0,1,7,21.87100734,3.541725747,25.49269135,-7.105427358e-15,4.032317208,0.07707528201,1.005467684
0,1,8,503.3320552,8.771398139,474.3449777,-6.217248938e-15,-17.39378104,0.003279266242,-1.659941451
0,1,9,5.316721227,1.211597429,3.671937644,-6.217248938e-15,-1.53036313,0.6696088828,-1.345920369
0,1,10,49.54803629,2.048966323,50.10755628,-3.108624469e-15,5.653253454,0.1560605302,0.2210355571
0,1,11,104.9630587,3.307743414,102.7558397,-8.881784197e-16,-8.095619756,0.04794625611,-0.483306672
0,1,12,38.15924457,3.748095404,37.66447139,-9.992007222e-16,4.901316905,0.06510953182,-0.1262491427
0,1,13,63.15385706,3.476113237,56.79598467,-1.33226763e-15,6.018741095,0.06380427124,-1.605967246
0,1,14,6.196783776,2.179123529,3.482556086,1.398881011e-14,-1.490376194,0.2090677068,-1.241051359
0,1,15,82.0229523,5.2250505,83.44319516,7.105427358e-15,7.295285759,0.02997948717,0.2459091655
0,1,16,22.09722911,4.072961562,26.73412017,-4.440892099e-16,-4.129331919,0.05872516592,1.123670601
0,2,0,46.5932479,4.787240261,66.68238705,-6.521573816,8.881784197e-16,0.04020665095,4.028193059
