run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iscaled,z
1,2,-1,-4,30.89406,156.73719,415.08603,0,0.34482348,0.93815237,0,-4.7863501,2.5549084,-4.7863501,-23.289702
1,3,-2,-2,30.733945,148.50531,519.90122,0,0.34764937,0.90256691,0,-0.83027365,2.1844565,-0.83027365,-20.623203
1,3,-1,-3,18.158847,140.31949,474.66043,0,0.36975928,0.91423747,0,7.2266865,3.1498877,7.2266865,-13.051426
1,3,0,-3,3.0425533,139.68772,449.2323,0,0.37393192,0.92071425,0,69.118234,5.9428468,69.118234,-13.717413
1,3,0,-2,-0.79005332,158.82524,466.89925,0,0.33665111,0.92840937,0,7.7383946,3.0593557,7.7383946,-16.236386
1,4,-1,-1,1.2059056,139.77898,559.07206,0,0.35504733,0.87926122,0,-2.5304918,2.3231512,-2.5304918,-18.831274
2,2,-2,-4,23.678038,125.2221,374.95241,0,0.4036069,0.9184726,0,-1.6030701,2.4036385,-1.5527404,-13.653074
2,2,-2,-3,26.776372,141.05348,397.82312,0,0.37467286,0.92923668,0,-5.1020072,2.17325,-4.9418254,-15.342878
2,2,-2,-2,29.875762,156.09657,420.52815,0,0.34575248,0.93700899,0,2.0417773,2.9303978,1.977674,-23.286524
2,3,-3,3,33.909832,146.01821,594.63964,0,0.33570101,0.8642319,0,0.29353597,1.8364951,0.28432016,-17.34171
2,3,-2,0,19.541538,148.24417,504.94636,0,0.35075315,0.9085838,0,-1.7770955,1.9508073,-1.7213021,-16.328696
2,3,-1,-2,3.0532921,141.39431,449.18243,0,0.37081905,0.92187339,0,3.7325648,3.2658396,3.6153778,-18.079394
2,3,-1,-1,3.2469138,158.40383,472.31219,0,0.33679371,0.92648842,0,5.1611336,2.8056146,4.9990954,-19.75771
2,4,-2,2,5.3624132,139.21372,601.88105,0,0.34551719,0.85672271,0,2.7514095,2.31911,2.6650267,-15.498236
2,4,-2,3,3.3483519,158.24674,631.17695,0,0.3055392,0.84970392,0,101.48079,6.3102796,98.294716,-7.7850541
3,0,3,4,10.199581,261.32938,380.37116,0,0.41573692,0.91358044,0,6.0472855,3.4912066,5.6915905,-20.858212
3,1,3,-2,61.18536,285.64931,441.49497,0,0.36677799,0.92504817,0,-3.4704546,2.9910191,-3.2663261,-11.145754
3,1,3,-1,52.788554,292.33985,441.34187,0,0.35408441,0.92968048,0,-3.9980606,2.6249708,-3.7628989,-20.519244
3,1,3,0,43.714889,294.57833,441.14066,0,0.34984323,0.93123017,0,-6.3802396,2.4264206,-6.0049606,-19.303196
3,1,3,1,34.40932,292.19237,440.88229,0,0.35440529,0.92968048,0,-6.802515,2.370911,-6.4023982,-20.638336
3,1,3,2,25.327196,285.36694,440.57769,0,0.36739728,0.92504817,0,-1.7444565,3.077155,-1.6418494,-10.908811
3,2,3,-2,57.481386,284.31013,504.13277,0,0.36078177,0.90450391,0,-3.2743604,2.400438,-3.081766,-19.309975
3,2,3,-1,48.948588,291.031,504.04306,0,0.34835681,0.90902319,0,-2.2675676,2.1903156,-2.1341917,-18.279868
3,2,3,1,30.57885,290.72566,503.54447,0,0.3490076,0.90902319,0,1.8173016,2.4192655,1.7104098,-18.026501
3,2,3,2,21.640992,283.72574,503.13961,0,0.3620375,0.90450391,0,1.7329729,2.9065241,1.6310413,-19.015699
3,3,3,-1,42.488622,290.30779,573.15845,0,0.33546256,0.87572519,0,-0.72333567,1.7456929,-0.68078982,-18.891509
3,3,3,0,33.296555,292.49627,572.96671,0,0.33162792,0.8771744,0,1.1691213,2.2369588,1.1003548,-18.590609
3,3,3,1,24.143526,289.81321,572.58303,0,0.33647504,0.87572519,0,-3.0094006,1.7756388,-2.8323908,-18.982072
3,4,3,-1,32.977615,293.50399,654.42779,0,0.30908138,0.83148269,0,0.2879243,1.5051885,0.2709889,-15.736168
3,4,3,1,14.685773,292.73849,653.70649,0,0.31054488,0.83148269,0,-1.6395283,1.8373035,-1.5430929,-15.760933
4,-2,-1,-4,16.517588,156.53543,414.01644,0,0.34525309,0.93815237,0,3.6441375,3.1261953,3.1978538,-23.360387
4,-1,-2,-7,1.861909,140.33908,538.88063,0,0.35849606,0.88921704,0,3.1256165,2.468223,2.7428341,-14.769002
5,0,2,-6,-68.391659,263.70921,381.78023,0,0.41125099,0.91543514,0,-1.3903883,2.5786677,-1.3573892,-23.880038
5,1,2,-5,-73.187107,286.14995,441.54522,0,0.36582373,0.92538645,0,-1.8242139,2.9348133,-1.7809185,-20.92911
5,2,0,-6,-36.669309,298.47863,503.9693,0,0.3345486,0.91386435,0,-0.052586256,2.3274127,-0.051338187,-14.311911
5,2,1,-6,-55.979603,288.61783,504.01311,0,0.35283269,0.90744071,0,-0.74671451,2.0914414,-0.72899218,-18.276578
5,3,1,-6,-62.130071,287.81494,573.09844,0,0.33989233,0.87420855,0,-0.29757322,1.8075215,-0.2905107,-15.912759
5,3,2,-5,-82.772795,283.98315,573.26569,0,0.34663077,0.8717105,0,-1.9995186,1.8962054,-1.9520625,-18.858525
5,4,1,-6,-71.285499,290.81287,654.31636,0,0.31356382,0.83005824,0,0.65633377,1.6913823,0.64075651,-15.88952
