run,h,k,l,omega,x,y,module,Linv,polarization,scan_edge,I,sigma,Iraw_net,var_raw,raw_counts,bg_sum,nframes,weighted_omega,sum_pos,weighted_omega2
1,-1,0,0,5.5908831,375.11676,340.07057,0,0.091336285,0.99250891,0,1.1140978,1.4088067,12.106383,234.3608,135,1.0780142,5,96.484043,17.851064,524.53059
1,0,0,1,48.326766,351.36394,398.69739,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,3,36.391072,348.26701,502.24739,0,0.037949127,0.9708001,0,1518.2399,7.734346,38839.033,39147.427,39028,1.6722742,10,1418316.7,38839.033,51825395
1,-3,0,-10,36.991049,189.12837,14.609338,0,0.22537733,0.79284773,0,51.872452,4.1287874,182.48045,210.96195,200,0.15642458,6,6758.1536,182.48045,250338.09
1,-3,0,-9,44.200427,204.44146,48.196425,0,0.20773972,0.81763711,1,0,0,0,0,0,0,0,0,0,0
1,-2,-1,-13,35.586145,35.059811,8.4360678,0,0.44854648,0.7315901,0,118.02401,9.169576,192.5,223.67593,211,0.16666667,5,6857.8565,192.5,244336.86
1,-2,-1,-12,40.184888,62.0656,48.117654,0,0.42762729,0.76087889,1,0,0,0,0,0,0,0,0,0,0
1,-2,-1,-11,45.0818,86.883595,82.859134,0,0.40444152,0.78936438,1,0,0,0,0,0,0,0,0,0,0
1,-2,0,-12,25.198728,113.80336,13.723367,0,0.34081571,0.76602397,0,27.845726,4.2058382,62.586592,89.361537,79,0.1452514,5,1577.8366,62.586592,39788.177
1,-2,0,-11,29.328115,137.6257,50.137891,0,0.31603372,0.79478174,0,110.20733,6.993252,277.15642,309.30523,297,0.17877095,5,8112.8841,277.15642,237522.35
1,-2,0,-10,33.795743,160.19653,82.358459,0,0.28888273,0.8223276,0,51.833449,4.6394101,147.54802,174.41029,164,0.14689266,5,4976.5,147.54802,167871.01
1,-2,0,-9,38.78494,181.60764,111.26356,0,0.25997318,0.84831006,1,17.557963,2.7078594,57.292818,78.073624,70,0.11049724,3,2208.4972,57.292818,85137.818
1,-2,0,-8,44.581097,201.84263,137.53124,0,0.23002564,0.87241111,1,0,0,0,0,0,0,0,0,0,0
1,-2,1,-11,5.1900688,185.57889,10.466548,0,0.23005041,0.78936438,0,117.29188,6.0195076,402.45977,426.60992,417,0.12643678,5,2093.5747,402.45977,10981.815
1,-2,1,-10,6.7232482,207.88848,44.89073,0,0.20138277,0.81666163,0,68.849228,4.3196145,279.20225,306.85248,296,0.14606742,5,1859.823,279.20225,12453.456
1,-2,1,-9,7.7130218,230.11217,75.526174,0,0.16940013,0.84241915,0,71.990494,3.9811496,358.00546,391.96384,379,0.18579235,6,2731.321,358.00546,20945.225
1,-2,1,-8,7.7851804,252.55614,103.11993,0,0.134102,0.86631895,0,12.137311,1.7519802,78.40884,128.09835,109,0.27071823,7,603.60912,79.530387,4622.3546
1,-2,1,-7,5.9323944,275.87957,128.22338,0,0.094788771,0.88807649,0,184.02049,4.5306569,1724.0889,1801.8114,1772,0.42777778,8,10162.589,1724.0889,60950.822
1,-2,1,-6,-2.1833019,302.78673,151.11253,0,0.046938364,0.90744071,0,266.47215,3.7743055,5151.6,5324.2044,5258,0.95,14,-11676.089,5151.6,36324.453
1,-1,-1,-13,32.297241,10.325349,74.295366,0,0.50769531,0.74719697,0,135.93084,10.293424,200.05525,229.5005,218,0.15469613,5,6454.2196,200.25967,208031.01
1,-1,-1,-12,36.03657,40.286971,109.06301,0,0.48135227,0.77742765,0,-0.11257458,3.5421325,-0.18181818,32.728306,20,0.18181818,5,250.23295,6.9545455,9004.1165
1,-1,-1,-11,39.952481,67.948419,139.81477,0,0.45258466,0.80677969,1,0.62992362,1.1461642,1.122905,4.1744952,3,0.016759777,1,43.51257,1.122905,1686.1121
1,-1,-1,-10,44.113546,93.704706,167.40664,0,0.42180925,0.83486814,1,0,0,0,0,0,0,0,0,0,0
1,-1,-1,-9,48.609978,117.83716,192.49217,0,0.38945278,0.86134151,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,-13,20.076167,49.480262,41.670535,0,0.44254698,0.75220598,0,14.263787,4.2342763,24.244444,51.798025,41,0.14444444,5,622.73889,30.911111,12548.899
1,-1,0,-12,23.128617,78.162673,78.058381,0,0.41564417,0.78273263,0,81.005561,7.1187667,152.54802,179.7186,169,0.14689266,5,3566.0537,154.61017,82267.689
1,-1,0,-11,26.240107,105.03945,110.12283,0,0.38588479,0.81235695,0,92.223022,7.2276003,194.14607,231.5084,217,0.20224719,5,5095.7865,194.14607,133773.77
1,-1,0,-10,29.459745,130.47082,138.7819,0,0.35363642,0.84069401,0,145.27701,8.2797125,345.36464,387.42929,371,0.22099448,5,10146.673,345.36464,298166.68
1,-1,0,-9,32.856283,154.73486,164.73397,0,0.31924595,0.86739231,0,33.212064,4.2380884,90.237288,132.59293,116,0.2259887,5,3065.0551,93.610169,100374.86
1,-1,0,-8,36.533371,178.04457,188.52341,0,0.28305627,0.89213386,0,67.023219,5.0446098,211.24309,252.79567,237,0.2320442,5,7719.4102,211.24309,282122.08
1,-1,0,-7,40.659543,200.55326,210.58485,0,0.24543108,0.91463411,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,-6,45.532608,222.34431,231.27401,0,0.20680127,0.93464203,1,0,0,0,0,0,0,0,0,0,0
1,-1,1,-12,6.313378,106.64758,41.646318,0,0.36071053,0.77742765,0,2.0547666,2.6203599,4.4285714,31.895119,21,0.14285714,5,37.491758,5.4395604,259.59272
1,-1,1,-11,7.9380482,132.25842,75.869351,0,0.33220829,0.80677969,0,11.778024,3.1931873,28.603352,60.13645,48,0.17318436,5,226.73464,28.603352,1803.1676
1,-1,1,-10,9.2782372,156.73561,106.28629,0,0.30094835,0.83486814,0,165.00549,8.0013005,457.74576,492.68917,479,0.18644068,5,4234.5042,457.74576,39246.329
1,-1,1,-9,10.245109,180.32221,133.67912,0,0.26727836,0.86134151,0,276.55525,9.5224391,891.23757,941.71515,922,0.26519337,5,9129.9171,891.23757,93647.741
1,-1,1,-8,10.682483,203.21671,158.65254,0,0.23152064,0.8858818,0,286.90378,8.8454265,1097.7978,1145.5385,1127,0.25842697,5,11697.048,1097.7978,124822.26
1,-1,1,-7,10.300413,225.58024,181.6854,0,0.19398767,0.90820448,0,426.77638,9.710089,1998.0663,2066.643,2040,0.36464088,5,20546.826,1998.0663,211613.54
1,-1,1,-6,8.5092774,247.53361,203.1662,0,0.15500988,0.9280585,0,24.124119,2.5346831,144.43333,230.29222,197,0.46111111,5,1232.9417,144.43333,10549.744
1,-1,1,-5,3.9327229,269.12762,223.4193,0,0.11501093,0.94522626,0,558.25084,8.3290978,4588.0279,4685.8595,4648,0.53072626,5,17862.052,4588.0279,70568.076
1,-1,1,-4,-7.3735483,290.19184,242.72897,0,0.074818329,0.95952367,1,45.312302,1.9467697,581.11732,623.33935,607,0.22905028,2,-3822.6173,581.11732,25178.138
1,-1,2,-11,-13.420857,146.70263,35.746802,0,0.29765048,0.79034937,1,0,0,0,0,0,0,0,0,0,0
1,-1,2,-10,-14.268865,168.49331,68.912948,0,0.2717604,0.81769199,1,0,0,0,0,0,0,0,0,0,0
1,-1,2,-9,-16.060781,189.14341,98.600348,0,0.24419217,0.84349057,1,0,0,0,0,0,0,0,0,0,0
1,0,-2,-10,46.897133,33.357024,240.30077,0,0.53422401,0.82371401,1,0,0,0,0,0,0,0,0,0,0
