run,h,k,l,omega,x,y,module,Linv,P,edge,I,sigma,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2
1,0,0,-1,44.104314,306.17866,363.56696,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-4,45.078142,188.52864,375.15551,0,0.28425749,0.95952367,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-3,47.656978,210.54598,392.4772,0,0.24050684,0.9708001,1,0,0,0,0,0,0,0,0,0,0
1,1,0,-3,22.060511,225.87132,368.5039,0,0.20955836,0.97770326,0,934.68587,14.225681,4360.816,4405.0443,4393,0.52760736,7,96222.041,4360.816,2123559.8
1,1,0,-2,18.580737,246.49615,385.77476,0,0.16763842,0.98590073,0,-1.5707057,0.42862956,-9.2375,6.3545312,2,0.18125,7,0,0,0
1,2,0,-5,15.146217,142.67473,373.13588,0,0.37180614,0.9307479,0,-0.29833858,1.5857618,-0.74683544,15.758212,11,0.1835443,7,23.544304,1.5696203,354.04747
1,2,0,-4,13.703946,164.06055,390.68399,0,0.33164867,0.94481277,0,-0.79204631,1.2264518,-2.2564103,12.207758,8,0.16025641,7,26.858974,1.8974359,381.34936
1,2,1,-4,-4.5916888,154.08195,366.39991,0,0.35041707,0.93815237,0,-2.2221974,1.5150194,-5.9493671,16.451771,10,0.25316456,7,-7.4778481,1.4050633,40.141614
1,2,1,-3,-8.7840216,170.78762,383.93775,0,0.31880452,0.94916505,1,0,0,0,0,0,0,0,0,0,0
1,2,1,-2,-14.440574,185.56292,401.32516,0,0.28989003,0.95711495,1,0,0,0,0,0,0,0,0,0,0
1,4,-4,1,30.867974,136.13383,714.88356,0,0.31841684,0.79231416,0,1.959175,1.6225677,4.875,16.300781,13,0.125,7,163.25,5.3125,5019.3477
1,4,-3,0,23.412531,141.30217,646.74234,0,0.3298835,0.83284399,0,-2.0049141,1.2755212,-5.0617284,10.370066,6,0.17283951,7,5.2438272,0.2345679,117.24923
1,5,-3,1,2.9478308,140.56474,742.98809,0,0.30326936,0.77867041,0,-0.32249171,1.066709,-0.82802548,7.5013984,5,0.095541401,7,6.0621019,2.6687898,15.189092
1,5,-2,1,-8.4449601,146.54098,698.38011,0,0.30680001,0.80575676,1,-0.29984856,0.21202495,-0.7875,0.31007813,0,0.0125,1,0,0,0
