h,k,l,I,sigma,multiplicity,d,absent_P212121
0,0,1,0.2245626,0.2590198,2,12.297238,1
0,0,2,276.39095,6.9400453,3,6.1486189,0
0,0,3,0.21986413,1.0118809,2,4.0990793,1
0,0,4,7493.0979,173.91961,3,3.0743095,0
0,0,5,0.61048147,1.1478473,4,2.4594476,1
0,0,6,134.71831,4.2310596,4,2.0495396,0
0,0,7,-0.34512717,0.97564884,4,1.7567483,1
0,0,8,49.006937,2.6353094,4,1.5371547,0
0,0,9,-0.49548542,1.1793417,4,1.3663598,1
0,0,10,7.5016671,1.6908095,4,1.2297238,0
0,0,11,0.52786678,1.5037192,4,1.1179307,1
0,0,12,230.08379,9.0637038,3,1.0247698,0
0,0,13,0.98030742,1.6393588,3,0.94594137,1
0,0,14,82.355864,7.0139309,2,0.87837413,0
0,0,15,0.84789541,2.6688686,2,0.81981586,1
0,0,16,23.599579,5.4326908,1,0.76857736,0
0,0,17,7.5038212,4.0566035,1,0.72336693,1
0,1,0,0.3245091,1.4571715,1,5.9693035,1
0,1,1,400.88611,12.464136,2,5.3700618,0
0,1,2,7680.056,218.63939,2,4.2829255,0
0,1,3,113.42277,6.8541942,3,3.3790856,0
0,1,4,2422.1878,44.300842,5,2.7331294,0
0,1,5,436.96102,7.2843251,8,2.2739962,0
0,1,6,74.947808,3.0095961,7,1.9384625,0
0,1,7,23.402268,3.3761103,8,1.6852818,0
0,1,8,499.42438,8.6820972,8,1.4885916,0
0,1,9,3.8961507,1.2942593,8,1.331913,0
0,1,10,48.790223,2.0877328,8,1.2044317,0
0,1,11,101.84823,3.1877323,8,1.0988268,0
0,1,12,39.071162,3.0190274,6,1.0099948,0
0,1,13,60.157249,3.2382288,5,0.93428325,0
0,1,14,4.1333581,1.9105971,4,0.86901625,0
0,1,15,78.96634,5.0005941,4,0.8121919,0
0,1,16,16.936108,3.4223565,2,0.76228482,0
0,2,0,50.320607,4.5767311,1,2.9846517,0
0,2,1,57.669741,4.9398001,1,2.9004448,0
0,2,2,2453.4629,71.671769,2,2.6850309,0
0,2,3,968.04704,29.899746,2,2.4128143,0
0,2,4,68.715635,3.9442408,5,2.1414628,0
0,2,5,144.42969,4.0121106,5,1.898054,0
0,2,6,2725.9003,63.609761,3,1.6895428,0
0,2,7,303.76846,7.6905933,6,1.513964,0
0,2,8,2.1304935,1.1391568,7,1.3665647,0
0,2,9,289.09741,6.9888386,6,1.2423626,0
0,2,10,281.45273,8.6426674,4,1.1369981,0
0,2,11,4.7364382,1.5285206,4,1.0469026,0
0,2,12,35.045534,3.9720103,4,0.96923124,0
0,2,13,170.79278,14.582527,3,0.90173612,0
0,2,14,7.7010775,3.4819149,2,0.84264091,0
0,3,0,2.4716997,2.9981539,1,1.9897678,1
0,3,1,34.685979,4.654273,1,1.9642211,0
0,3,2,1.0288119,1.3928627,4,1.8931078,0
0,3,3,40.635898,22.431274,3,1.7900206,0
0,3,4,629.90097,35.798289,2,1.6704236,0
0,3,5,225.28714,5.4664392,6,1.54691,0
0,3,6,60.382512,2.3819794,6,1.4276418,0
0,3,7,298.46754,7.000671,6,1.3169247,0
0,3,8,89.965008,3.4971607,6,1.2164438,0
0,3,9,101.6116,7.2876405,4,1.1263619,0
0,3,10,30.551395,2.7083403,4,1.0460703,0
