run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iscaled,z
1,2,-1,-4,30.89406,156.73719,415.08603,0,0.34482348,0.93815237,0,-2.0448208,2.1222761,-2.0448208,-23.248048
1,3,-2,-2,30.733945,148.50531,519.90122,0,0.34764937,0.90256691,0,1.2720401,2.0259029,1.2720401,-20.564204
1,3,-1,-3,18.158847,140.31949,474.66043,0,0.36975928,0.91423747,0,4.2991065,2.4277056,4.2991065,-13.602176
1,3,0,-3,3.0425533,139.68772,449.2323,0,0.37393192,0.92071425,0,68.124302,5.7270296,68.124302,-13.826332
1,3,0,-2,-0.79005332,158.82524,466.89925,0,0.33665111,0.92840937,0,4.9949615,2.6206067,4.9949615,-16.487722
1,4,-1,-1,1.2059056,139.77898,559.07206,0,0.35504733,0.87926122,0,-3.0336255,1.7422526,-3.0336255,-18.675852
2,2,-2,9,21.516673,352.867,742.43513,0,0.038606209,0.82504789,0,87.034825,2.1524672,84.628926,-9.1324181
2,2,-2,-4,23.678038,125.2221,374.95241,0,0.4036069,0.9184726,0,-1.414424,1.8051749,-1.3753252,-13.813841
2,2,-2,-3,26.776372,141.05348,397.82312,0,0.37467286,0.92923668,0,-2.6082323,1.7152418,-2.536133,-15.282154
2,2,-2,-2,29.875762,156.09657,420.52815,0,0.34575248,0.93700899,0,-1.5791191,2.1304748,-1.5354676,-23.32721
2,3,-3,3,33.909832,146.01821,594.63964,0,0.33570101,0.8642319,0,-0.41286867,1.4032514,-0.40145576,-17.350757
2,3,-2,0,19.541538,148.24417,504.94636,0,0.35075315,0.9085838,0,-1.3475114,1.5205918,-1.3102622,-16.276389
2,3,-1,-2,3.0532921,141.39431,449.18243,0,0.37081905,0.92187339,0,2.6715146,2.6083261,2.597666,-18.225447
2,3,-1,-1,3.2469138,158.40383,472.31219,0,0.33679371,0.92648842,0,3.8169219,2.4257134,3.7114109,-19.79823
2,4,-2,2,5.3624132,139.21372,601.88105,0,0.34551719,0.85672271,0,-0.8142116,1.8944179,-0.79170439,-15.740943
2,4,-2,3,3.3483519,158.24674,631.17695,0,0.3055392,0.84970392,0,98.699989,6.1589846,95.97163,-7.8425493
3,0,3,3,18.05077,275.37175,380.58194,0,0.38914715,0.92428181,0,-1.9543947,1.5177034,-1.8297482,-9.9185207
3,0,3,4,10.199581,261.32938,380.37116,0,0.41573692,0.91358044,0,5.1704123,2.7713808,4.8406563,-20.916174
3,1,3,-2,61.18536,285.64931,441.49497,0,0.36677799,0.92504817,0,-3.4921209,2.3073123,-3.2694021,-11.491156
3,1,3,-1,52.788554,292.33985,441.34187,0,0.35408441,0.92968048,0,-2.7977251,1.9018477,-2.6192932,-20.534098
3,1,3,0,43.714889,294.57833,441.14066,0,0.34984323,0.93123017,0,-3.7104058,1.8602977,-3.4737653,-19.294546
3,1,3,1,34.40932,292.19237,440.88229,0,0.35440529,0.92968048,0,-4.4554144,1.7200472,-4.1712591,-20.601399
3,1,3,2,25.327196,285.36694,440.57769,0,0.36739728,0.92504817,0,-0.5736836,2.4559259,-0.53709548,-11.097924
3,2,3,-2,57.481386,284.31013,504.13277,0,0.36078177,0.90450391,0,-2.4184803,1.934921,-2.2642357,-19.292886
3,2,3,-1,48.948588,291.031,504.04306,0,0.34835681,0.90902319,0,-1.9067584,1.7284796,-1.78515,-18.325458
3,2,3,1,30.57885,290.72566,503.54447,0,0.3490076,0.90902319,0,2.3468146,2.0405265,2.1971406,-18.057268
3,2,3,2,21.640992,283.72574,503.13961,0,0.3620375,0.90450391,0,-2.3411483,1.9412939,-2.1918357,-19.275468
3,3,3,-1,42.488622,290.30779,573.15845,0,0.33546256,0.87572519,0,-1.1805249,1.500723,-1.105234,-18.871972
3,3,3,0,33.296555,292.49627,572.96671,0,0.33162792,0.8771744,0,0.73459239,1.8057498,0.68774191,-18.567333
