run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
1,-1,0,0,5.5908831,375.11676,340.07057,0,0.091336285,0.99250891,0,0.34009482,1.1508964,3.6956522,156.40643,107,1.5652174,7,73.815217,12.73913,437.81793,0.34009482,1.1376397,0.27354984
1,1,-1,3,36.391072,348.26701,502.24739,0,0.037949127,0.9708001,0,1512.5839,7.7064177,38694.344,38865.22,38817,1.9164963,10,1413078.9,38694.344,51635580,1512.5839,7.7457675,-0.35715487
1,2,-3,6,26.81853,377.37138,691.22118,0,0.081174987,0.85786032,0,720.6695,8.3371182,7616.0625,7762.8398,7710,1.4910714,11,205234.17,7616.0625,5538200.6,720.6695,8.4852728,-0.85748878
1,-3,0,-10,36.991049,189.12837,14.609338,0,0.22537733,0.79284773,0,44.01103,3.7559469,154.825,174.58141,169,0.225,7,5786.6406,156.125,214509.19,44.01103,3.8897943,-0.66621435
1,-2,-1,-13,35.586145,35.059811,8.4360678,0,0.44854648,0.7315901,0,92.222563,8.1455524,150.41722,176.50695,169,0.30463576,7,5384.5679,151.2649,191686.65,92.222563,9.097284,-2.1792526
1,-2,0,-12,25.198728,113.80336,13.723367,0,0.34081571,0.76602397,0,27.650251,3.8060517,62.147239,73.180416,70,0.12269939,7,1585.2791,62.932515,39945.393,27.650251,3.8060517,0.093987005
1,-2,0,-11,29.328115,137.6257,50.137891,0,0.31603372,0.79478174,0,104.40567,6.7352965,262.56604,286.9078,280,0.27672956,7,7722.0519,263.5283,226310.61,104.40567,6.3753611,1.3973606
1,-2,0,-10,33.795743,160.19653,82.358459,0,0.28888273,0.8223276,0,51.051012,4.4866855,145.32075,163.11648,158,0.20125786,7,4939.4057,146.30189,166785.89,51.051012,4.5035409,-0.17727923
1,-2,1,-11,5.1900688,185.57889,10.466548,0,0.23005041,0.78936438,0,105.13292,5.6958829,360.73913,381.97164,376,0.24223602,7,1865.9891,360.73913,9741.1332,105.13292,5.8195658,-0.59330661
1,-2,1,-10,6.7232482,207.88848,44.89073,0,0.20138277,0.81666163,0,67.851039,4.2422297,275.15432,295.9566,290,0.22839506,7,1833.3873,275.15432,12301.123,67.851039,4.1286668,1.230346
1,-2,1,-9,7.7130218,230.11217,75.526174,0,0.16940013,0.84241915,0,70.645087,3.8759861,351.31481,371.52961,366,0.24074074,7,2696.3657,351.31481,20800.034,70.645087,4.0210126,-0.93382379
1,-2,1,-8,7.7851804,252.55614,103.11993,0,0.134102,0.86631895,0,11.479687,1.5280468,74.160494,97.444749,91,0.27160494,7,570.46296,74.691358,4392.2299,11.479687,1.3913437,0.92929098
1,-2,1,-7,5.9323944,275.87957,128.22338,0,0.094788771,0.88807649,0,182.29513,4.4657606,1707.9241,1750.5634,1738,0.4556962,8,10066.12,1707.9241,60364.809,182.29513,4.583359,-1.2603601
1,-2,1,-6,-2.1833019,302.78673,151.11253,0,0.046938364,0.90744071,0,261.93125,3.7177273,5063.8125,5165.7773,5136,1.09375,14,-11515.478,5063.8125,35601.876,261.93125,3.8121296,-1.373612
1,-1,-1,-13,32.297241,10.325349,74.295366,0,0.50769531,0.74719697,0,115.76775,9.4498022,170.38037,193.42354,187,0.26380368,7,5650.3328,175.11043,182334.29,115.76775,9.8889578,-0.93816912
1,-1,-1,-12,36.03657,40.286971,109.06301,0,0.48135227,0.77742765,0,1.8101563,2.9582528,2.9235669,22.827823,17,0.21656051,7,247.03344,6.8598726,8896.6994,1.8101563,3.2963057,-0.6990877
1,-1,0,-13,20.076167,49.480262,41.670535,0,0.44254698,0.75220598,0,15.322216,3.7803414,26.043478,41.287335,37,0.17391304,7,569.47826,28.521739,11375.304,15.322216,3.9752005,-0.86267795
1,-1,0,-12,23.128617,78.162673,78.058381,0,0.41564417,0.78273263,0,77.38906,6.870419,145.7375,167.39787,161,0.23125,7,3438.2063,149.275,79216.598,77.38906,6.7885576,0.26813349
1,-1,0,-11,26.240107,105.03945,110.12283,0,0.38588479,0.81235695,0,85.783141,6.8020607,180.58896,205.04987,198,0.26380368,7,4739.5307,180.58896,124413.05,85.783141,6.8020607,0.34284767
1,-1,0,-10,29.459745,130.47082,138.7819,0,0.35363642,0.84069401,0,138.04096,7.9811526,328.1625,359.99227,351,0.3625,7,9695.3047,329.91875,284970.07,138.04096,8.3698988,-1.104045
1,-1,0,-9,32.856283,154.73486,164.73397,0,0.31924595,0.86739231,0,30.3778,3.9016342,82.536585,112.37597,104,0.33536585,7,2819.7256,86.170732,92285.63,30.3778,3.9016342,-0.1702038
1,-1,0,-8,36.533371,178.04457,188.52341,0,0.28305627,0.89213386,0,68.285494,4.9843698,215.22152,246.79422,238,0.37341772,7,7865.6915,215.22152,287514.73,68.285494,4.8861275,0.75815221
1,-1,1,-12,6.313378,106.64758,41.646318,0,0.36071053,0.77742765,0,3.5571765,2.1740169,7.6666667,21.954733,18,0.16666667,7,62.061728,8.962963,434.20216,3.5571765,2.3452532,-0.23830462
1,-1,1,-11,7.9380482,132.25842,75.869351,0,0.33220829,0.80677969,0,11.639737,2.9265707,28.267516,50.513449,44,0.24203822,7,244.80573,30.751592,1956.1385,11.639737,3.2443251,-1.2883371
1,-1,1,-10,9.2782372,156.73561,106.28629,0,0.30094835,0.83486814,0,164.94138,7.8679473,457.5679,476.40327,471,0.20987654,7,4228.0031,459.14815,39029.221,164.94138,7.4020587,1.5326989
1,-1,1,-9,10.245109,180.32221,133.67912,0,0.26727836,0.86134151,0,279.12104,9.4801742,899.50617,933.37418,924,0.39506173,7,9172.6235,899.50617,93723.799,279.12104,9.5744596,-0.1921254
1,-1,1,-8,10.682483,203.21671,158.65254,0,0.23152064,0.8858818,0,290.53593,8.8345682,1111.6957,1142.7278,1134,0.35403727,7,11801.337,1111.6957,125525.63,290.53593,8.6991044,0.43916449
1,-1,1,-7,10.300413,225.58024,181.6854,0,0.19398767,0.90820448,0,433.25972,9.7303262,2028.4198,2075.2663,2062,0.52469136,7,20782.154,2028.4198,213377.77,433.25972,9.6601928,0.4069755
1,-1,1,-6,8.5092774,247.53361,203.1662,0,0.15500988,0.9280585,0,26.359174,2.4398347,157.81481,213.37952,198,0.64814815,7,1345.6759,157.81481,11522.845,26.359174,2.4184208,1.2593692
1,-1,1,-5,3.9327229,269.12762,223.4193,0,0.11501093,0.94522626,0,580.13102,8.4782351,4767.8519,4855.1678,4831,1.0185185,7,18520.71,4767.8519,73472.367,580.13102,8.5761145,-0.5338731
1,0,-1,-12,31.29986,13.318831,161.75638,0,0.53767466,0.78305699,0,47.69344,6.2573119,69.459627,83.046856,79,0.14906832,7,2172.5171,69.459627,67967.537,47.69344,5.8679472,1.4198887
1,0,-1,-11,34.364946,43.026901,189.78157,0,0.505774,0.81269788,0,100.93569,8.3868493,162.1875,181.61133,176,0.2125,7,5643.1406,164.4375,193678.54,100.93569,8.513226,-0.096690199
1,0,0,-13,17.601064,10.813328,99.73141,0,0.5173922,0.75757464,0,2.3542987,2.5643935,3.447205,14.098745,11,0.11801242,7,114.05745,6.2173913,2103.4445,2.3542987,2.2289516,0.616334
1,0,0,-12,19.979245,41.783027,132.55383,0,0.48799296,0.78841526,0,224.14654,12.283696,362.1375,393.85922,385,0.36875,7,7233.5813,362.85,144245.67,224.14654,12.350746,-0.38546873
1,0,0,-11,22.309708,70.583962,161.71612,0,0.45592165,0.81832844,0,-1.5321288,2.4413546,-2.75,19.201563,13,0.25,7,46.053125,2.125,999.21406,-1.5321288,2.7011833,-0.76260379
1,0,0,-10,24.598865,97.661093,187.99267,0,0.42148175,0.84692923,0,8.1491621,3.0287935,16.375,37.04043,31,0.225,7,402.875,16.375,9923.7578,8.1491621,2.933518,0.21957733
